
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
6,Sun,October 14,boxscore,Green Bay Packers,,Baltimore Ravens,31,23,391,1,357,4
6,Sun,October 14,boxscore,St. Louis Rams,,New York Giants,15,14,315,4,324,2
6,Sun,October 14,boxscore,New York Jets,,Miami Dolphins,21,17,268,0,348,4
6,Sun,October 14,boxscore,Pittsburgh Steelers,@,Kansas City Chiefs,20,17,316,0,271,1
6,Sun,October 14,boxscore,New Orleans Saints,@,Carolina Panthers,27,25,358,3,218,3
6,Sun,October 14,boxscore,New England Patriots,,San Diego Chargers,29,26,374,1,343,1
6,Sun,October 14,boxscore,Cincinnati Bengals,,Cleveland Browns,24,14,400,0,211,1
6,Sun,October 14,boxscore,Seattle Seahawks,,Denver Broncos,34,21,254,1,281,3
6,Sun,October 14,boxscore,San Francisco 49ers,@,Atlanta Falcons,37,31,517,2,342,1
6,Mon,October 15,boxscore,Dallas Cowboys,,Washington Redskins,9,7,386,1,226,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
7,Thu,October 18,boxscore,Buffalo Bills,@,Jacksonville Jaguars,13,10,317,0,247,2
7,Sun,October 21,boxscore,New England Patriots,@,Indianapolis Colts,38,17,385,0,484,2
7,Sun,October 21,boxscore,Arizona Cardinals,,Kansas City Chiefs,24,16,363,2,459,2
7,Sun,October 21,boxscore,Chicago Bears,@,Cincinnati Bengals,24,0,435,1,264,1
7,Sun,October 21,boxscore,Tennessee Titans,@,Detroit Lions,27,24,329,2,363,2
7,Sun,October 21,boxscore,Pittsburgh Steelers,@,Tampa Bay Buccaneers,17,10,344,3,278,1
7,Sun,October 21,boxscore,Minnesota Vikings,,Green Bay Packers,35,13,377,2,234,1
7,Sun,October 21,boxscore,Atlanta Falcons,@,New Orleans Saints,20,13,297,2,276,1
7,Sun,October 21,boxscore,Cleveland Browns,,Baltimore Ravens,24,14,219,0,321,3
7,Sun,October 21,boxscore,Washington Redskins,,Carolina Panthers,17,14,443,2,342,4
7,Sun,October 21,boxscore,St. Louis Rams,@,New York Jets,34,14,448,2,266,1
7,Sun,October 21,boxscore,San Diego Chargers,,Denver Broncos,27,10,379,2,263,3
7,Mon,October 22,boxscore,Philadelphia Eagles,@,New York Giants,10,9,215,1,238,1
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
8,Thu,October 25,boxscore,Indianapolis Colts,@,Kansas City Chiefs,35,28,373,1,415,3
8,Sun,October 28,boxscore,San Diego Chargers,,Buffalo Bills,27,24,338,0,396,2
8,Sun,October 28,boxscore,Miami Dolphins,@,Seattle Seahawks,24,20,289,4,302,2
8,Sun,October 28,boxscore,Dallas Cowboys,,Arizona Cardinals,17,3,225,2,292,4
8,Sun,October 28,boxscore,Baltimore Ravens,,Jacksonville Jaguars,18,17,305,1,365,1
8,Sun,October 28,boxscore,Chicago Bears,,San Francisco 49ers,37,31,364,3,350,2
8,Sun,October 28,boxscore,Oakland Raiders,@,Philadelphia Eagles,20,10,354,0,195,0
8,Sun,October 28,boxscore,New Orleans Saints,@,St. Louis Rams,34,31,320,2,474,8
8,Sun,October 28,boxscore,Washington Redskins,,New York Giants,35,21,353,0,388,2
8,Sun,October 28,boxscore,Tampa Bay Buccaneers,,Minnesota Vikings,41,14,446,1,195,1
8,Sun,October 28,boxscore,New York Jets,@,Carolina Panthers,13,12,358,4,162,1
8,Sun,October 28,boxscore,Denver Broncos,,New England Patriots,31,20,355,2,300,5
8,Sun,October 28,boxscore,Cincinnati Bengals,@,Detroit Lions,31,27,412,2,276,3
8,Mon,October 29,boxscore,Pittsburgh Steelers,,Tennessee Titans,34,7,405,0,214,4
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
9,Sun,November 4,boxscore,Philadelphia Eagles,@,Arizona Cardinals,21,7,332,1,327,2
9,Sun,November 4,boxscore,Tennessee Titans,,Jacksonville Jaguars,28,24,362,0,309,1
9,Sun,November 4,boxscore,New York Giants,,Dallas Cowboys,27,24,358,5,324,4
9,Sun,November 4,boxscore,Green Bay Packers,,Tampa Bay Buccaneers,21,20,352,3,194,0
9,Sun,November 4,boxscore,Indianapolis Colts,@,Buffalo Bills,30,14,305,1,232,2
9,Sun,November 4,boxscore,Washington Redskins,,Seattle Seahawks,27,14,365,1,275,4
9,Sun,November 4,boxscore,Baltimore Ravens,@,Pittsburgh Steelers,13,10,183,1,348,1
9,Sun,November 4,boxscore,Chicago Bears,,Cleveland Browns,27,21,413,4,261,1
9,Sun,November 4,boxscore,New England Patriots,@,Atlanta Falcons,24,10,371,2,244,1
9,Sun,November 4,boxscore,New York Jets,@,New Orleans Saints,16,9,272,2,246,4
9,Sun,November 4,boxscore,San Francisco 49ers,,Detroit Lions,21,13,427,3,131,0
9,Sun,November 4,boxscore,Kansas City Chiefs,@,San Diego Chargers,25,20,378,1,325,1
9,Sun,November 4,boxscore,Miami Dolphins,,Carolina Panthers,23,6,337,1,281,1
9,Mon,November 5,boxscore,Oakland Raiders,,Denver Broncos,38,28,356,1,366,2
Week,Day,Date,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
