Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Aaron Rodgers,BLRT,,GNB,QB,Chi,W 35-14,22.2/34.3,266.7,2.3,0.3,3.9,20.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.3,,,21.6
Russell Wilson,LOS,,SEA,QB,Ind,W 46-18,19.6/31,251.9,1.8,0.5,5.1,26.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,19.5
Matt Ryan,MM,,ATL,QB,Buf,L 17-23,22.1/33.3,278.5,2.1,0.6,2.2,7.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,19.3
Drew Brees,NOG,,NOR,QB,@Mia,W 20-0,26.5/39.9,296.5,2.1,0.8,1.3,2.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,19.2
Tom Brady,WA (Wed),,NWE,QB,Car,L 30-33,24.8/37.8,297.3,2.0,0.6,2.3,2.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,19.2
Tyrod Taylor,WA (Wed),,BUF,QB,@Atl,W 23-17,20.9/32.9,237.8,1.2,0.5,6.1,36.3,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,18.2
Dak Prescott,LOS,,DAL,QB,LAR,L 30-35,19.7/30.5,229.4,1.6,0.4,3.4,15.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.4,,,17.3
Trevor Siemian,WA (Wed),,DEN,QB,Oak,W 16-10,21.7/35.5,260.6,1.7,0.9,2.3,8.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.4
Carson Palmer,WA (Wed),,ARI,QB,SF,W 18-15,21.9/35.7,279.0,1.7,0.9,1.2,2.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.3
Marcus Mariota,GARI,,TEN,QB,@Hou,L 14-57,19.2/31.1,227.4,1.4,0.5,4.6,22.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.5,,,16.1
Philip Rivers,WA (Wed),,LAC,QB,Phi,L 24-26,23.4/37.1,283.0,1.7,1.1,1.1,2.7,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,16.0
Kirk Cousins,SCOT,,WAS,QB,@KC,L 20-29,25.6/39.2,292.3,1.4,0.8,1.9,4.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,15.9
Alex Smith,WA (Wed),,KAN,QB,Wsh,W 29-20,21.1/32.1,239.8,1.3,0.4,3.2,16.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.4,,,15.9
