Slot,Player,Team,Pos,Owner,TeamID
QB,Dak Prescott,DAL,QB,Matt,1
RB,Lamar Miller,HOU,RB,Matt,1
RB,Mark Ingram,NOR,RB,Matt,1
WR,Doug Baldwin,SEA,WR,Matt,1
WR,Golden Tate,DET,WR,Matt,1
TE,Rob Gronkowski,NWE,TE,Matt,1
FLEX,Marvin Jones Jr.,DET,WR,Matt,1
D/ST,Jaguars,JAC,DST,Matt,1
K,Chris Boswell,PIT,K,Matt,1
BENCH,Keenan Allen,LAC,WR,Matt,1
BENCH,Marshawn Lynch,OAK,RB,Matt,1
BENCH,Russell Wilson,SEA,QB,Matt,1
BENCH,Rams,LAR,DST,Matt,1
BENCH,Rishard Matthews,TEN,WR,Matt,1
BENCH,Tyler Lockett,SEA,WR,Matt,1
QB,Cam Newton,CAR,QB,Samir,3
RB,Leonard Fournette,JAC,RB,Samir,3
RB,Ty Montgomery,GNB,RB,Samir,3
WR,Julio Jones,ATL,WR,Samir,3
WR,Dez Bryant,DAL,WR,Samir,3
TE,Jimmy Graham,SEA,TE,Samir,3
FLEX,Jarvis Landry,MIA,WR,Samir,3
D/ST,Bengals,CIN,DST,Samir,3
K,Adam Vinatieri,IND,K,Samir,3
BENCH,Isaiah Crowell,CLE,RB,Samir,3
BENCH,Kelvin Benjamin,BUF,WR,Samir,3
BENCH,Chiefs,KAN,DST,Samir,3
BENCH,Jameis Winston,TAM,QB,Samir,3
BENCH,Kyle Rudolph,MIN,TE,Samir,3
BENCH,LeGarrette Blount,PHI,RB,Samir,3
QB,Ben Roethlisberger,PIT,QB,Daniel,2
RB,LeSean McCoy,BUF,RB,Daniel,2
RB,Carlos Hyde,SFO,RB,Daniel,2
WR,DeAndre Hopkins,HOU,WR,Daniel,2
WR,JuJu Smith-Schuster,PIT,WR,Daniel,2
TE,Austin Seferian-Jenkins,NYJ,TE,Daniel,2
FLEX,Jordan Howard,CHI,RB,Daniel,2
D/ST,Bills,BUF,DST,Daniel,2
K,Ryan Succop,TEN,K,Daniel,2
BENCH,Broncos,DEN,DST,Daniel,2
BENCH,Tevin Coleman,ATL,RB,Daniel,2
BENCH,Derek Carr,OAK,QB,Daniel,2
BENCH,Chris Thompson,WAS,RB,Daniel,2
BENCH,Jerick McKinnon,MIN,RB,Daniel,2
BENCH,Greg Olsen,CAR,TE,Daniel,2
QB,Matt Ryan,ATL,QB,Meera,4
RB,Christian McCaffrey,CAR,RB,Meera,4
