Slot,Player,Team,Pos,Owner,TeamID
BENCH,Javorius Allen,BAL,RB,David,5
BENCH,Josh Gordon,CLE,WR,David,5
BENCH,Panthers,CAR,DST,David,5
QB,Matthew Stafford,DET,QB,Meera,4
RB,Joe Mixon,CIN,RB,Meera,4
RB,Orleans Darkwa,NYG,RB,Meera,4
WR,Jordy Nelson,GNB,WR,Meera,4
WR,DeVante Parker,MIA,WR,Meera,4
TE,Travis Kelce,KAN,TE,Meera,4
FLEX,Adam Thielen,MIN,WR,Meera,4
D/ST,Saints,NOR,DST,Meera,4
K,Matt Prater,DET,K,Meera,4
BENCH,Christian McCaffrey,CAR,RB,Meera,4
BENCH,Frank Gore,IND,RB,Meera,4
BENCH,Emmanuel Sanders,DEN,WR,Meera,4
BENCH,J.J. Nelson,ARI,WR,Meera,4
BENCH,Kai Forbath,MIN,K,Meera,4
BENCH,Tyler Kroft,CIN,TE,Meera,4
QB,Alex Smith,KAN,QB,Petr,8
RB,Todd Gurley II,LAR,RB,Petr,8
RB,Adrian Peterson,ARI,RB,Petr,8
WR,Mike Evans,TAM,WR,Petr,8
WR,Robert Woods,LAR,WR,Petr,8
TE,Zach Ertz,PHI,TE,Petr,8
FLEX,Doug Martin,TAM,RB,Petr,8
D/ST,Cardinals,ARI,DST,Petr,8
K,Matt Bryant,ATL,K,Petr,8
BENCH,Aaron Rodgers,GNB,QB,Petr,8
BENCH,T.Y. Hilton,IND,WR,Petr,8
BENCH,C.J. Anderson,DEN,RB,Petr,8
BENCH,Devin Funchess,CAR,WR,Petr,8
BENCH,Bears,CHI,DST,Petr,8
BENCH,Jamaal Williams,GNB,RB,Petr,8
