Player,Team,Pos,Owner,Slot,Acq
T.Y. Hilton,IND,WR,Petr,WR,Draft
Zach Ertz,PHI,TE,Petr,TE,Draft
Devin Funchess,CAR,WR,Petr,FLEX,Free Agency
Bills,BUF,DST,Petr,D/ST,Free Agency
Harrison Butker,KAN,K,Petr,K,Free Agency
David Johnson,ARI,RB,Petr,Bench,Draft
Aaron Rodgers,GNB,QB,Petr,Bench,Draft
Todd Gurley II,LAR,RB,Petr,Bench,Draft
Sammy Watkins,LAR,WR,Petr,Bench,Draft
Jamaal Charles,DEN,RB,Petr,Bench,Free Agency
Adrian Peterson,ARI,RB,Petr,Bench,Free Agency
Darren McFadden,DAL,RB,Petr,Bench,Free Agency
