Slot,Player,Team,Pos,Owner,TeamID
QB,Russell Wilson,SEA,QB,Matt,1
RB,Danny Woodhead,BAL,RB,Matt,1
RB,Lamar Miller,HOU,RB,Matt,1
WR,Allen Robinson,JAC,WR,Matt,1
WR,Doug Baldwin,SEA,WR,Matt,1
TE,Rob Gronkowski,NWE,TE,Matt,1
FLEX,Mark Ingram,NOR,RB,Matt,1
D/ST,Jaguars,JAC,DST,Matt,1
K,Matt Bryant,ATL,K,Matt,1
BENCH,Marshawn Lynch,OAK,RB,Matt,1
BENCH,Terrelle Pryor Sr.,WAS,WR,Matt,1
BENCH,Andrew Luck,IND,QB,Matt,1
BENCH,Dak Prescott,DAL,QB,Matt,1
BENCH,Golden Tate,DET,WR,Matt,1
BENCH,Rams,LAR,DST,Matt,1
QB,Matt Ryan,ATL,QB,Meera,4
RB,Joe Mixon,CIN,RB,Meera,4
RB,Terrance West,BAL,RB,Meera,4
WR,Jordy Nelson,GNB,WR,Meera,4
WR,Adam Thielen,MIN,WR,Meera,4
TE,Travis Kelce,KAN,TE,Meera,4
FLEX,Christian McCaffrey,CAR,RB,Meera,4
D/ST,Vikings,MIN,DST,Meera,4
K,Dan Bailey,DAL,K,Meera,4
BENCH,Frank Gore,IND,RB,Meera,4
BENCH,Emmanuel Sanders,DEN,WR,Meera,4
BENCH,Pierre Garcon,SFO,WR,Meera,4
BENCH,Brandon Marshall,NYG,WR,Meera,4
BENCH,DeVante Parker,MIA,WR,Meera,4
BENCH,Kenny Golladay,DET,WR,Meera,4
QB,Derek Carr,OAK,QB,Daniel,2
RB,LeSean McCoy,BUF,RB,Daniel,2
RB,Jordan Howard,CHI,RB,Daniel,2
WR,Amari Cooper,OAK,WR,Daniel,2
WR,DeAndre Hopkins,HOU,WR,Daniel,2
TE,Greg Olsen,CAR,TE,Daniel,2
FLEX,Carlos Hyde,SFO,RB,Daniel,2
D/ST,Broncos,DEN,DST,Daniel,2
K,Mason Crosby,GNB,K,Daniel,2
BENCH,Martavis Bryant,PIT,WR,Daniel,2
BENCH,Eric Decker,TEN,WR,Daniel,2
BENCH,Philip Rivers,LAC,QB,Daniel,2
BENCH,Tevin Coleman,ATL,RB,Daniel,2
BENCH,Rob Kelley,WAS,RB,Daniel,2
BENCH,Tarik Cohen,CHI,RB,Daniel,2
QB,Cam Newton,CAR,QB,Samir,3
RB,Leonard Fournette,JAC,RB,Samir,3
RB,Ty Montgomery,GNB,RB,Samir,3
WR,Julio Jones,ATL,WR,Samir,3
WR,Dez Bryant,DAL,WR,Samir,3
TE,Jimmy Graham,SEA,TE,Samir,3
FLEX,Isaiah Crowell,CLE,RB,Samir,3
D/ST,Chiefs,KAN,DST,Samir,3
K,Adam Vinatieri,IND,K,Samir,3
BENCH,Kelvin Benjamin,CAR,WR,Samir,3
BENCH,Bengals,CIN,DST,Samir,3
BENCH,Jarvis Landry,MIA,WR,Samir,3
BENCH,Willie Snead,NOR,WR,Samir,3
BENCH,Jamison Crowder,WAS,WR,Samir,3
BENCH,Jameis Winston,TAM,QB,Samir,3
QB,Drew Brees,NOR,QB,David,5
RB,Le'Veon Bell,PIT,RB,David,5
RB,DeMarco Murray,TEN,RB,David,5
WR,A.J. Green,CIN,WR,David,5
WR,Larry Fitzgerald,ARI,WR,David,5
TE,Jordan Reed,WAS,TE,David,5
FLEX,Bilal Powell,NYJ,RB,David,5
D/ST,Cardinals,ARI,DST,David,5
K,Matt Prater,DET,K,David,5
BENCH,Stefon Diggs,MIN,WR,David,5
BENCH,Theo Riddick,DET,RB,David,5
BENCH,Matt Forte,NYJ,RB,David,5
BENCH,Jeremy Maclin,BAL,WR,David,5
BENCH,DeSean Jackson,TAM,WR,David,5
BENCH,Jonathan Stewart,CAR,RB,David,5
QB,Ben Roethlisberger,PIT,QB,Scott,7
RB,Ezekiel Elliott,DAL,RB,Scott,7
RB,Dalvin Cook,MIN,RB,Scott,7
WR,Michael Thomas,NOR,WR,Scott,7
WR,Corey Davis,TEN,WR,Scott,7
TE,Tyler Eifert,CIN,TE,Scott,7
FLEX,Kareem Hunt,KAN,RB,Scott,7
D/ST,Seahawks,SEA,DST,Scott,7
K,Justin Tucker,BAL,K,Scott,7
BENCH,Darren McFadden,DAL,RB,Scott,7
BENCH,Kirk Cousins,WAS,QB,Scott,7
BENCH,Adrian Peterson,ARI,RB,Scott,7
BENCH,John Brown,ARI,WR,Scott,7
BENCH,Derrick Henry,TEN,RB,Scott,7
BENCH,Ravens,BAL,DST,Scott,7
QB,Marcus Mariota,TEN,QB,Adam,6
