Player,Pos,Team,Owner,Slot,Acq
Russell Wilson,QB,SEA,Matt,QB,Draft
Lamar Miller,RB,HOU,Matt,RB,Draft
Marshawn Lynch,RB,OAK,Matt,RB,Draft
Doug Baldwin,WR,SEA,Matt,WR,Draft
Keenan Allen,WR,LAC,Matt,WR,Draft
Rob Gronkowski,TE,NWE,Matt,TE,Draft
Golden Tate,WR,DET,Matt,FLEX,Draft
Jaguars,DST,JAC,Matt,D/ST,Draft
Matt Bryant,K,ATL,Matt,K,Draft
Danny Woodhead,RB,BAL,Matt,Bench,Draft
Terrelle Pryor Sr.,WR,WAS,Matt,Bench,Draft
Andrew Luck,QB,IND,Matt,Bench,Draft
Dak Prescott,QB,DAL,Matt,Bench,Draft
Mark Ingram,RB,NOR,Matt,Bench,Draft
Rams,DST,LAR,Matt,Bench,Draft
Derek Carr,QB,OAK,Daniel,QB,Draft
LeSean McCoy,RB,BUF,Daniel,RB,Draft
Jordan Howard,RB,CHI,Daniel,RB,Draft
Amari Cooper,WR,OAK,Daniel,WR,Draft
DeAndre Hopkins,WR,HOU,Daniel,WR,Draft
Jason Witten,TE,DAL,Daniel,TE,Free Agency
Carlos Hyde,RB,SFO,Daniel,FLEX,Draft
Broncos,DST,DEN,Daniel,D/ST,Draft
Ryan Succop,K,TEN,Daniel,K,Free Agency
Martavis Bryant,WR,PIT,Daniel,Bench,Draft
Eric Decker,WR,TEN,Daniel,Bench,Draft
Greg Olsen,TE,CAR,Daniel,Bench,Draft
Tevin Coleman,RB,ATL,Daniel,Bench,Draft
Rob Kelley,RB,WAS,Daniel,Bench,Draft
Tarik Cohen,RB,CHI,Daniel,Bench,Free Agency
Chris Thompson,RB,WAS,Daniel,Bench,Free Agency
Cam Newton,QB,CAR,Samir,QB,Draft
Leonard Fournette,RB,JAC,Samir,RB,Draft
Ty Montgomery,RB,GNB,Samir,RB,Draft
Julio Jones,WR,ATL,Samir,WR,Draft
Dez Bryant,WR,DAL,Samir,WR,Draft
Jimmy Graham,TE,SEA,Samir,TE,Draft
Isaiah Crowell,RB,CLE,Samir,FLEX,Draft
Chiefs,DST,KAN,Samir,D/ST,Draft
Adam Vinatieri,K,IND,Samir,K,Draft
Jay Ajayi,RB,MIA,Samir,Bench,Draft
Kelvin Benjamin,WR,CAR,Samir,Bench,Draft
Bengals,DST,CIN,Samir,Bench,Draft
Jarvis Landry,WR,MIA,Samir,Bench,Draft
Willie Snead,WR,NOR,Samir,Bench,Draft
Jamison Crowder,WR,WAS,Samir,Bench,Draft
Jameis Winston,QB,TAM,Samir,Bench,Draft
Matthew Stafford,QB,DET,Meera,QB,Draft
Christian McCaffrey,RB,CAR,Meera,RB,Draft
Joe Mixon,RB,CIN,Meera,RB,Draft
Jordy Nelson,WR,GNB,Meera,WR,Draft
J.J. Nelson,WR,ARI,Meera,WR,Free Agency
Travis Kelce,TE,KAN,Meera,TE,Draft
Frank Gore,RB,IND,Meera,FLEX,Draft
Dolphins,DST,MIA,Meera,D/ST,Free Agency
Dan Bailey,K,DAL,Meera,K,Draft
Matt Ryan,QB,ATL,Meera,Bench,Draft
Terrance West,RB,BAL,Meera,Bench,Draft
Emmanuel Sanders,WR,DEN,Meera,Bench,Draft
Pierre Garcon,WR,SFO,Meera,Bench,Draft
Brandon Marshall,WR,NYG,Meera,Bench,Draft
DeVante Parker,WR,MIA,Meera,Bench,Draft
Adam Thielen,WR,MIN,Meera,Bench,Free Agency
Drew Brees,QB,NOR,David,QB,Draft
Le'Veon Bell,RB,PIT,David,RB,Draft
DeMarco Murray,RB,TEN,David,RB,Draft
A.J. Green,WR,CIN,David,WR,Draft
Stefon Diggs,WR,MIN,David,WR,Draft
Jordan Reed,TE,WAS,David,TE,Draft
Larry Fitzgerald,WR,ARI,David,FLEX,Draft
Cardinals,DST,ARI,David,D/ST,Draft
Matt Prater,K,DET,David,K,Draft
Davante Adams,WR,GNB,David,Bench,Draft
Theo Riddick,RB,DET,David,Bench,Draft
Matt Forte,RB,NYJ,David,Bench,Draft
Jeremy Maclin,WR,BAL,David,Bench,Draft
DeSean Jackson,WR,TAM,David,Bench,Draft
Jonathan Stewart,RB,CAR,David,Bench,Draft
Charles Clay,TE,BUF,David,Bench,Free Agency
Marcus Mariota,QB,TEN,Adam,QB,Draft
Melvin Gordon,RB,LAC,Adam,RB,Draft
Bilal Powell,RB,NYJ,Adam,RB,Free Agency
Antonio Brown,WR,PIT,Adam,WR,Draft
Tyreek Hill,WR,KAN,Adam,WR,Draft
Delanie Walker,TE,TEN,Adam,TE,Draft
Alshon Jeffery,WR,PHI,Adam,FLEX,Draft
Steelers,DST,PIT,Adam,D/ST,Draft
Giorgio Tavecchio,K,OAK,Adam,K,Free Agency
Devonta Freeman,RB,ATL,Adam,Bench,Draft
Demaryius Thomas,WR,DEN,Adam,Bench,Draft
Michael Crabtree,WR,OAK,Adam,Bench,Draft
Ameer Abdullah,RB,DET,Adam,Bench,Draft
Javorius Allen,RB,BAL,Adam,Bench,Free Agency
Jermaine Kearse,WR,NYJ,Adam,Bench,Free Agency
Kirk Cousins,QB,WAS,Scott,QB,Draft
Ezekiel Elliott,RB,DAL,Scott,RB,Draft
Kareem Hunt,RB,KAN,Scott,RB,Draft
Michael Thomas,WR,NOR,Scott,WR,Draft
Odell Beckham Jr.,WR,NYG,Scott,WR,Draft
Coby Fleener,TE,NOR,Scott,TE,Free Agency
Dalvin Cook,RB,MIN,Scott,FLEX,Draft
Seahawks,DST,SEA,Scott,D/ST,Draft
Justin Tucker,K,BAL,Scott,K,Draft
Darren McFadden,RB,DAL,Scott,Bench,Draft
Tyler Eifert,TE,CIN,Scott,Bench,Draft
John Brown,WR,ARI,Scott,Bench,Draft
Ben Roethlisberger,QB,PIT,Scott,Bench,Draft
Derrick Henry,RB,TEN,Scott,Bench,Free Agency
Ravens,DST,BAL,Scott,Bench,Free Agency
Rashard Higgins,WR,CLE,Scott,Bench,Free Agency
Aaron Rodgers,QB,GNB,Petr,QB,Draft
Todd Gurley,RB,LAR,Petr,RB,Draft
C.J. Anderson,RB,DEN,Petr,RB,Draft
Mike Evans,WR,TAM,Petr,WR,Draft
Sammy Watkins,WR,LAR,Petr,WR,Draft
Zach Ertz,TE,PHI,Petr,TE,Draft
T.Y. Hilton,WR,IND,Petr,FLEX,Draft
Cowboys,DST,DAL,Petr,D/ST,Free Agency
Blair Walsh,K,SEA,Petr,K,Free Agency
David Johnson,RB,ARI,Petr,Bench,Draft
Doug Martin,RB,TAM,Petr,Bench,Draft
Donte Moncrief,WR,IND,Petr,Bench,Draft
Kyle Rudolph,TE,MIN,Petr,Bench,Draft
Jacquizz Rodgers,RB,TAM,Petr,Bench,Draft
Chris Johnson,RB,ARI,Petr,Bench,Free Agency
Jamaal Charles,RB,DEN,Petr,Bench,Free Agency
