Player,Opp,Team,Pos,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Robert Turbin,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,4.3,17.7,0.1,1.1,9.0,0.1,1.9
Mike Gillislee,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,3.5,14.3,0.1,0.4,3.0,0.0,1.8
Zach Zenner,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,3.3,14.6,0.1,0.3,2.4,0.0,1.7
Kenjon Barner,Cle,PHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,2.8,12.6,0.1,0.5,3.8,0.0,1.7
Kyle Juszczyk,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.1,0.5,0.0,1.6,12.7,0.1,1.7
Brandon Bolden,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,4.0,15.7,0.1,0.8,5.8,0.0,1.6
Cameron Artis-Payne,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,4.0,14.7,0.1,0.5,2.9,0.0,1.6
Lance Dunbar,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,1.9,8.5,0.0,1.4,12.6,0.1,1.5
Alfred Blue,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,2.9,11.0,0.1,0.3,2.0,0.0,1.5
Mike Tolbert,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,2.9,9.7,0.1,0.9,6.7,0.0,0.8
Andre Ellington,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,2.4,9.8,0.1,1.1,9.6,0.0,0.6
Jamize Olawale,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,1.1,5.3,0.0,0.8,6.6,0.1,0.5
Jordan Howard,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,2.5,9.7,0.1,0.5,3.3,0.0,0.5
Mike Davis,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,2.2,8.2,0.1,0.5,3.6,0.0,0.4
Knile Davis,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,1.5,6.3,0.1,0.2,1.8,0.0,0.4
Matt Asiata,@Ten,MIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.9,3.3,0.0,0.7,5.5,0.0,0.4
Jordan Todman,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,1.4,6.1,0.0,0.3,2.0,0.0,0.3
Josh Ferguson,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,1.7,6.7,0.0,0.5,4.1,0.0,0.3
Zach Line,@Ten,MIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.4,1.4,0.0,0.4,3.6,0.0,0.3
Alex Collins,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,1.5,6.1,0.0,0.0,0.0,0.0,0.3
Fozzy Whittaker,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,1.2,4.2,0.0,0.5,2.9,0.0,0.2
John Kuhn,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.5,1.6,0.0,0.1,1.1,0.0,0.2
Antonio Andrews,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,1.3,5.2,0.0,0.2,1.6,0.0,0.2
Jalen Richard,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,1.1,5.1,0.0,0.3,2.3,0.0,0.2
Patrick DiMarco,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.6,4.2,0.0,0.2
Isaiah Pead,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,1.5,5.4,0.0,0.6,3.6,0.0,0.2
Ryan Hewitt,@NYJ,CIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.9,0.0,0.2
Paul Perkins,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,1.3,5.3,0.0,0.1,1.1,0.0,0.2
Kapri Bibbs,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,1.3,4.8,0.0,0.2,1.5,0.0,0.2
Marcus Murphy,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Jonathan Grimes,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.7,2.8,0.0,0.5,3.9,0.0,0.2
Malcolm Brown,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.9,3.6,0.0,0.2,1.8,0.0,0.2
Aaron Ripkowski,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.3,0.8,0.0,0.3,2.0,0.0,0.2
James Develin,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.5,1.5,0.0,0.3,1.9,0.0,0.2
George Atkinson III,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,1.0,3.8,0.0,0.1,0.9,0.0,0.2
Rex Burkhead,@NYJ,CIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.5,1.9,0.0,0.5,3.3,0.0,0.2
Dwayne Washington,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.5,2.3,0.0,0.3,2.4,0.0,0.2
Terron Ward,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.5,1.9,0.0,0.3,2.1,0.0,0.1
Anthony Sherman,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.6,0.0,0.1
Wendell Smallwood,Cle,PHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.5,2.2,0.0,0.2,1.9,0.0,0.1
Michael Burton,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.3,2.3,0.0,0.1
Taiwan Jones,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.2,1.0,0.0,0.3,2.3,0.0,0.1
Corey Grant,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.1
Jonathan Williams,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.6,2.1,0.0,0.0,0.0,0.0,0.1
Jhurell Pressley,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.8,2.9,0.0,0.0,0.0,0.0,0.1
Jalston Fowler,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.1,0.5,0.0,0.2,1.6,0.0,0.1
Kenyan Drake,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.6,1.9,0.0,0.3,1.8,0.0,0.1
Daryl Richardson,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.7,2.9,0.0,0.0,0.0,0.0,0.1
Cory Harkey,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.5,0.0,0.1
Malcolm Johnson,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.2,1.8,0.0,0.1
Jay Prosch,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.1
Daniel Lasco,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.3,1.0,0.0,0.2,1.1,0.0,0.1
Denard Robinson,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.4,1.7,0.0,0.1,0.9,0.0,0.1
D.J. Foster,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.2,0.9,0.0,0.3,1.9,0.0,0.1
Bobby Rainey,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1
Roosevelt Nix,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.1
Chase Reynolds,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.3,1.1,0.0,0.0,0.0,0.0,0.1
Damien Williams,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.2,0.6,0.0,0.3,1.8,0.0,0.1
Stepfan Taylor,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.1,1.0,0.0,0.0
Derek Watt,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0
Andre Williams,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.4,1.7,0.0,0.0,0.0,0.0,0.0
Andy Janovich,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0
Darius Jackson,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.3,1.1,0.0,0.0,0.0,0.0,0.0
DuJuan Harris,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.0
Steven Jackson,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Jackson,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshawn Lynch,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmad Bradshaw,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Thomas,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren McFadden*,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Rice,** BYE **,FA,RB,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jamaal Charles,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Felton,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Reece,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Brown,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorvorskie Lane,@Atl,TAM,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowshon Moreno,** BYE **,FA,RB,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cedric Peerman*,@NYJ,CIN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Thigpen,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Young,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antone Smith,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter McCluster,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tate,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Gerhart,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boobie Dixon,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joique Bell,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Clutts,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevan Ridley,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Williams,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Thomas,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hunter,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy Helu Jr.*,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacquizz Rodgers,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Lewis*,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Johnson*,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Richardson,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Polk,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMike James,@Sea,MIA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernard Pierce,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Hillman,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrus Gray,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vick Ballard,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Herron,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Brown,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Banyard,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Gray,GB,JAC,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Travaris Cadet,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montee Ball,** BYE **,FA,RB,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Le'Veon Bell,@Wsh,PIT,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike James,@Atl,TAM,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Bohanon,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Stacy,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Randle,** BYE **,FA,RB,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kerwynn Williams,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Gaskins,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Miller,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Winn,@Ind,DET,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khiry Robinson,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dri Archer,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre Mason*,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Sankey,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Gaffney*,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storm Johnson,@Atl,TAM,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lache Seastrunk,Cin,NYJ,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Taliaferro*,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marion Grice,NE,ARI,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwan Thompson,Car,DEN,RB,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Oliver*,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrin Reaves,SD,KAN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silas Redd,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Watts,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Johnson,Oak,NOR,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senorise Perry,@Hou,CHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Winston*,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Iosefa,@Ari,NWE,RB,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cobb,Min,TEN,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlos Williams,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Hilliard,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Robinson,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Varga,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Dyer,@NO,OAK,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Crockett*,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Magee,@SF,LAR,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gus Johnson,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarryd Hayne,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wegher,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Harris,@Jax,GNB,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikita Whitlock*,@Dal,NYG,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheem Mostert,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod Smith,NYG,DAL,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Williams,Det,IND,RB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akeem Hunt,Chi,HOU,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Dixon*,Buf,BAL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Taylor,LA,SFO,RB,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Marshall*,Pit,WAS,RB,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Brooks,Mia,SEA,RB,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrell Watson,@Phi,CLE,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wilds,TB,ATL,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Marshall,Cle,PHI,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wilder Jr.,@Bal,BUF,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dreamius Smith,@KC,SDG,RB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon Johnson*,@Den,CAR,RB,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Brown,@Wsh,PIT,WR,Mon 7:10,0/0,0.0,0.0,0.0,0.2,1.5,0.0,8.8,118.4,0.6,14.9
Odell Beckham Jr.,@Dal,NYG,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,100.8,0.6,13.6
Julio Jones,TB,ATL,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,109.5,0.5,12.9
DeAndre Hopkins,Chi,HOU,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,87.4,0.5,11.0
Allen Robinson,GB,JAC,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,82.6,0.5,11.0
Dez Bryant,NYG,DAL,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,72.2,0.6,10.6
Sammy Watkins,@Bal,BUF,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.1,0.9,0.0,4.6,73.2,0.5,10.1
Amari Cooper,@NO,OAK,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.2,1.5,0.0,5.6,79.2,0.5,10.1
A.J. Green,@NYJ,CIN,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,78.1,0.5,10.0
Jordy Nelson,@Jax,GNB,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,72.5,0.5,9.9
Brandon Marshall,Cin,NYJ,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,72.5,0.5,9.9
T.Y. Hilton,Det,IND,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.1,0.8,0.0,4.7,74.8,0.5,9.8
Mike Evans,@Atl,TAM,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,76.7,0.5,9.8
Alshon Jeffery,@Hou,CHI,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,75.2,0.4,9.3
Donte Moncrief,Det,IND,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,61.0,0.5,9.2
Keenan Allen,@KC,SDG,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,75.7,0.3,9.1
DeSean Jackson,Pit,WAS,WR,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,70.3,0.3,9.1
Michael Crabtree,@NO,OAK,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,61.1,0.5,9.0
Doug Baldwin,Mia,SEA,WR,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,60.9,0.5,9.0
Randall Cobb,@Jax,GNB,WR,Sun 1:00,0/0,0.0,0.0,0.0,1.0,4.5,0.0,5.3,64.6,0.5,9.0
Eric Decker,Cin,NYJ,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,64.8,0.5,8.9
Brandin Cooks,Oak,NOR,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.5,3.1,0.0,5.4,65.0,0.4,8.8
Larry Fitzgerald,NE,ARI,WR,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,64.9,0.5,8.7
Michael Floyd,NE,ARI,WR,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,64.5,0.4,8.7
John Brown,NE,ARI,WR,Sun 8:30,0/0,0.0,0.0,0.0,0.2,1.5,0.0,4.4,65.7,0.4,8.4
Demaryius Thomas,Car,DEN,WR,Thu 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,63.3,0.4,8.4
Marvin Jones,@Ind,DET,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,68.7,0.4,8.3
Golden Tate,@Ind,DET,WR,Sun 4:25,0/0,0.0,0.0,0.0,0.4,2.9,0.0,5.6,68.7,0.3,8.2
Jordan Matthews,Cle,PHI,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,60.1,0.4,8.2
Jeremy Maclin,SD,KAN,WR,Sun 1:00,0/0,0.0,0.0,0.0,0.3,1.7,0.0,4.8,67.8,0.3,8.0
Jarvis Landry,@Sea,MIA,WR,Sun 4:05,0/0,0.0,0.0,0.0,0.8,2.8,0.0,7.2,65.2,0.3,7.9
