Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Trevor Siemian,@Cin,DEN,QB,W 29-17,23/35,312.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Aaron Rodgers,Det,GNB,QB,W 34-27,15/24,205.0,4.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Matthew Stafford,@GB,DET,QB,L 27-34,28/41,385.0,3.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Drew Brees,Atl,NOR,QB,L 32-45,36/54,376.0,3.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Jameis Winston,LA,TAM,QB,L 32-37,36/58,405.0,3.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0
Dak Prescott,Chi,DAL,QB,W 31-17,19/24,248.0,1.0,0.0,4.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Carson Wentz,Pit,PHI,QB,W 34-3,23/31,301.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Matt Ryan,@NO,ATL,QB,W 45-32,20/30,240.0,2.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Kirk Cousins,@NYG,WAS,QB,W 29-27,21/35,296.0,2.0,0.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Brian Hoyer,@Dal,CHI,QB,L 17-31,30/49,317.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Ryan Tannehill,Cle,MIA,QB,W 30-24,25/39,319.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Tyrod Taylor,Ari,BUF,QB,W 33-18,14/25,119.0,0.0,1.0,9.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Eli Manning,Wsh,NYG,QB,L 27-29,25/38,350.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Jacoby Brissett,Hou,NWE,QB,W 27-0,11/19,103.0,0.0,0.0,8.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Alex Smith,NYJ,KAN,QB,W 24-3,25/33,237.0,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Andrew Luck,SD,IND,QB,W 26-22,24/37,331.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Russell Wilson,SF,SEA,QB,W 37-18,15/23,243.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Case Keenum,@TB,LAR,QB,W 37-32,14/26,190.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Cam Newton,Min,CAR,QB,L 10-22,21/35,262.0,0.0,3.0,7.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Philip Rivers,@Ind,SDG,QB,L 22-26,26/39,326.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0
Joe Flacco,@Jax,BAL,QB,W 19-17,29/40,214.0,0.0,2.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Derek Carr,@Ten,OAK,QB,W 17-10,21/35,249.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
