Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Andrew Luck,Det,IND,QB,L 35-39,31/47,385.0,4.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0
Drew Brees,Oak,NOR,QB,L 34-35,28/42,423.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0
Alex Smith,SD,KAN,QB,W 33-27,34/48,363.0,2.0,1.0,4.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Matthew Stafford,@Ind,DET,QB,W 39-35,31/39,340.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Jameis Winston,@Atl,TAM,QB,W 31-24,23/32,281.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Matt Ryan,TB,ATL,QB,L 24-31,27/39,334.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0
Ben Roethlisberger,@Wsh,PIT,QB,W 38-16,27/37,300.0,3.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Aaron Rodgers,@Jax,GNB,QB,W 27-23,20/34,199.0,2.0,0.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Derek Carr,@NO,OAK,QB,W 35-34,24/38,319.0,1.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0
Cam Newton,@Den,CAR,QB,L 20-21,18/33,194.0,1.0,1.0,11.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Carson Wentz,Cle,PHI,QB,W 29-10,22/37,278.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Carson Palmer,NE,ARI,QB,L 21-23,24/37,271.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Eli Manning,@Dal,NYG,QB,W 20-19,19/28,207.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Andy Dalton,@NYJ,CIN,QB,W 23-22,23/30,366.0,1.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Brock Osweiler,Chi,HOU,QB,W 23-14,22/35,231.0,2.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Marcus Mariota,Min,TEN,QB,L 16-25,25/41,271.0,2.0,1.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0
Ryan Fitzpatrick,Cin,NYJ,QB,L 22-23,19/35,189.0,2.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Blaine Gabbert,LA,SFO,QB,W 28-0,22/35,170.0,1.0,0.0,9.0,43.0,0.0,1.0,-16.0,0.0,1.0,0.0,0.0,0.0,14.0
