Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Cam Newton,SF,CAR,QB,W 46-27,24/40,353.0,4.0,1.0,6.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0
Matt Ryan,@Oak,ATL,QB,W 35-28,26/34,396.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0
Carson Palmer,TB,ARI,QB,W 40-7,17/30,304.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Derek Carr,Atl,OAK,QB,L 28-35,34/45,299.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Philip Rivers,Jax,SDG,QB,W 38-14,17/24,220.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
Tyrod Taylor,NYJ,BUF,QB,L 31-37,18/30,297.0,3.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Ryan Tannehill,@NE,MIA,QB,L 24-31,32/45,387.0,2.0,2.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Jimmy Garoppolo,Mia,NWE,QB,W 31-24,18/26,232.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Ryan Fitzpatrick,@Buf,NYJ,QB,W 37-31,24/34,374.0,1.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Blaine Gabbert,@Car,SFO,QB,L 27-46,17/36,243.0,2.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Ben Roethlisberger,Cin,PIT,QB,W 24-16,19/37,259.0,3.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Sam Bradford,GB,MIN,QB,W 17-14,22/31,286.0,2.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Andy Dalton,@Pit,CIN,QB,L 16-24,31/54,366.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Kirk Cousins,Dal,WAS,QB,L 23-27,28/46,364.0,1.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Blake Bortles,@SD,JAC,QB,L 14-38,31/50,329.0,2.0,2.0,3.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Dak Prescott,@Wsh,DAL,QB,W 27-23,22/30,292.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Aaron Rodgers,@Min,GNB,QB,L 14-17,20/36,213.0,1.0,1.0,3.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
