Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Derek Carr,@TB,OAK,QB,W 30-24,40/59,513.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0
Aaron Rodgers,@Atl,GNB,QB,L 32-33,28/38,246.0,4.0,0.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0
Tom Brady,@Buf,NWE,QB,W 41-25,22/33,315.0,4.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Blake Bortles,@Ten,JAC,QB,L 22-36,33/54,337.0,3.0,0.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0
Dak Prescott,Phi,DAL,QB,W 29-23,19/39,287.0,2.0,1.0,7.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Kirk Cousins,@Cin,WAS,QB,T 27-27,38/56,458.0,2.0,1.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Matt Ryan,GB,ATL,QB,W 33-32,28/35,288.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Carson Palmer,@Car,ARI,QB,L 20-30,35/46,363.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0
Drew Brees,Sea,NOR,QB,W 25-20,27/35,265.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Josh McCown,NYJ,CLE,QB,L 28-31,25/49,341.0,2.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0
Andy Dalton,Wsh,CIN,QB,T 27-27,27/42,284.0,1.0,1.0,4.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0
Marcus Mariota,Jax,TEN,QB,W 36-22,18/22,270.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Andrew Luck,KC,IND,QB,L 14-30,19/35,210.0,2.0,1.0,9.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Jameis Winston,Oak,TAM,QB,L 24-30,16/32,180.0,2.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0
Tyrod Taylor,NE,BUF,QB,L 25-41,19/38,183.0,0.0,0.0,5.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
