Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Marcus Mariota,@Mia,TEN,QB,W 30-17,20/29,163.0,3.0,0.0,7.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
Tom Brady,@Cle,NWE,QB,W 33-13,28/40,406.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
Ben Roethlisberger,NYJ,PIT,QB,W 31-13,34/47,380.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0
Philip Rivers,@Oak,SDG,QB,L 31-34,21/30,359.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Brian Hoyer,@Ind,CHI,QB,L 23-29,33/43,397.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Andy Dalton,@Dal,CIN,QB,L 14-28,29/41,269.0,2.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Andrew Luck,Chi,IND,QB,W 29-23,28/39,322.0,2.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Derek Carr,SD,OAK,QB,W 34-31,25/40,317.0,2.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0
Blaine Gabbert,Ari,SFO,QB,L 21-33,18/31,162.0,1.0,2.0,10.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Matthew Stafford,Phi,DET,QB,W 24-23,19/25,180.0,3.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Sam Bradford,Hou,MIN,QB,W 31-13,22/30,271.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Dak Prescott,Cin,DAL,QB,W 28-14,18/24,227.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0
Carson Wentz,@Det,PHI,QB,L 23-24,25/33,238.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Aaron Rodgers,NYG,GNB,QB,W 23-16,23/45,259.0,2.0,2.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
