Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Matt Ryan,@TB,ATL,QB,W 43-28,25/34,344.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0
Russell Wilson,Buf,SEA,QB,W 31-25,20/26,282.0,2.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Aaron Rodgers,Ind,GNB,QB,L 26-31,26/43,297.0,3.0,1.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Tyrod Taylor,@Sea,BUF,QB,L 25-31,27/38,289.0,1.0,1.0,8.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0
Marcus Mariota,@SD,TEN,QB,L 35-43,27/43,313.0,3.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0
Drew Brees,@SF,NOR,QB,W 41-23,28/39,323.0,3.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Dak Prescott,@Cle,DAL,QB,W 35-10,21/27,247.0,3.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Eli Manning,Phi,NYG,QB,W 28-23,22/36,257.0,4.0,2.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Colin Kaepernick,NO,SFO,QB,L 23-41,24/39,398.0,2.0,1.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
Blake Bortles,@KC,JAC,QB,L 14-19,22/41,252.0,2.0,1.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Jameis Winston,Atl,TAM,QB,L 28-43,23/37,261.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
Philip Rivers,Ten,SDG,QB,W 43-35,24/33,275.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Ben Roethlisberger,@Bal,PIT,QB,L 14-21,23/45,264.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Trevor Siemian,@Oak,DEN,QB,L 20-30,18/37,283.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0
Joe Flacco,Pit,BAL,QB,W 21-14,18/30,241.0,1.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0
Matthew Stafford,@Min,DET,QB,W 22-16,23/36,219.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Sam Bradford,Det,MIN,QB,L 16-22,31/40,273.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,14.0
Cam Newton,@LA,CAR,QB,W 13-10,20/32,225.0,1.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Case Keenum,Car,LAR,QB,L 10-13,27/46,296.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Cody Kessler,Dal,CLE,QB,L 10-35,19/27,203.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Andrew Luck,@GB,IND,QB,W 31-26,23/36,281.0,1.0,2.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Nick Foles,Jax,KAN,QB,W 19-14,20/33,187.0,1.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Carson Wentz,@NYG,PHI,QB,L 23-28,27/47,364.0,0.0,2.0,4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
