Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Andrew Luck,@Ten,IND,QB,W 34-26,27/39,353.0,3.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Drew Brees,@KC,NOR,QB,L 21-27,37/48,367.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Aaron Rodgers,Chi,GNB,QB,W 26-10,39/56,326.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
Tyrod Taylor,@Mia,BUF,QB,L 25-28,14/28,221.0,1.0,0.0,7.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0
Kirk Cousins,@Det,WAS,QB,L 17-20,30/39,301.0,1.0,0.0,3.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0
Andy Dalton,Cle,CIN,QB,W 31-17,19/28,308.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Jameis Winston,@SF,TAM,QB,W 34-17,21/30,269.0,3.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Tom Brady,@Pit,NWE,QB,W 27-16,19/26,222.0,2.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Matthew Stafford,Wsh,DET,QB,W 20-17,18/29,266.0,1.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Alex Smith,NO,KAN,QB,W 27-21,17/24,214.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Ryan Tannehill,Buf,MIA,QB,W 28-25,15/25,204.0,1.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0
Marcus Mariota,Ind,TEN,QB,L 26-34,22/37,232.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0
Kevin Hogan,@Cin,CLE,QB,L 17-31,12/24,100.0,0.0,2.0,7.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Philip Rivers,@Atl,SDG,QB,W 33-30,27/44,371.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0
Carson Palmer,Sea,ARI,QB,T 6-6,29/49,342.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Colin Kaepernick,TB,SFO,QB,L 17-34,16/34,143.0,1.0,1.0,9.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0
Landry Jones,NE,PIT,QB,L 16-27,29/47,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Matt Ryan,SD,ATL,QB,L 30-33,22/34,273.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Blake Bortles,Oak,JAC,QB,L 16-33,23/43,246.0,1.0,2.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
