Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Ben Roethlisberger,Dal,PIT,QB,L 30-35,37/46,408.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Marcus Mariota,GB,TEN,QB,W 47-25,19/26,295.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Aaron Rodgers,@Ten,GNB,QB,L 25-47,31/51,371.0,2.0,2.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Russell Wilson,@NE,SEA,QB,W 31-24,25/37,348.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Cam Newton,KC,CAR,QB,L 17-20,23/38,261.0,1.0,1.0,12.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Colin Kaepernick,@Ari,SFO,QB,L 20-23,17/30,210.0,1.0,0.0,10.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Joe Flacco,Cle,BAL,QB,W 28-7,30/41,296.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0
Drew Brees,Den,NOR,QB,L 23-25,21/29,303.0,3.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Sam Bradford,@Wsh,MIN,QB,L 20-26,31/40,307.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Ryan Tannehill,@SD,MIA,QB,W 31-24,17/24,240.0,2.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Kirk Cousins,Min,WAS,QB,W 26-20,22/33,262.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Jameis Winston,Chi,TAM,QB,W 36-10,23/33,312.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Dak Prescott,@Pit,DAL,QB,W 35-30,22/32,319.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0
Eli Manning,Cin,NYG,QB,W 21-20,28/44,240.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Philip Rivers,Mia,SDG,QB,L 24-31,23/44,326.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Blake Bortles,Hou,JAC,QB,L 21-24,32/49,265.0,2.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0
Carson Palmer,SF,ARI,QB,W 23-20,30/49,376.0,1.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0
Trevor Siemian,@NO,DEN,QB,W 25-23,25/40,258.0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Brock Osweiler,@Jax,HOU,QB,W 24-21,14/27,99.0,2.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Matt Ryan,@Phi,ATL,QB,L 15-24,18/33,267.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
