Player,Opp,Team,Pos,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Matt Ryan,Car,ATL,QB,W 48-33,28/37,503.0,4.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
Ben Roethlisberger,KC,PIT,QB,W 43-14,22/27,300.0,5.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0
Blake Bortles,Ind,JAC,QB,W 30-27,19/33,207.0,2.0,0.0,7.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Russell Wilson,@NYJ,SEA,QB,W 27-17,23/32,309.0,3.0,0.0,5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Derek Carr,@Bal,OAK,QB,W 28-27,25/35,199.0,4.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Joe Flacco,Oak,BAL,QB,L 27-28,32/52,298.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0
Brian Hoyer,Det,CHI,QB,W 17-14,28/36,302.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Philip Rivers,NO,SDG,QB,L 34-35,28/43,321.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Alex Smith,@Pit,KAN,QB,L 14-43,30/50,287.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Andrew Luck,@Jax,IND,QB,L 27-30,27/42,234.0,2.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
