Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Kirk Cousins,WAS,QB,SF,W 26-24,25/37,330.0,2.0,1.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.8
Deshaun Watson,HOU,QB,Cle,W 33-17,17/29,225.0,3.0,1.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,23.3
Carson Wentz,PHI,QB,@Car,W 28-23,16/30,222.0,3.0,0.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,21.3
Carson Palmer,ARI,QB,TB,W 38-33,18/22,283.0,3.0,1.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.8
Ryan Fitzpatrick,TAM,QB,@Ari,L 33-38,22/32,290.0,3.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.8
Cam Newton,CAR,QB,Phi,L 23-28,28/52,239.0,1.0,3.0,11.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.5
Josh McCown,NYJ,QB,NE,L 17-24,31/47,354.0,2.0,2.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.1
Tom Brady,NWE,QB,@NYJ,W 24-17,20/38,257.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.1
Trevor Siemian,DEN,QB,NYG,L 10-23,29/50,376.0,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.9
Alex Smith,KAN,QB,Pit,L 13-19,19/34,246.0,1.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.1
Matthew Stafford,DET,QB,@NO,L 38-52,25/52,312.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,14.8
Marcus Mariota,TEN,QB,Ind,W 36-22,23/32,306.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.2
Philip Rivers,LAC,QB,@Oak,W 17-16,25/36,268.0,1.0,0.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.2
Jacoby Brissett,IND,QB,@Ten,L 22-36,21/37,212.0,1.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.9
Blake Bortles,JAC,QB,LAR,L 17-27,23/35,241.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.5
C.J. Beathard,SFO,QB,@Wsh,L 24-26,19/36,245.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.2
Case Keenum,MIN,QB,GB,W 23-10,24/38,239.0,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.9
Jay Cutler,MIA,QB,@Atl,W 20-17,19/33,151.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.9
Ben Roethlisberger,PIT,QB,@KC,W 19-13,17/25,252.0,1.0,1.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.8
Matt Ryan,ATL,QB,Mia,L 17-20,24/35,248.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.8
Drew Brees,NOR,QB,Det,W 52-38,20/30,186.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.5
Jared Goff,LAR,QB,@Jax,W 27-17,11/21,124.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.7
Mitchell Trubisky,CHI,QB,@Bal,W 27-24,8/16,113.0,1.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,9.6
Eli Manning,NYG,QB,@Den,W 23-10,11/19,128.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.0
Kevin Hogan,CLE,QB,@Hou,L 17-33,20/37,140.0,1.0,3.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.2
Derek Carr,OAK,QB,LAC,L 16-17,21/30,171.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,6.8
Joe Flacco,BAL,QB,Chi,L 24-27,24/41,180.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,5.4
Brett Hundley,GNB,QB,@Min,L 10-23,18/33,157.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,4.5
Jameis Winston,TAM,QB,@Ari,L 33-38,5/10,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2.4
Brian Hoyer,SFO,QB,@Wsh,L 24-26,4/11,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.2
Aaron Rodgers,GNB,QB,@Min,L 10-23,2/4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.6
Brock Osweiler,DEN,QB,NYG,L 10-23,2/4,18.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.5
Mike Vick,PIT,QB,@KC,W 19-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Shaun Hill,MIN,QB,GB,W 23-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Schaub,ATL,QB,Mia,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
