Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Carson Wentz,PHI,QB,Wsh,W 34-24,17/25,268.0,4.0,1.0,8.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,30.9
Derek Carr,OAK,QB,KC,W 31-30,29/52,417.0,3.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,30.1
Dak Prescott,DAL,QB,@SF,W 40-10,16/25,234.0,3.0,0.0,4.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,29.8
Russell Wilson,SEA,QB,@NYG,W 24-7,27/39,334.0,3.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.2
Alex Smith,KAN,QB,@Oak,L 30-31,25/36,342.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,25.6
Josh McCown,NYJ,QB,@Mia,L 28-31,17/27,209.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.3
Kirk Cousins,WAS,QB,@Phi,L 24-34,30/40,303.0,3.0,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,23.8
Jameis Winston,TAM,QB,@Buf,L 27-30,32/44,384.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,23.2
Tyrod Taylor,BUF,QB,TB,W 30-27,20/33,268.0,1.0,0.0,6.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.9
Drew Brees,NOR,QB,@GB,W 26-17,27/38,331.0,1.0,2.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.1
Jared Goff,LAR,QB,Ari,W 33-0,22/37,235.0,1.0,1.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.7
Tom Brady,NWE,QB,Atl,W 23-7,21/29,249.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.3
Matt Ryan,ATL,QB,@NE,L 7-23,23/33,233.0,1.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.9
Ben Roethlisberger,PIT,QB,Cin,W 29-14,14/24,224.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.5
Blake Bortles,JAC,QB,@Ind,W 27-0,18/26,330.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,16.3
Philip Rivers,LAC,QB,Den,W 21-0,15/26,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.2
C.J. Beathard,SFO,QB,Dal,L 10-40,22/38,235.0,0.0,0.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,14.4
Matt Moore,MIA,QB,NYJ,W 31-28,13/21,188.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.4
Brett Hundley,GNB,QB,NO,L 17-26,12/25,87.0,0.0,1.0,3.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.8
Jay Cutler,MIA,QB,NYJ,W 31-28,12/16,138.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.4
Joe Flacco,BAL,QB,@Min,L 16-24,27/39,186.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.4
