Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Deshaun Watson,WA (Wed),HOU,QB,Ten,W 57-14,25/34,283.0,4.0,1.0,4.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,33.6
Cam Newton,BKN,CAR,QB,@NE,W 33-30,22/29,316.0,3.0,1.0,8.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,33.0
Andy Dalton,WA (Wed),CIN,QB,@Cle,W 31-7,25/30,286.0,4.0,0.0,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,28.3
Russell Wilson,LOS,SEA,QB,Ind,W 46-18,21/26,295.0,2.0,2.0,4.0,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,27.6
Eli Manning,WA (Wed),NYG,QB,@TB,L 23-25,30/49,288.0,2.0,0.0,3.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.6
Alex Smith,WA (Wed),KAN,QB,Wsh,W 29-20,27/37,293.0,1.0,0.0,7.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.2
Jameis Winston,BKN,TAM,QB,NYG,W 25-23,22/38,332.0,3.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.4
Aaron Rodgers,BLRT,GNB,QB,Chi,W 35-14,18/26,179.0,4.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.9
Dak Prescott,LOS,DAL,QB,LAR,L 30-35,20/36,252.0,3.0,1.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.5
Kirk Cousins,SCOT,WAS,QB,@KC,L 20-29,14/24,220.0,2.0,0.0,7.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.6
Tom Brady,WA (Wed),NWE,QB,Car,L 30-33,32/45,307.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.4
Philip Rivers,WA (Wed),LAC,QB,Phi,L 24-26,22/38,347.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,19.8
Drew Brees,NOG,NOR,QB,@Mia,W 20-0,29/41,268.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.9
Jared Goff,WA (Wed),LAR,QB,@Dal,W 35-30,21/36,255.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.1
Carson Palmer,WA (Wed),ARI,QB,SF,W 18-15,33/51,357.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.3
Marcus Mariota,GARI,TEN,QB,@Hou,L 14-57,6/10,96.0,0.0,2.0,4.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.7
Carson Wentz,WA (Wed),PHI,QB,@LAC,W 26-24,17/31,242.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.0
Tyrod Taylor,WA (Wed),BUF,QB,@Atl,W 23-17,12/20,182.0,1.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.4
Blake Bortles,WA (Wed),JAC,QB,@NYJ,L 20-23,15/35,140.0,1.0,1.0,4.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.4
Trevor Siemian,WA (Wed),DEN,QB,Oak,W 16-10,16/26,179.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.1
Ben Roethlisberger,SCOT,PIT,QB,@Bal,W 26-9,18/30,216.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,10.5
Matthew Stafford,MM,DET,QB,@Min,W 14-7,19/31,209.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,9.9
Derek Carr,DAN,OAK,QB,@Den,L 10-16,10/18,143.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.6
Jacoby Brissett,WA (Wed),IND,QB,@Sea,L 18-46,16/29,157.0,1.0,1.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,9.5
Joe Flacco,WA (Wed),BAL,QB,Pit,L 9-26,31/49,235.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.4
Case Keenum,WA (Wed),MIN,QB,Det,L 7-14,16/30,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.6
Matt Ryan,MM,ATL,QB,Buf,L 17-23,24/42,242.0,1.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,8.4
