Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Matt Ryan,ATL,QB,@Car,L 17-20,24/38,313.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.3
C.J. Beathard,SFO,QB,Ari,L 10-20,24/51,294.0,0.0,1.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.2
Josh McCown,NYJ,QB,Buf,W 34-21,14/20,140.0,1.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.9
Blake Bortles,JAC,QB,Cin,W 23-7,24/38,259.0,1.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.2
Marcus Mariota,TEN,QB,Bal,W 23-20,19/28,218.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.2
Joe Flacco,BAL,QB,@Ten,L 20-23,34/52,261.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.1
Drew Stanton,ARI,QB,@SF,W 20-10,15/30,201.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.2
Derek Carr,OAK,QB,@Mia,W 27-24,21/30,300.0,1.0,1.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.7
Eli Manning,NYG,QB,LAR,L 17-51,20/36,220.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,12.8
Tom Savage,HOU,QB,Ind,L 14-20,19/44,219.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,10.6
Ryan Fitzpatrick,TAM,QB,@NO,L 10-30,8/15,68.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.6
Brock Osweiler,DEN,QB,@Phi,L 23-51,19/38,208.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.2
Kirk Cousins,WAS,QB,@Sea,W 17-14,21/31,247.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,8.2
Andy Dalton,CIN,QB,@Jax,L 7-23,10/18,136.0,0.0,0.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5.3
Jameis Winston,TAM,QB,@NO,L 10-30,7/13,67.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3.4
Carson Palmer,ARI,QB,@SF,W 20-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Tony Romo,DAL,QB,KC,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Schaub,ATL,QB,@Car,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Luke McCown,DAL,QB,KC,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Dan Orlovsky,LAR,QB,@NYG,W 51-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Derek Anderson,CAR,QB,Atl,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Cassel,TEN,QB,Bal,W 23-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Tarvaris Jackson,SEA,QB,Wsh,L 14-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Moore,MIA,QB,Oak,L 24-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Chad Henne,JAC,QB,Cin,W 23-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Josh Johnson,NYG,QB,LAR,L 17-51,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Flynn,NOR,QB,TB,W 30-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Chase Daniel,NOR,QB,TB,W 30-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Josh Freeman,IND,QB,@Hou,W 20-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Jimmy Clausen,BAL,QB,@Ten,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Colt McCoy,WAS,QB,@Sea,W 17-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Dan LeFevour,TAM,QB,@NO,L 10-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Joe Webb,BUF,QB,@NYJ,L 21-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Thaddeus Lewis,BAL,QB,@Ten,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Christian Ponder,SFO,QB,Ari,L 10-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Blaine Gabbert,ARI,QB,@SF,W 20-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Colin Kaepernick,SFO,QB,Ari,L 10-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Ryan Mallett,BAL,QB,@Ten,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
T.J. Yates,HOU,QB,Ind,L 14-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Jerrod Johnson,DAL,QB,KC,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Scott Tolzien,IND,QB,@Hou,W 20-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Andrew Luck,IND,QB,@Hou,W 20-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Ryan Tannehill,MIA,QB,Oak,L 24-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Brandon Weeden,TEN,QB,Bal,W 23-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Kellen Moore,DAL,QB,KC,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Ryan Lindley,IND,QB,@Hou,W 20-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Austin Davis,SEA,QB,Wsh,L 14-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Simms,ATL,QB,@Car,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Alex Tanney,TEN,QB,Bal,W 23-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
EJ Manuel,OAK,QB,@Mia,W 27-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Ryan Nassib,JAC,QB,Cin,W 23-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Sean Renfree,ATL,QB,@Car,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Zac Dysert,ARI,QB,@SF,W 20-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt Barkley,SFO,QB,Ari,L 10-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Ryan Griffin,TAM,QB,@NO,L 10-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Tyler Bray,KAN,QB,@Dal,L 17-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Matt McGloin,HOU,QB,Ind,L 14-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Jimmy Garoppolo,SFO,QB,Ari,L 10-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
AJ McCarron,CIN,QB,@Jax,L 7-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
David Fales,MIA,QB,Oak,L 24-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Keith Wenning,BUF,QB,@NYJ,L 21-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Aaron Murray,KAN,QB,@Dal,L 17-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Dustin Vaughan,BAL,QB,@Ten,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Bryce Petty,NYJ,QB,Buf,W 34-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Trevor Siemian,DEN,QB,@Phi,L 23-51,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Dylan Thompson,LAR,QB,@NYG,W 51-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Garrett Grayson,NOR,QB,TB,W 30-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Paxton Lynch,DEN,QB,@Phi,L 23-51,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Christian Hackenberg,NYJ,QB,Buf,W 34-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Connor Cook,OAK,QB,@Mia,W 27-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Nate Sudfeld,PHI,QB,Den,W 51-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Brandon Allen,LAR,QB,@NYG,W 51-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Jeff Driskel,CIN,QB,@Jax,L 7-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Brandon Doughty,MIA,QB,Oak,L 24-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Trevone Boykin,SEA,QB,Wsh,L 14-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Stephen Morris,IND,QB,@Hou,W 20-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Chad Kelly,DEN,QB,@Phi,L 23-51,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Patrick Mahomes,KAN,QB,@Dal,L 17-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Deshaun Watson,HOU,QB,Ind,L 14-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Nathan Peterman,BUF,QB,@NYJ,L 21-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Davis Webb,NYG,QB,LAR,L 17-51,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Cooper Rush,DAL,QB,KC,W 28-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Taysom Hill,NOR,QB,TB,W 30-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
Geno Smith,NYG,QB,LAR,L 17-51,0/2,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-0.1
Sean Mannion,LAR,QB,@NYG,W 51-17,0/0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-0.1
Nick Foles,PHI,QB,Den,W 51-23,1/1,35.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,-0.7
Tom Brady,NWE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Vick,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Hill,MIN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Rivers,LAC,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,GNB,QB,Det,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellen Clemens,LAC,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Whitehurst,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Gradkowski,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,NWE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sanchez,CHI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,DET,QB,@GB,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bradford,MIN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Griffin III,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Case Keenum,MIN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Glennon,CHI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landry Jones,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater,MIN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Manziel,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajh Boyd,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Mettenberger,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Blanchard,CHI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Shaw,CHI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brett Hundley,GNB,QB,Det,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Kessler,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardale Jones,LAC,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hogan,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Rudock,DET,QB,@GB,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Heinicke,MIN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Callahan,GNB,QB,Det,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Trubisky,CHI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Kaaya,DET,QB,@GB,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Dobbs,PIT,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeShone Kizer,CLE,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NOR,RB,TB,W 30-10,0/0,0.0,0.0,0.0,10.0,68.0,1.0,6.0,84.0,1.0,7.0,0.0,1.0,0.0,,,,,,,,,,,,25.2
Corey Clement,PHI,RB,Den,W 51-23,0/0,0.0,0.0,0.0,12.0,51.0,2.0,1.0,15.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,24.6
Todd Gurley II,LAR,RB,@NYG,W 51-17,0/0,0.0,0.0,0.0,16.0,59.0,2.0,2.0,45.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,22.4
Matt Forte,NYJ,RB,Buf,W 34-21,0/0,0.0,0.0,0.0,14.0,77.0,2.0,4.0,19.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,21.6
Marshawn Lynch,OAK,RB,@Mia,W 27-24,0/0,0.0,0.0,0.0,14.0,57.0,2.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,18.3
Christian McCaffrey,CAR,RB,Atl,W 20-17,0/0,0.0,0.0,0.0,15.0,66.0,1.0,5.0,28.0,0.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,15.4
Ezekiel Elliott,DAL,RB,KC,W 28-17,0/0,0.0,0.0,0.0,27.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.3
Adrian Peterson,ARI,RB,@SF,W 20-10,0/0,0.0,0.0,0.0,37.0,159.0,0.0,2.0,8.0,0.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,14.7
Rob Kelley,WAS,RB,@Sea,W 17-14,0/0,0.0,0.0,0.0,14.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.8
Jay Ajayi,PHI,RB,Den,W 51-23,0/0,0.0,0.0,0.0,8.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.7
Carlos Hyde,SFO,RB,Ari,L 10-20,0/0,0.0,0.0,0.0,12.0,41.0,0.0,9.0,84.0,0.0,11.0,0.0,0.0,0.0,,,,,,,,,,,,12.5
Javorius Allen,BAL,RB,@Ten,L 20-23,0/0,0.0,0.0,0.0,7.0,21.0,0.0,7.0,44.0,1.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,12.5
Damien Williams,MIA,RB,Oak,L 24-27,0/0,0.0,0.0,0.0,7.0,14.0,0.0,6.0,47.0,1.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,12.1
Joe Mixon,CIN,RB,@Jax,L 7-23,0/0,0.0,0.0,0.0,13.0,31.0,1.0,3.0,15.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,10.6
Chris Ivory,JAC,RB,Cin,W 23-7,0/0,0.0,0.0,0.0,20.0,70.0,0.0,3.0,34.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,10.4
Kenyan Drake,MIA,RB,Oak,L 24-27,0/0,0.0,0.0,0.0,9.0,69.0,0.0,6.0,35.0,0.0,6.0,1.0,1.0,0.0,,,,,,,,,,,,10.4
Derrick Henry,TEN,RB,Bal,W 23-20,0/0,0.0,0.0,0.0,8.0,26.0,1.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,9.6
Lamar Miller,HOU,RB,Ind,L 14-20,0/0,0.0,0.0,0.0,10.0,57.0,0.0,3.0,34.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,9.1
Tevin Coleman,ATL,RB,@Car,L 17-20,0/0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,19.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,8.4
Mark Ingram,NOR,RB,TB,W 30-10,0/0,0.0,0.0,0.0,16.0,77.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,7.9
Orleans Darkwa,NYG,RB,LAR,L 17-51,0/0,0.0,0.0,0.0,16.0,71.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,7.9
Frank Gore,IND,RB,@Hou,W 20-14,0/0,0.0,0.0,0.0,17.0,51.0,0.0,3.0,26.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,7.7
Bilal Powell,NYJ,RB,Buf,W 34-21,0/0,0.0,0.0,0.0,9.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.4
Thomas Rawls,SEA,RB,Wsh,L 14-17,0/0,0.0,0.0,0.0,9.0,39.0,0.0,2.0,31.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,7.0
Devonta Freeman,ATL,RB,@Car,L 17-20,0/0,0.0,0.0,0.0,11.0,46.0,0.0,4.0,18.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,6.4
Kareem Hunt,KAN,RB,@Dal,L 17-28,0/0,0.0,0.0,0.0,9.0,37.0,0.0,4.0,24.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,6.1
Malcolm Brown,LAR,RB,@NYG,W 51-17,0/0,0.0,0.0,0.0,15.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,5.7
Peyton Barber,TAM,RB,@NO,L 10-30,0/0,0.0,0.0,0.0,11.0,34.0,0.0,2.0,20.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,5.4
