Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Jared Goff,LAR,QB,@NYG,W 51-17,14/22,311.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,28.4
Tyrod Taylor,BUF,QB,@NYJ,L 21-34,29/40,285.0,2.0,0.0,6.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,26.9
Dak Prescott,DAL,QB,KC,W 28-17,21/33,249.0,2.0,0.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.5
Carson Wentz,PHI,QB,Den,W 51-23,15/27,199.0,4.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.6
Jay Cutler,MIA,QB,Oak,L 24-27,34/42,311.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.4
Russell Wilson,SEA,QB,Wsh,L 14-17,24/45,297.0,2.0,2.0,10.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,23.5
Cam Newton,CAR,QB,Atl,W 20-17,13/24,137.0,0.0,0.0,9.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.0
Jacoby Brissett,IND,QB,@Hou,W 20-14,20/30,308.0,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,19.4
Drew Brees,NOR,QB,TB,W 30-10,22/27,263.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.6
Alex Smith,KAN,QB,@Dal,L 17-28,25/34,263.0,2.0,1.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.3
