Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Tom Brady,NWE,QB,LAC,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Vick,PIT,QB,@Det,Sun 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Brees,NOR,QB,Chi,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh McCown,NYJ,QB,Atl,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Hill,MIN,QB,@Cle,Sun 9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Carson Palmer,ARI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Romo,DAL,QB,@Wsh,Sun 4:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Eli Manning,NYG,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Rivers,LAC,QB,@NE,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Roethlisberger,PIT,QB,@Det,Sun 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Schaub,ATL,QB,@NYJ,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke McCown,DAL,QB,@Wsh,Sun 4:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Smith,KAN,QB,Den,Mon 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Rodgers,GNB,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Orlovsky,LAR,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derek Anderson,CAR,QB,@TB,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Cassel,TEN,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Fitzpatrick,TAM,QB,Car,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Cutler,MIA,QB,@Bal,Thu 8:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Kellen Clemens,LAC,QB,@NE,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarvaris Jackson,SEA,QB,Hou,Sun 4:05,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Whitehurst,CLE,QB,Min,Sun 9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Gradkowski,PIT,QB,@Det,Sun 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Stanton,ARI,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Moore,MIA,QB,@Bal,Thu 8:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ryan,ATL,QB,@NYJ,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Flacco,BAL,QB,Mia,Thu 8:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Henne,JAC,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Johnson,NYG,QB,** BYE **,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Flynn,NOR,QB,Chi,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Daniel,NOR,QB,Chi,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Freeman,IND,QB,@Cin,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Hoyer,SFO,QB,@Phi,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sanchez,CHI,QB,@NO,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,DET,QB,Pit,Sun 8:30,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bradford,MIN,QB,@Cle,Sun 9:30 AM,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Clausen,BAL,QB,Mia,Thu 8:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Colt McCoy,WAS,QB,Dal,Sun 4:25,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan LeFevour,TAM,QB,Car,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Webb,BUF,QB,Oak,Sun 1:00,,,,,,,,,,,,,,,,,,,,,,,,,,
