Year,Week,Day,Date,Winner,At,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Home,Away,WeekLabel,GameID
2001,4,Sun,2001-10-07,DEN,,KAN,20,6,300,1,297,4,DEN,KAN,4,DEN-KAN-2001-04
2001,4,Sun,2001-10-07,SEA,,JAC,24,15,395,2,256,2,SEA,JAC,4,SEA-JAC-2001-04
2001,4,Sun,2001-10-07,OAK,,DAL,28,21,308,2,231,0,OAK,DAL,4,OAK-DAL-2001-04
2001,4,Sun,2001-10-07,PIT,,CIN,16,7,413,2,214,1,PIT,CIN,4,PIT-CIN-2001-04
2001,4,Sun,2001-10-07,CHI,@,ATL,31,3,300,2,335,5,ATL,CHI,4,ATL-CHI-2001-04
2001,4,Sun,2001-10-07,SFO,,CAR,24,14,353,1,336,3,SFO,CAR,4,SFO-CAR-2001-04
2001,4,Mon,2001-10-08,LAR,@,DET,35,0,378,1,334,3,DET,LAR,4,DET-LAR-2001-04
2001,5,Sun,2001-10-14,MIN,,DET,31,26,343,1,457,1,MIN,DET,5,MIN-DET-2001-05
2001,5,Sun,2001-10-14,CHI,,ARI,20,13,253,3,288,1,CHI,ARI,5,CHI-ARI-2001-05
2001,5,Sun,2001-10-14,TEN,,TAM,31,28,365,1,306,1,TEN,TAM,5,TEN-TAM-2001-05
2001,5,Sun,2001-10-14,OAK,@,IND,23,18,317,1,352,2,IND,OAK,5,IND-OAK-2001-05
2001,5,Sun,2001-10-14,SFO,@,ATL,37,31,517,2,342,1,ATL,SFO,5,ATL-SFO-2001-05
2001,5,Sun,2001-10-14,NWE,,SDG,29,26,374,1,343,1,NWE,SDG,5,NWE-SDG-2001-05
2001,5,Sun,2001-10-14,GNB,,BAL,31,23,391,1,357,4,GNB,BAL,5,GNB-BAL-2001-05
2001,5,Sun,2001-10-14,PIT,@,KAN,20,17,316,0,271,1,KAN,PIT,5,KAN-PIT-2001-05
2001,5,Sun,2001-10-14,LAR,,NYG,15,14,315,4,324,2,LAR,NYG,5,LAR-NYG-2001-05
2001,5,Sun,2001-10-14,NOR,@,CAR,27,25,358,3,218,3,CAR,NOR,5,CAR-NOR-2001-05
2001,5,Sun,2001-10-14,NYJ,,MIA,21,17,268,0,348,4,NYJ,MIA,5,NYJ-MIA-2001-05
2001,5,Sun,2001-10-14,SEA,,DEN,34,21,254,1,281,3,SEA,DEN,5,SEA-DEN-2001-05
2001,5,Sun,2001-10-14,CIN,,CLE,24,14,400,0,211,1,CIN,CLE,5,CIN-CLE-2001-05
2001,5,Mon,2001-10-15,DAL,,WAS,9,7,386,1,226,1,DAL,WAS,5,DAL-WAS-2001-05
2001,6,Thu,2001-10-18,BUF,@,JAC,13,10,317,0,247,2,JAC,BUF,6,JAC-BUF-2001-06
2001,6,Sun,2001-10-21,PIT,@,TAM,17,10,344,3,278,1,TAM,PIT,6,TAM-PIT-2001-06
2001,6,Sun,2001-10-21,TEN,@,DET,27,24,329,2,363,2,DET,TEN,6,DET-TEN-2001-06
2001,6,Sun,2001-10-21,NWE,@,IND,38,17,385,0,484,2,IND,NWE,6,IND-NWE-2001-06
2001,6,Sun,2001-10-21,ARI,,KAN,24,16,363,2,459,2,ARI,KAN,6,ARI-KAN-2001-06
2001,6,Sun,2001-10-21,CHI,@,CIN,24,0,435,1,264,1,CIN,CHI,6,CIN-CHI-2001-06
2001,6,Sun,2001-10-21,MIN,,GNB,35,13,377,2,234,1,MIN,GNB,6,MIN-GNB-2001-06
2001,6,Sun,2001-10-21,ATL,@,NOR,20,13,297,2,276,1,NOR,ATL,6,NOR-ATL-2001-06
2001,6,Sun,2001-10-21,WAS,,CAR,17,14,443,2,342,4,WAS,CAR,6,WAS-CAR-2001-06
2001,6,Sun,2001-10-21,CLE,,BAL,24,14,219,0,321,3,CLE,BAL,6,CLE-BAL-2001-06
2001,6,Sun,2001-10-21,LAR,@,NYJ,34,14,448,2,266,1,NYJ,LAR,6,NYJ-LAR-2001-06
2001,6,Sun,2001-10-21,SDG,,DEN,27,10,379,2,263,3,SDG,DEN,6,SDG-DEN-2001-06
2001,6,Mon,2001-10-22,PHI,@,NYG,10,9,215,1,238,1,NYG,PHI,6,NYG-PHI-2001-06
2001,7,Thu,2001-10-25,IND,@,KAN,35,28,373,1,415,3,KAN,IND,7,KAN-IND-2001-07
2001,7,Sun,2001-10-28,CHI,,SFO,37,31,364,3,350,2,CHI,SFO,7,CHI-SFO-2001-07
2001,7,Sun,2001-10-28,OAK,@,PHI,20,10,354,0,195,0,PHI,OAK,7,PHI-OAK-2001-07
2001,7,Sun,2001-10-28,NOR,@,LAR,34,31,320,2,474,8,LAR,NOR,7,LAR-NOR-2001-07
2001,7,Sun,2001-10-28,MIA,@,SEA,24,20,289,4,302,2,SEA,MIA,7,SEA-MIA-2001-07
2001,7,Sun,2001-10-28,BAL,,JAC,18,17,305,1,365,1,BAL,JAC,7,BAL-JAC-2001-07
2001,7,Sun,2001-10-28,DAL,,ARI,17,3,225,2,292,4,DAL,ARI,7,DAL-ARI-2001-07
2001,7,Sun,2001-10-28,SDG,,BUF,27,24,338,0,396,2,SDG,BUF,7,SDG-BUF-2001-07
2001,7,Sun,2001-10-28,WAS,,NYG,35,21,353,0,388,2,WAS,NYG,7,WAS-NYG-2001-07
2001,7,Sun,2001-10-28,TAM,,MIN,41,14,446,1,195,1,TAM,MIN,7,TAM-MIN-2001-07
2001,7,Sun,2001-10-28,CIN,@,DET,31,27,412,2,276,3,DET,CIN,7,DET-CIN-2001-07
2001,7,Sun,2001-10-28,NYJ,@,CAR,13,12,358,4,162,1,CAR,NYJ,7,CAR-NYJ-2001-07
2001,7,Sun,2001-10-28,DEN,,NWE,31,20,355,2,300,5,DEN,NWE,7,DEN-NWE-2001-07
2001,7,Mon,2001-10-29,PIT,,TEN,34,7,405,0,214,4,PIT,TEN,7,PIT-TEN-2001-07
2001,8,Sun,2001-11-04,WAS,,SEA,27,14,365,1,275,4,WAS,SEA,8,WAS-SEA-2001-08
2001,8,Sun,2001-11-04,GNB,,TAM,21,20,352,3,194,0,GNB,TAM,8,GNB-TAM-2001-08
2001,8,Sun,2001-11-04,BAL,@,PIT,13,10,183,1,348,1,PIT,BAL,8,PIT-BAL-2001-08
2001,8,Sun,2001-11-04,PHI,@,ARI,21,7,332,1,327,2,ARI,PHI,8,ARI-PHI-2001-08
2001,8,Sun,2001-11-04,NYJ,@,NOR,16,9,272,2,246,4,NOR,NYJ,8,NOR-NYJ-2001-08
2001,8,Sun,2001-11-04,NWE,@,ATL,24,10,371,2,244,1,ATL,NWE,8,ATL-NWE-2001-08
2001,8,Sun,2001-11-04,TEN,,JAC,28,24,362,0,309,1,TEN,JAC,8,TEN-JAC-2001-08
2001,8,Sun,2001-11-04,SFO,,DET,21,13,427,3,131,0,SFO,DET,8,SFO-DET-2001-08
2001,8,Sun,2001-11-04,NYG,,DAL,27,24,358,5,324,4,NYG,DAL,8,NYG-DAL-2001-08
2001,8,Sun,2001-11-04,IND,@,BUF,30,14,305,1,232,2,BUF,IND,8,BUF-IND-2001-08
2001,8,Sun,2001-11-04,CHI,,CLE,27,21,413,4,261,1,CHI,CLE,8,CHI-CLE-2001-08
2001,8,Sun,2001-11-04,KAN,@,SDG,25,20,378,1,325,1,SDG,KAN,8,SDG-KAN-2001-08
2001,8,Sun,2001-11-04,MIA,,CAR,23,6,337,1,281,1,MIA,CAR,8,MIA-CAR-2001-08
2001,8,Mon,2001-11-05,OAK,,DEN,38,28,356,1,366,2,OAK,DEN,8,OAK-DEN-2001-08
2001,9,Sun,2001-11-11,TAM,@,DET,20,17,274,1,270,3,DET,TAM,9,DET-TAM-2001-09
2001,9,Sun,2001-11-11,SEA,,OAK,34,27,497,0,338,1,SEA,OAK,9,SEA-OAK-2001-09
2001,9,Sun,2001-11-11,PIT,@,CLE,15,12,428,1,187,0,CLE,PIT,9,CLE-PIT-2001-09
2001,9,Sun,2001-11-11,NYG,@,ARI,17,10,334,1,213,3,ARI,NYG,9,ARI-NYG-2001-09
2001,9,Sun,2001-11-11,SFO,,NOR,28,27,415,0,488,1,SFO,NOR,9,SFO-NOR-2001-09
2001,9,Sun,2001-11-11,PHI,,MIN,48,17,487,1,301,4,PHI,MIN,9,PHI-MIN-2001-09
2001,9,Sun,2001-11-11,MIA,@,IND,27,24,375,3,289,3,IND,MIA,9,IND-MIA-2001-09
2001,9,Sun,2001-11-11,NWE,,BUF,21,11,205,3,242,2,NWE,BUF,9,NWE-BUF-2001-09
2001,9,Sun,2001-11-11,GNB,@,CHI,20,12,368,2,262,1,CHI,GNB,9,CHI-GNB-2001-09
2001,9,Sun,2001-11-11,ATL,,DAL,20,13,201,1,303,2,ATL,DAL,9,ATL-DAL-2001-09
2001,9,Sun,2001-11-11,JAC,,CIN,30,13,261,0,352,1,JAC,CIN,9,JAC-CIN-2001-09
2001,9,Sun,2001-11-11,NYJ,,KAN,27,7,353,2,224,4,NYJ,KAN,9,NYJ-KAN-2001-09
2001,9,Sun,2001-11-11,DEN,,SDG,26,16,338,1,243,5,DEN,SDG,9,DEN-SDG-2001-09
2001,9,Sun,2001-11-11,LAR,,CAR,48,14,493,4,146,3,LAR,CAR,9,LAR-CAR-2001-09
2001,9,Mon,2001-11-12,BAL,@,TEN,16,10,238,2,318,2,TEN,BAL,9,TEN-BAL-2001-09
