Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,CAR,QB,Min,L 10-22,18.2/31.2,221.8,1.8,0.8,8.3,45.7,0.4,0.0,0.0,0.0,,,,,,19.8
Aaron Rodgers,GNB,QB,Det,W 34-27,21.6/33.5,265.1,2.2,0.5,3.2,15.4,0.1,0.0,0.0,0.0,,,,,,19.2
Russell Wilson,SEA,QB,SF,W 37-18,18.8/29.5,238.2,1.8,0.4,6.2,32.5,0.2,0.0,0.0,0.0,,,,,,19.2
Drew Brees,NOR,QB,Atl,L 32-45,27.5/40.3,314.4,2.1,1.0,1.4,2.7,0.1,0.0,0.0,0.0,,,,,,18.6
Philip Rivers,SDG,QB,@Ind,L 22-26,26.5/38.7,314.5,2.0,0.8,1.4,4.3,0.0,0.0,0.0,0.0,,,,,,18.6
Matt Ryan,ATL,QB,@NO,W 45-32,27.2/38.4,331.9,1.8,0.9,1.9,6.8,0.1,0.0,0.0,0.0,,,,,,18.3
Andrew Luck,IND,QB,SD,W 26-22,23.2/38.2,274.8,2.2,1.2,4.0,18.4,0.1,0.0,0.0,0.0,,,,,,18.1
Ryan Tannehill,MIA,QB,Cle,W 30-24,22.1/34.4,269.7,1.7,0.6,3.1,13.1,0.1,0.0,0.0,0.0,,,,,,17.1
Ben Roethlisberger,PIT,QB,@Phi,L 3-34,24.9/37.3,294.2,1.9,0.9,2.0,5.0,0.0,0.0,0.0,0.0,,,,,,17.1
Blake Bortles,JAC,QB,Bal,L 17-19,21.1/36.4,250.8,2.0,0.9,3.1,15.8,0.1,0.0,0.0,0.0,,,,,,17.1
Eli Manning,NYG,QB,Wsh,L 27-29,23.3/36,281.8,2.0,1.0,1.3,2.3,0.0,0.0,0.0,0.0,,,,,,17.0
