Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Russell Wilson,SEA,QB,Mia,W 12-10,17.8/27.8,230.0,2.0,0.5,6.0,31.9,0.2,0.0,0.0,0.0,,,,,,19.9
Aaron Rodgers,GNB,QB,@Jax,W 27-23,22.6/35.2,277.9,2.1,0.6,3.2,14.4,0.1,0.0,0.0,0.0,,,,,,19.6
Eli Manning,NYG,QB,@Dal,W 20-19,25.3/39,306.0,2.0,0.8,1.3,2.3,0.0,0.0,0.0,0.0,,,,,,18.3
Derek Carr,OAK,QB,@NO,W 35-34,23.9/37.6,283.2,2.2,0.8,1.9,6.0,0.0,0.0,0.0,0.0,,,,,,18.0
Matthew Stafford,DET,QB,@Ind,W 39-35,26.6/40.1,311.7,1.7,0.8,2.5,9.0,0.1,0.0,0.0,0.0,,,,,,17.9
Ben Roethlisberger,PIT,QB,@Wsh,W 38-16,26.2/39.5,305.3,1.8,0.9,1.9,4.7,0.0,0.0,0.0,0.0,,,,,,17.9
Andrew Luck,IND,QB,Det,L 35-39,22.1/37.3,274.4,2.2,1.2,4.0,17.0,0.1,0.0,0.0,0.0,,,,,,17.9
Drew Brees,NOR,QB,Oak,L 34-35,27.1/40.4,289.8,2.1,1.0,1.4,2.3,0.1,0.0,0.0,0.0,,,,,,17.5
Kirk Cousins,WAS,QB,Pit,L 16-38,25/38.2,295.6,2.0,0.9,2.3,7.2,0.1,0.0,0.0,0.0,,,,,,17.4
Tyrod Taylor,BUF,QB,@Bal,L 7-13,17.6/28.7,208.6,1.4,0.6,7.1,35.9,0.3,0.0,0.0,0.0,,,,,,17.0
Cam Newton,CAR,QB,@Den,L 20-21,18.3/32.9,206.5,1.5,0.7,7.7,38.2,0.3,0.0,0.0,0.0,,,,,,16.9
Carson Palmer,ARI,QB,NE,L 21-23,23.8/38.7,297.2,2.0,1.1,1.5,2.8,0.1,0.0,0.0,0.0,,,,,,16.7
Alex Smith,KAN,QB,SD,W 33-27,20.4/30.7,240.3,1.3,0.3,4.3,26.4,0.2,0.0,0.0,0.0,,,,,,16.6
Dak Prescott,DAL,QB,NYG,L 19-20,21.3/31.7,248.9,1.7,1.0,4.0,21.0,0.1,0.0,0.0,0.0,,,,,,16.3
Carson Wentz,PHI,QB,Cle,W 29-10,19.6/33.1,238.1,1.4,0.8,4.5,25.3,0.2,0.0,0.0,0.0,,,,,,16.1
Brock Osweiler,HOU,QB,Chi,W 23-14,21.5/33.8,262.2,1.7,0.8,3.2,7.8,0.1,0.0,0.0,0.0,,,,,,15.4
Philip Rivers,SDG,QB,@KC,L 27-33,26.3/40.7,282.4,1.6,1.0,1.4,3.9,0.0,0.0,0.0,0.0,,,,,,15.1
Matt Ryan,ATL,QB,TB,L 24-31,24.8/36.6,282.7,1.6,1.2,2.0,5.6,0.1,0.0,0.0,0.0,,,,,,14.8
