Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Tony Romo,DAL,QB,Bal,W 27-17,0.1/0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevone Boykin,SEA,QB,Phi,W 26-15,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Drew Stanton,ARI,QB,@Min,L 24-30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Moore,MIA,QB,@LA,W 14-10,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chase Daniel,PHI,QB,@Sea,L 15-26,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Mallett,BAL,QB,@Dal,L 17-27,0.1/0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Vick,PIT,QB,@Cle,W 24-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Philip Rivers,SDG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Schaub,ATL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ryan Fitzpatrick,NYJ,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Kellen Clemens,SDG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tarvaris Jackson,SEA,QB,Phi,W 26-15,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Charlie Whitehurst,CLE,QB,Pit,L 9-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bruce Gradkowski,PIT,QB,@Cle,W 24-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Ryan,ATL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Josh Javon Johnson,NYG,QB,Chi,W 22-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Flynn,NOR,QB,@Car,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Freeman,IND,QB,Ten,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brian Hoyer,CHI,QB,@NYG,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mark Sanchez,DAL,QB,Bal,W 27-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Clausen,BAL,QB,@Dal,L 17-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tim Tebow,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dan LeFevour,TAM,QB,@KC,W 19-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Webb,CAR,QB,NO,W 23-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Thaddeus Lewis,SFO,QB,NE,L 17-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Christian Ponder,SFO,QB,NE,L 17-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
T.J. Yates,HOU,QB,@Oak,L 20-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jerrod Johnson,DAL,QB,Bal,W 27-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Robert Griffin III,CLE,QB,Pit,L 9-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Weeden,HOU,QB,@Oak,L 20-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Moore,DAL,QB,Bal,W 27-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Lindley,IND,QB,Ten,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Austin Davis,DEN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Simms,ATL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Alex Tanney,TEN,QB,@Ind,L 17-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Geno Smith,NYJ,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Sean Renfree,ATL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Zac Dysert,ARI,QB,@Min,L 24-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Griffin,TAM,QB,@KC,W 19-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tyler Bray,KAN,QB,TB,L 17-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Teddy Bridgewater,MIN,QB,Ari,W 30-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Johnny Manziel,CLE,QB,Pit,L 9-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tajh Boyd,PIT,QB,@Cle,W 24-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Logan Thomas,BUF,QB,@Cin,W 16-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zach Mettenberger,PIT,QB,@Cle,W 24-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
David Fales,CHI,QB,@NYG,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Keith Wenning,CIN,QB,Buf,L 12-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Aaron Murray,KAN,QB,TB,L 17-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Blanchard,CHI,QB,@NYG,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dustin Vaughan,PIT,QB,@Cle,W 24-9,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Shaw,CHI,QB,@NYG,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bryce Petty,NYJ,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Trevor Siemian,DEN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dylan Thompson,LAR,QB,Mia,L 10-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Mannion,LAR,QB,Mia,L 10-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Garrett Grayson,NOR,QB,@Car,L 20-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Paxton Lynch,DEN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Christian Hackenberg,NYJ,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jacoby Brissett,NWE,QB,@SF,W 30-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Cook,OAK,QB,Hou,W 27-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cardale Jones,BUF,QB,@Cin,W 16-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kevin Hogan,CLE,QB,Pit,L 9-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nate Sudfeld,WAS,QB,GB,W 42-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jake Rudock,DET,QB,Jax,W 26-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Allen,JAC,QB,@Det,L 19-26,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jeff Driskel,CIN,QB,Buf,L 12-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Doughty,MIA,QB,@LA,W 14-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Taylor Heinicke,MIN,QB,Ari,W 30-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Stephen Morris,IND,QB,Ten,W 24-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Callahan,CLE,QB,Pit,L 9-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Barkley,CHI,QB,@NYG,L 16-22,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,-0.0
Shaun Hill,MIN,QB,Ari,W 30-24,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,-0.0
Le'Veon Bell,PIT,RB,@Cle,W 24-9,0/0,0.0,0.0,0.0,23.3,100.1,0.7,6.1,56.2,0.3,,,,,,,,,,0.0,,,20.8
LeGarrette Blount,NWE,RB,@SF,W 30-17,0/0,0.0,0.0,0.0,21.2,106.0,1.0,0.2,1.9,0.0,,,,,,,,,,0.0,,,16.1
Spencer Ware,KAN,RB,TB,L 17-19,0/0,0.0,0.0,0.0,19.2,94.6,0.8,2.3,22.8,0.1,,,,,,,,,,0.0,,,16.0
DeMarco Murray,TEN,RB,@Ind,L 17-24,0/0,0.0,0.0,0.0,18.8,88.3,0.7,3.1,23.6,0.2,,,,,,,,,,0.0,,,15.2
LeSean McCoy,BUF,RB,@Cin,W 16-12,0/0,0.0,0.0,0.0,16.9,83.5,0.8,3.3,24.1,0.1,,,,,,,,,,0.0,,,15.2
David Johnson,ARI,RB,@Min,L 24-30,0/0,0.0,0.0,0.0,18.8,80.4,0.5,4.1,39.0,0.2,,,,,,,,,,0.0,,,15.0
Ezekiel Elliott,DAL,RB,Bal,W 27-17,0/0,0.0,0.0,0.0,21.7,89.8,0.7,2.2,19.0,0.1,,,,,,,,,,0.0,,,13.5
Todd Gurley,LAR,RB,Mia,L 10-14,0/0,0.0,0.0,0.0,19.1,82.6,0.5,2.6,20.0,0.1,,,,,,,,,,0.0,,,13.4
Jay Ajayi,MIA,RB,@LA,W 14-10,0/0,0.0,0.0,0.0,19.6,90.3,0.6,1.8,13.0,0.0,,,,,,,,,,0.0,,,13.3
Theo Riddick,DET,RB,Jax,W 26-19,0/0,0.0,0.0,0.0,13.6,51.7,0.4,4.5,35.9,0.3,,,,,,,,,,0.0,,,12.3
Frank Gore,IND,RB,Ten,W 24-17,0/0,0.0,0.0,0.0,16.5,69.7,0.4,2.3,20.8,0.1,,,,,,,,,,0.0,,,11.1
Isaiah Crowell,CLE,RB,Pit,L 9-24,0/0,0.0,0.0,0.0,14.2,62.0,0.6,2.4,19.2,0.1,,,,,,,,,,0.0,,,11.0
Jonathan Stewart,CAR,RB,NO,W 23-20,0/0,0.0,0.0,0.0,17.8,75.1,0.6,0.4,3.7,0.0,,,,,,,,,,0.0,,,10.6
Jordan Howard,CHI,RB,@NYG,L 16-22,0/0,0.0,0.0,0.0,15.9,71.4,0.3,1.9,15.8,0.0,,,,,,,,,,0.0,,,10.0
Carlos Hyde,SFO,RB,NE,L 17-30,0/0,0.0,0.0,0.0,15.5,58.5,0.6,1.6,11.9,0.1,,,,,,,,,,0.0,,,9.9
Jeremy Hill,CIN,RB,Buf,L 12-16,0/0,0.0,0.0,0.0,14.6,65.2,0.6,0.7,5.4,0.0,,,,,,,,,,0.0,,,9.7
Lamar Miller,HOU,RB,@Oak,L 20-27,0/0,0.0,0.0,0.0,15.3,67.5,0.3,1.9,14.7,0.1,,,,,,,,,,0.0,,,9.3
Mark Ingram,NOR,RB,@Car,L 20-23,0/0,0.0,0.0,0.0,12.0,49.8,0.4,3.7,27.0,0.2,,,,,,,,,,0.0,,,9.2
Robert Kelley,WAS,RB,GB,W 42-24,0/0,0.0,0.0,0.0,16.1,68.5,0.5,0.8,5.5,0.0,,,,,,,,,,0.0,,,9.2
C.J. Prosise,SEA,RB,Phi,W 26-15,0/0,0.0,0.0,0.0,10.6,44.6,0.4,3.0,26.5,0.1,,,,,,,,,,0.0,,,8.9
Latavius Murray,OAK,RB,Hou,W 27-20,0/0,0.0,0.0,0.0,13.0,54.2,0.4,2.2,15.4,0.1,,,,,,,,,,0.0,,,8.8
Doug Martin,TAM,RB,@KC,W 19-17,0/0,0.0,0.0,0.0,14.8,66.0,0.2,2.2,16.8,0.1,,,,,,,,,,0.0,,,8.4
Rashad Jennings,NYG,RB,Chi,W 22-16,0/0,0.0,0.0,0.0,12.3,47.8,0.3,2.4,19.3,0.1,,,,,,,,,,0.0,,,7.3
Giovani Bernard,CIN,RB,Buf,L 12-16,0/0,0.0,0.0,0.0,9.1,39.9,0.3,3.2,29.7,0.1,,,,,,,,,,0.0,,,7.2
Paul Perkins,NYG,RB,Chi,W 22-16,0/0,0.0,0.0,0.0,10.4,39.8,0.3,2.3,20.8,0.1,,,,,,,,,,0.0,,,7.1
Thomas Rawls,SEA,RB,Phi,W 26-15,0/0,0.0,0.0,0.0,8.8,40.9,0.3,1.4,11.3,0.1,,,,,,,,,,0.0,,,7.0
Duke Johnson Jr.,CLE,RB,Pit,L 9-24,0/0,0.0,0.0,0.0,6.3,26.8,0.2,4.2,34.2,0.1,,,,,,,,,,0.0,,,7.0
Tim Hightower,NOR,RB,@Car,L 20-23,0/0,0.0,0.0,0.0,9.3,35.1,0.4,2.6,18.9,0.1,,,,,,,,,,0.0,,,6.9
James Starks,GNB,RB,@Wsh,L 24-42,0/0,0.0,0.0,0.0,12.8,53.8,0.1,1.5,11.1,0.1,,,,,,,,,,0.0,,,6.7
Darren Sproles,PHI,RB,@Sea,L 15-26,0/0,0.0,0.0,0.0,6.9,28.1,0.2,3.8,32.1,0.1,,,,,,,,,,0.0,,,6.7
Ryan Mathews,PHI,RB,@Sea,L 15-26,0/0,0.0,0.0,0.0,10.4,40.8,0.3,1.4,10.6,0.0,,,,,,,,,,0.0,,,6.6
Chris Ivory,JAC,RB,@Det,L 19-26,0/0,0.0,0.0,0.0,10.3,44.4,0.2,1.8,13.2,0.1,,,,,,,,,,0.0,,,6.5
James White,NWE,RB,@SF,W 30-17,0/0,0.0,0.0,0.0,3.0,14.5,0.1,4.1,38.6,0.2,,,,,,,,,,0.0,,,6.3
T.J. Yeldon,JAC,RB,@Det,L 19-26,0/0,0.0,0.0,0.0,8.2,33.2,0.1,2.6,20.8,0.1,,,,,,,,,,0.0,,,6.2
Matt Asiata,MIN,RB,Ari,W 30-24,0/0,0.0,0.0,0.0,9.8,32.3,0.2,2.0,13.6,0.1,,,,,,,,,,0.0,,,5.6
Chris Thompson,WAS,RB,GB,W 42-24,0/0,0.0,0.0,0.0,5.4,24.3,0.2,2.5,20.2,0.1,,,,,,,,,,0.0,,,5.5
Terrance West,BAL,RB,@Dal,L 17-27,0/0,0.0,0.0,0.0,10.3,38.3,0.2,1.7,12.4,0.0,,,,,,,,,,0.0,,,5.4
Kenneth Dixon,BAL,RB,@Dal,L 17-27,0/0,0.0,0.0,0.0,6.4,24.4,0.1,3.5,28.9,0.1,,,,,,,,,,0.0,,,5.1
Dwayne Washington,DET,RB,Jax,W 26-19,0/0,0.0,0.0,0.0,9.4,37.9,0.3,0.5,3.6,0.0,,,,,,,,,,0.0,,,5.0
Jerick McKinnon,MIN,RB,Ari,W 30-24,0/0,0.0,0.0,0.0,9.5,36.2,0.1,1.8,12.1,0.0,,,,,,,,,,0.0,,,4.7
Charcandrick West,KAN,RB,TB,L 17-19,0/0,0.0,0.0,0.0,4.9,21.1,0.2,1.9,15.3,0.1,,,,,,,,,,0.0,,,4.5
