Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Cam Newton,CAR,QB,NO,W 23-20,20.2/34.1,277.6,1.8,1.3,7.4,39.4,0.4,0.0,0.0,0.0,,,,,,,,,,1.3,,,20.9
Andrew Luck,IND,QB,Ten,W 24-17,24.7/38.9,309.7,2.2,1.4,4.4,18.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,19.3
Ben Roethlisberger,PIT,QB,@Cle,W 24-9,23.6/34.9,303.8,2.3,1.3,1.8,4.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,18.7
Marcus Mariota,TEN,QB,@Ind,L 17-24,20/31,241.0,2.3,1.0,4.2,23.9,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,18.6
Drew Brees,NOR,QB,@Car,L 20-23,28.4/42.2,312.3,2.2,1.4,1.6,1.9,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,18.6
Tom Brady,NWE,QB,@SF,W 30-17,23.1/35,256.2,2.2,0.7,2.3,4.1,0.2,0.0,0.0,0.0,,,,,,,,,,0.7,,,18.6
Blake Bortles,JAC,QB,@Det,L 19-26,24.9/37.7,304.5,1.6,1.3,4.0,21.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,18.0
Matthew Stafford,DET,QB,Jax,W 26-19,22.7/33.8,248.2,2.4,0.7,2.2,7.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,17.5
Aaron Rodgers,GNB,QB,@Wsh,L 24-42,23.4/38.2,263.9,2.1,0.8,3.8,18.3,0.0,0.0,0.0,0.0,,,,,,,,,,0.8,,,17.4
Derek Carr,OAK,QB,Hou,W 27-20,23/35.3,252.7,1.9,0.7,2.3,6.4,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,16.2
Andy Dalton,CIN,QB,Buf,L 12-16,20.8/33,260.4,1.4,1.0,3.3,13.5,0.2,0.0,0.0,0.0,,,,,,,,,,1.0,,,15.7
Eli Manning,NYG,QB,Chi,W 22-16,23.9/36.2,288.6,1.7,1.1,1.3,1.5,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.3
Tyrod Taylor,BUF,QB,@Cin,W 16-12,19.1/30.7,210.4,1.2,1.2,6.0,35.2,0.3,0.0,0.0,0.0,,,,,,,,,,1.2,,,15.3
Russell Wilson,SEA,QB,Phi,W 26-15,20.5/33.4,245.1,1.4,1.0,4.4,22.6,0.2,0.0,0.0,0.0,,,,,,,,,,1.0,,,15.0
Kirk Cousins,WAS,QB,GB,W 42-24,23.6/36.1,266.5,1.8,1.1,1.6,3.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,14.9
Dak Prescott,DAL,QB,Bal,W 27-17,19.9/29.8,236.4,1.4,1.0,3.5,12.3,0.2,0.0,0.0,0.0,,,,,,,,,,1.0,,,14.8
Joe Flacco,BAL,QB,@Dal,L 17-27,30.4/44.7,335.8,1.1,1.3,1.9,2.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,14.7
Colin Kaepernick,SFO,QB,NE,L 17-30,17.8/31.6,203.0,1.1,0.7,7.1,38.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.7,,,14.5
Alex Smith,KAN,QB,TB,L 17-19,21.1/32.2,235.4,1.4,0.8,3.3,19.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,14.3
Jameis Winston,TAM,QB,@KC,W 19-17,23/40.1,259.1,1.5,1.4,3.2,13.8,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,14.1
Cody Kessler,CLE,QB,Pit,L 9-24,22.3/36.2,257.3,1.3,0.8,1.9,5.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,13.7
Brock Osweiler,HOU,QB,@Oak,L 20-27,21.3/36.7,254.3,1.5,1.3,2.3,5.7,0.0,0.0,0.0,0.0,,,,,,,,,,1.3,,,13.3
Carson Palmer,ARI,QB,@Min,L 24-30,24.3/39.4,288.4,1.4,1.6,1.1,2.3,0.0,0.0,0.0,0.0,,,,,,,,,,1.6,,,12.9
Carson Wentz,PHI,QB,@Sea,L 15-26,23.3/35.6,253.9,1.1,1.2,2.9,8.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,11.6
Ryan Tannehill,MIA,QB,@LA,W 14-10,20.6/32.2,218.3,1.0,1.0,2.7,10.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,11.2
Sam Bradford,MIN,QB,Ari,W 30-24,23.2/34.7,232.9,1.0,0.9,1.6,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,11.1
Jay Cutler,CHI,QB,@NYG,L 16-22,23.4/37.7,261.4,1.1,1.5,2.1,7.5,0.0,0.0,0.0,0.0,,,,,,,,,,1.5,,,10.6
Jared Goff,LAR,QB,Mia,L 10-14,18.1/32.1,202.1,1.1,1.4,2.2,8.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,9.8
Matt Cassel,TEN,QB,@Ind,L 17-24,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dan Orlovsky,DET,QB,Jax,W 26-19,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Landry Jones,PIT,QB,@Cle,W 24-9,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Scott Tolzien,IND,QB,Ten,W 24-17,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Garoppolo,NWE,QB,@SF,W 30-17,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brett Hundley,GNB,QB,@Wsh,L 24-42,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Anderson,CAR,QB,NO,W 23-20,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt McGloin,OAK,QB,Hou,W 27-20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Nassib,NYG,QB,Chi,W 22-16,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Luke McCown,NOR,QB,@Car,L 20-23,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Henne,JAC,QB,@Det,L 19-26,0.1/0.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tom Savage,HOU,QB,@Oak,L 20-27,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Case Keenum,LAR,QB,Mia,L 10-14,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Blaine Gabbert,SFO,QB,NE,L 17-30,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
AJ McCarron,CIN,QB,Buf,L 12-16,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colt McCoy,WAS,QB,GB,W 42-24,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh McCown,CLE,QB,Pit,L 9-24,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
EJ Manuel,BUF,QB,@Cin,W 16-12,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nick Foles,KAN,QB,TB,L 17-19,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Glennon,TAM,QB,@KC,W 19-17,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
