Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,CAR,QB,@Atl,L 33-48,18.9/31.3,231.2,1.8,1.0,8.0,45.2,0.4,0.0,0.0,0.0,,,,,,20.4
Drew Brees,NOR,QB,@SD,W 35-34,28.1/41.5,329.2,2.0,1.0,1.3,2.8,0.1,0.0,0.0,0.0,,,,,,19.2
Philip Rivers,SDG,QB,NO,L 34-35,25.4/36.9,313.3,2.2,0.8,1.4,4.7,0.1,0.0,0.0,0.0,,,,,,19.2
Matthew Stafford,DET,QB,@Chi,L 14-17,26/38.6,312.6,1.8,0.8,2.5,8.3,0.1,0.0,0.0,0.0,,,,,,17.9
Kirk Cousins,WAS,QB,Cle,W 31-20,25/37.4,300.3,1.8,0.9,2.1,6.4,0.1,0.0,0.0,0.0,,,,,,17.8
Andrew Luck,IND,QB,@Jax,L 27-30,22.3/37.4,254.0,2.1,1.3,4.0,16.3,0.1,0.0,0.0,0.0,,,,,,17.4
Blake Bortles,JAC,QB,Ind,W 30-27,23/38.2,296.4,2.0,1.4,3.1,16.6,0.1,0.0,0.0,0.0,,,,,,17.0
Ben Roethlisberger,PIT,QB,KC,W 43-14,24.4/38.3,275.4,1.9,1.2,1.7,4.2,0.0,0.0,0.0,0.0,,,,,,16.8
Alex Smith,KAN,QB,@Pit,L 14-43,23.1/34.8,261.7,1.3,0.6,4.4,23.7,0.1,0.0,0.0,0.0,,,,,,16.5
Andy Dalton,CIN,QB,Mia,W 22-7,20.7/31.8,261.3,1.6,0.9,3.9,15.1,0.2,0.0,0.0,0.0,,,,,,16.5
Russell Wilson,SEA,QB,@NYJ,W 27-17,19.5/30.2,247.5,1.6,0.8,5.6,26.6,0.1,0.0,0.0,0.0,,,,,,16.2
Carson Palmer,ARI,QB,LA,L 13-17,21.5/34.3,254.9,2.0,0.9,1.6,2.7,0.1,0.0,0.0,0.0,,,,,,16.2
Joe Flacco,BAL,QB,Oak,L 27-28,23.7/38.1,278.3,1.8,1.3,2.0,4.0,0.1,0.0,0.0,0.0,,,,,,15.8
Jacoby Brissett,NWE,QB,Buf,L 0-16,17.9/29.5,201.8,1.7,1.2,5.8,27.1,0.2,0.0,0.0,0.0,,,,,,15.6
Dak Prescott,DAL,QB,@SF,W 24-17,21.7/32.9,248.3,1.5,0.6,2.7,13.1,0.1,0.0,0.0,0.0,,,,,,15.3
Tyrod Taylor,BUF,QB,@NE,W 16-0,19.4/32.7,212.8,1.3,1.0,6.8,34.8,0.2,0.0,0.0,0.0,,,,,,15.2
Eli Manning,NYG,QB,@Min,L 10-24,24.8/38.2,286.2,1.6,1.1,1.3,1.7,0.0,0.0,0.0,0.0,,,,,,15.0
Blaine Gabbert,SFO,QB,Dal,L 17-24,21.3/34.6,250.7,1.3,0.8,4.5,18.5,0.1,0.0,0.0,0.0,,,,,,14.7
Derek Carr,OAK,QB,@Bal,W 28-27,21.8/36,235.9,1.6,0.6,1.7,4.6,0.1,0.0,0.0,0.0,,,,,,14.1
Brian Hoyer,CHI,QB,Det,W 17-14,21.3/35.2,267.8,1.5,1.0,2.0,4.1,0.1,0.0,0.0,0.0,,,,,,13.8
Trevor Siemian,DEN,QB,@TB,W 27-7,19.6/30.7,234.2,1.4,1.3,3.0,10.6,0.1,0.0,0.0,0.0,,,,,,13.6
Marcus Mariota,TEN,QB,@Hou,L 20-27,21.6/33.8,227.3,1.2,1.1,4.1,22.7,0.1,0.0,0.0,0.0,,,,,,13.5
Matt Ryan,ATL,QB,Car,W 48-33,25.9/39,272.4,1.5,1.3,1.9,5.4,0.0,0.0,0.0,0.0,,,,,,13.5
Jameis Winston,TAM,QB,Den,L 7-27,21.2/38,216.2,1.5,1.1,4.1,16.3,0.1,0.0,0.0,0.0,,,,,,13.3
Brock Osweiler,HOU,QB,Ten,W 27-20,20/32.3,244.1,1.5,1.0,3.3,6.5,0.1,0.0,0.0,0.0,,,,,,13.2
Ryan Tannehill,MIA,QB,@Cin,L 7-22,23.4/38.4,247.8,1.3,1.1,2.6,10.2,0.1,0.0,0.0,0.0,,,,,,12.9
Cody Kessler,CLE,QB,@Wsh,L 20-31,19.5/33.5,235.0,1.2,1.1,2.7,11.7,0.1,0.0,0.0,0.0,,,,,,12.8
Ryan Fitzpatrick,NYJ,QB,Sea,L 17-27,21.1/35.6,220.2,1.4,1.4,3.9,15.3,0.1,0.0,0.0,0.0,,,,,,12.5
Sam Bradford,MIN,QB,NYG,W 24-10,20.8/32.4,223.6,1.2,0.7,2.0,4.2,0.1,0.0,0.0,0.0,,,,,,11.6
Case Keenum,LAR,QB,@Ari,W 17-13,19.5/33,208.1,0.7,1.1,2.5,7.4,0.1,0.0,0.0,0.0,,,,,,8.6
Drew Stanton,ARI,QB,LA,L 13-17,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Scott Tolzien,IND,QB,@Jax,L 27-30,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chad Henne,JAC,QB,Ind,W 30-27,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Kellen Clemens,SDG,QB,NO,L 34-35,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Derek Anderson,CAR,QB,@Atl,L 33-48,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Landry Jones,PIT,QB,KC,W 43-14,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt McGloin,OAK,QB,@Bal,W 28-27,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Colin Kaepernick,SFO,QB,Dal,L 17-24,0.1/0.2,1.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,0.0
Colt McCoy,WAS,QB,Cle,W 31-20,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
