"playerId","player","team","bye","exp","age","position","dataScrapeId","dstBlk","dstFumlRec","dstInt","dstPtsAllow","dstRetTd","dstSack","dstSafety","dstTd","fg","fg0019","fg2029","fg3039","fg4049","fg50","fgAtt","fgMiss","fumbles","games","idpAst","idpFumlForce","idpFumlRec","idpInt","idpPD","idpSack","idpSolo","idpTFL","idpTd","pass300","pass350","pass40","pass400","passAtt","passComp","passCompPct","passInc","passInt","passTds","passYds","rec","rec100","rec150","rec200","rec40","recTds","recYds","returnTds","returnYds","rush100","rush150","rush200","rush40","rushAtt","rushTds","rushYds","sacks","twoPts","xp"
306,"Dominique Rodgers-Cromartie","NYG",8,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.85958408679928,0.579204339963834,0.342676311030741,2.00370705244123,8.34538878842676,0.325226039783002,22.6064195298373,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"Matt Ryan","ATL",5,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60289285714286,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,3,3.9,0.9,553.230448572723,374.223425464431,67.6493917082012,179.007023108292,10.781040113596,32.5212779552716,4480.18702165424,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,31.5349342999547,0.405768548100816,97.2637131700391,35.109628610729,0.959382716049383,NA
324,"Jacob Tamme","FA",NA,9,32,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0321195144724557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12175536881419,0.3,0.1,0,0,0.780765639589169,96.9917833800187,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
330,"Philip Wheeler","ARI",8,9,33,"LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,"Matt Flynn","NO",5,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA
382,"Joe Flacco","BAL",10,9,32,"QB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33249285714286,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.1,5.8,0.5,609.468871771636,392.465337562302,64.4165949252379,217.003534209334,15.2057436989705,21.6549414270501,3938.38337593184,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,19.1954689623924,1.52349662761803,53.010447284345,34.3590096286107,1.37006858710562,NA
744,"Calais Campbell","JAC",8,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,17.6164556962025,1.65732368896926,0.933996383363472,0.431374321880651,3.07341772151899,7.26057866184448,36.7466546112116,7.9,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,"Brandon Flowers","FA",NA,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"Steve Johnson","FA",NA,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
786,"Pat Sims","CIN",6,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.13081155433287,0,0,0,0.449793672627235,0.629711141678129,6.29711141678129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
925,"Jamaal Charles","DEN",5,9,31,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92861050328228,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0988745980707,NA,NA,NA,0,0.83211438664864,219.951139510117,0,0,1,0.3,0.1,0,103.729451744449,3.07968540035881,460.668285410011,NA,0.0496433470507545,NA
927,"Justin Forsett","FA",NA,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
949,"Jonathan Stewart","CAR",11,9,30,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90325492341357,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3658360128617,NA,NA,NA,0,0.391184598907551,81.6272133475328,0,0,1.8,0.6,0.2,0,183.231128228364,6.36617784340697,790.498661696841,NA,0.0496433470507545,NA
1032,"Jordy Nelson","GB",8,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67609409190372,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1940514469453,2.2,0.7,0.129933774834437,4.2,10.7194715811819,1216.64422435215,0,6.43204951856946,NA,NA,NA,0,0,0.217007098993353,6.09577554744526,NA,0.0270781893004115,NA
1060,"Gary Barnidge","FA",NA,9,32,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
1062,"Martellus Bennett","GB",8,9,30,"TE",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41730306345733,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.3475884244373,1.4,0.5,0.0866225165562914,0,6.12739257846102,682.080773872914,0,0,NA,NA,NA,0,0,0.00569966880387473,1.48900165471594,NA,0.648696844993141,NA
1298,"Leodis McKelvin","FA",NA,9,32,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1302,"Aqib Talib","DEN",5,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,7.52694394213381,0.401808318264014,0,2.9878842676311,12.1687160940325,0,34.9667269439421,0,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1330,"Cliff Avril","SEA",6,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,14.4239602169982,3.39095840867993,0.549638336347197,0,3.51057866184448,10.4569620253165,26.7359855334539,4.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1332,"Wallace Gilberry","CIN",6,9,33,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.28349381017882,0,0,0,0,0.674690508940853,4.72283356258597,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1344,"Ahtyba Rubin","SEA",6,9,31,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10.8168173598553,0.638336347197107,0.0886980108499096,0,0.845298372513562,1.6375226039783,14.9895117540687,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,"DeSean Jackson","TB",11,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.868200218818381,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8055868167203,1.7,0.6,0.0866225165562914,4.5,5.27547041150364,916.138633297835,0,80.2005502063273,NA,NA,NA,0,1.73697916666667,0.00458141964992125,6.34568430656934,NA,0.0406172839506173,NA
1681,"Tyvon Branch","ARI",8,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.50839064649243,0,0,0.944566712517194,3.8232462173315,0.449793672627235,24.243878954608,0,0.0449793672627235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1720,"Letroy Guion","FA",NA,9,30,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,"Quintin Demps","CHI",9,9,32,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,22.4601265822785,0.579204339963834,0.704339963833635,4.22992766726944,6.24918625678119,0,45.9665461121157,0,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,"Eddie Royal","FA",NA,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.369325997249,0.5,0.2,0.1,0,0.404814305364512,108.220357634113,0,109.569738651994,NA,NA,NA,0,0,0,0,NA,0,NA
2307,"Orlando Scandrick","DAL",6,9,30,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4.81781193490054,1.12884267631103,0,0.981012658227848,5.86329113924051,1.40705244122966,31.5028933092224,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2346,"Pierre Garcon","SF",11,9,31,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463752735229759,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.3992363344051,1.9,0.6,0.0866225165562914,1,4.85309385748497,965.203780617678,0,23.9290233837689,NA,NA,NA,0,0,0.00463995287700565,0.0315191605839416,NA,0.0361042524005487,NA
2354,"Wesley Woodyard","TEN",8,9,31,"LB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,15.8820072332731,0.704339963833635,0,0.549638336347197,3.4503616636528,4.975678119349,45.3313743218806,1,0.089958734525447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2649,"Danny Amendola","NE",9,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.726642857142857,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.7095559302979,0.8,0.3,0.1,0,3.61115749525617,472.241783681214,0,388.599449793673,NA,NA,NA,0,0.6235559566787,0.0279761904761905,4.74608843537415,NA,0.0315912208504801,NA
4327,"Danny Woodhead","BAL",10,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894978118161926,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5911575562701,NA,NA,NA,0,2.45648088317814,491.636829960951,0,0,0.6,0.2,0.1,0,88.529179882193,1.8867743528886,376.159630812922,NA,0.0270781893004115,NA
4365,"Brandon Carr","BAL",10,9,31,"DB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.35632911392405,0,0.342676311030741,0.852169981916817,6.71491862567812,0.118264014466546,47.793670886076,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4383,"Tim Hightower","SF",11,9,31,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774907142857143,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0761663856099,NA,NA,NA,0,0.429345351043643,139.290958254269,0,22.8944979367263,1.1,0.4,0.1,0,88.7573355817875,2.93471537001898,356.906029411765,NA,0.0631824417009602,NA
4433,"Marcel Reece","SEA",6,9,32,"RB",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91808014911463,NA,NA,NA,0,0.415377446411929,93.8477166821994,0,0,NA,NA,NA,0,3.81919850885368,0.0627213420316869,8.46626281453868,NA,0,NA
4483,"William Hayes","MIA",11,9,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.3497287522604,0.704339963833635,0,0,0,4.22097649186257,27.1867088607595,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4487,"Matthew Slater","NE",9,9,32,"WR",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA
71193,"Robert Ayers","TB",11,8,32,"DL",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,9.50940325497288,1.11826401446655,0.0886980108499096,0,1.30623869801085,8.10687160940325,25.6437613019891,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
