Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,FA,NWE,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,** BYE **,,,,,,,,,,,,,,,,
Drew Brees,DAN,NOR,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,@Chi,Mon 8:30,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,@Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,Phi,Sun 8:30,--/--,,,,,,,,,,,,,,
Eli Manning,FA,NYG,QB,** BYE **,,,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,@Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Ind,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,Ari,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,Jax,Thu 8:25,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,@Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,** BYE **,,,,,,,,,,,,,,,,
Drew Stanton,FA,ARI,QB,@Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Moore,FA,MIA,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,** BYE **,,,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,@Ten,Thu 8:25,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Chase Daniel,FA,PHI,QB,@Dal,Sun 8:30,--/--,,,,,,,,,,,,,,
Josh Freeman,FA,IND,QB,KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Brian Hoyer,FA,CHI,QB,Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Mark Sanchez,FA,DAL,QB,Phi,Sun 8:30,--/--,,,,,,,,,,,,,,
Matthew Stafford,DAN,DET,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,FA,MIN,QB,@Chi,Mon 8:30,--/--,,,,,,,,,,,,,,
Jimmy Clausen,FA,BAL,QB,** BYE **,,,,,,,,,,,,,,,,
Colt McCoy,FA,WAS,QB,@Cin,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Tim Tebow,FA,FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,FA,TAM,QB,Oak,Sun 1:00,--/--,,,,,,,,,,,,,,
Joe Webb,FA,CAR,QB,Ari,Sun 1:00,--/--,,,,,,,,,,,,,,
Thaddeus Lewis,FA,SFO,QB,** BYE **,,,,,,,,,,,,,,,,
Christian Ponder,FA,SFO,QB,** BYE **,,,,,,,,,,,,,,,,
Blaine Gabbert,FA,SFO,QB,** BYE **,,,,,,,,,,,,,,,,
Cam Newton,BKN,CAR,QB,Ari,Sun 1:00,--/--,,,,,,,,,,,,,,
Colin Kaepernick,FA,SFO,QB,** BYE **,,,,,,,,,,,,,,,,
Andy Dalton,GARI,CIN,QB,Wsh,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Ryan Mallett,FA,BAL,QB,** BYE **,,,,,,,,,,,,,,,,
T.J. Yates,FA,HOU,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Tyrod Taylor,BKN,BUF,QB,NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Jerrod Johnson,FA,DAL,QB,Phi,Sun 8:30,--/--,,,,,,,,,,,,,,
Scott Tolzien,FA,IND,QB,KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Andrew Luck,LOS,IND,QB,KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Robert Griffin III,FA,CLE,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Tannehill,FA,MIA,QB,** BYE **,,,,,,,,,,,,,,,,
