Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Matt Ryan,NOG,ATL,QB,@TB,W 43-28,25/34,344.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.6
Russell Wilson,FUNK,SEA,QB,Buf,W 31-25,20/26,282.0,2.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2
Aaron Rodgers,NOG,GNB,QB,Ind,L 26-31,26/43,297.0,3.0,1.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1
Marcus Mariota,WA (Wed),TEN,QB,@SD,L 35-43,27/43,313.0,3.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.8
Tyrod Taylor,BKN,BUF,QB,@Sea,L 25-31,27/38,289.0,1.0,1.0,8.0,43.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.7
Drew Brees,DAN,NOR,QB,@SF,W 41-23,28/39,323.0,3.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6
Dak Prescott,SCOT,DAL,QB,@Cle,W 35-10,21/27,247.0,3.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8
Colin Kaepernick,BLRT,SFO,QB,NO,L 23-41,24/39,398.0,2.0,1.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.1
Eli Manning,WA (Wed),NYG,QB,Phi,W 28-23,22/36,257.0,4.0,2.0,2.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8
Jameis Winston,GARI,TAM,QB,Atl,L 28-43,23/37,261.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.8
Blake Bortles,WA (Wed),JAC,QB,@KC,L 14-19,22/41,252.0,2.0,1.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4
Ben Roethlisberger,LOS,PIT,QB,@Bal,L 14-21,23/45,264.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7
Philip Rivers,FUNK,SDG,QB,Ten,W 43-35,24/33,275.0,2.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7
