Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,WA (Wed),NWE,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,WA (Wed),CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,WA (Wed),MIN,QB,** BYE **,,,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,NYJ,Mon 8:30,--/--,,,,,,,,,,,,,,
Tony Romo,WA (Wed),DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Den,Thu 8:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,WA (Wed),ATL,QB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,WA (Wed),NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,WA (Wed),KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Dan Orlovsky,WA (Wed),DET,QB,LA,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,WA (Wed),CAR,QB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,WA (Wed),TEN,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,WA (Wed),NYJ,QB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Jay Cutler,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Kellen Clemens,WA (Wed),SDG,QB,Den,Thu 8:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,WA (Wed),SEA,QB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,WA (Wed),CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,WA (Wed),ARI,QB,NYJ,Mon 8:30,--/--,,,,,,,,,,,,,,
Matt Moore,WA (Wed),MIA,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Joe Flacco,WA (Wed),BAL,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,WA (Wed),JAC,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,WA (Wed),NYG,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,WA (Wed),NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Chase Daniel,WA (Wed),PHI,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Freeman,WA (Wed),IND,QB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Brian Hoyer,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Mark Sanchez,WA (Wed),DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Matthew Stafford,APE,DET,QB,LA,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,WA (Wed),MIN,QB,** BYE **,,,,,,,,,,,,,,,,
Jimmy Clausen,WA (Wed),BAL,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,WA (Wed),WAS,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Tim Tebow,WA (Wed),FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,WA (Wed),TAM,QB,** BYE **,,,,,,,,,,,,,,,,
Joe Webb,WA (Wed),CAR,QB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Thaddeus Lewis,WA (Wed),SFO,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Christian Ponder,WA (Wed),SFO,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Blaine Gabbert,WA (Wed),SFO,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Cam Newton,BKN,CAR,QB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Colin Kaepernick,WA (Wed),SFO,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Andy Dalton,GARI,CIN,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Mallett,WA (Wed),BAL,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
T.J. Yates,WA (Wed),HOU,QB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
Tyrod Taylor,WA (Wed),BUF,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Jerrod Johnson,WA (Wed),DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Scott Tolzien,WA (Wed),IND,QB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Andrew Luck,LOS,IND,QB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Robert Griffin III,WA (Wed),CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Tannehill,WA (Wed),MIA,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Nick Foles,WA (Wed),KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Brandon Weeden,WA (Wed),HOU,QB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
Brock Osweiler,WA (Wed),HOU,QB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
Kirk Cousins,WA (Wed),WAS,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Russell Wilson,FUNK,SEA,QB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Kellen Moore,WA (Wed),DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Lindley,WA (Wed),IND,QB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Case Keenum,WA (Wed),LAR,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Austin Davis,WA (Wed),DEN,QB,@SD,Thu 8:25,--/--,,,,,,,,,,,,,,
Matt Simms,WA (Wed),ATL,QB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Alex Tanney,WA (Wed),TEN,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
EJ Manuel,WA (Wed),BUF,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Glennon,WA (Wed),TAM,QB,** BYE **,,,,,,,,,,,,,,,,
Geno Smith,WA (Wed),NYJ,QB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Ryan Nassib,WA (Wed),NYG,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Sean Renfree,WA (Wed),ATL,QB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Landry Jones,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Zac Dysert,WA (Wed),ARI,QB,NYJ,Mon 8:30,--/--,,,,,,,,,,,,,,
Matt Barkley,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Griffin,WA (Wed),TAM,QB,** BYE **,,,,,,,,,,,,,,,,
Tyler Bray,WA (Wed),KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt McGloin,WA (Wed),OAK,QB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Blake Bortles,SLIV,JAC,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Teddy Bridgewater,WA (Wed),MIN,QB,** BYE **,,,,,,,,,,,,,,,,
Johnny Manziel,WA (Wed),CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Carr,SCOT,OAK,QB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Jimmy Garoppolo,WA (Wed),NWE,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
AJ McCarron,WA (Wed),CIN,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Tajh Boyd,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Logan Thomas,WA (Wed),NYG,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Zach Mettenberger,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
David Fales,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Keith Wenning,WA (Wed),CIN,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Tom Savage,WA (Wed),HOU,QB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
Aaron Murray,WA (Wed),KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Blanchard,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Dustin Vaughan,WA (Wed),PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Connor Shaw,WA (Wed),CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Jameis Winston,BKN,TAM,QB,** BYE **,,,,,,,,,,,,,,,,
Bryce Petty,WA (Wed),NYJ,QB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Trevor Siemian,WA (Wed),DEN,QB,@SD,Thu 8:25,--/--,,,,,,,,,,,,,,
Dylan Thompson,WA (Wed),LAR,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Sean Mannion,WA (Wed),LAR,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Garrett Grayson,WA (Wed),NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Marcus Mariota,WA (Wed),TEN,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Brett Hundley,WA (Wed),GNB,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Jared Goff,WA (Wed),LAR,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Wentz,APE,PHI,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Paxton Lynch,WA (Wed),DEN,QB,@SD,Thu 8:25,--/--,,,,,,,,,,,,,,
Christian Hackenberg,WA (Wed),NYJ,QB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Jacoby Brissett,WA (Wed),NWE,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Cody Kessler,WA (Wed),CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Connor Cook,WA (Wed),OAK,QB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Dak Prescott,WA (Wed),DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Cardale Jones,WA (Wed),BUF,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Kevin Hogan,WA (Wed),KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Nate Sudfeld,WA (Wed),WAS,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Jake Rudock,WA (Wed),DET,QB,LA,Sun 1:00,--/--,,,,,,,,,,,,,,
Brandon Allen,WA (Wed),JAC,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Jeff Driskel,WA (Wed),CIN,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Brandon Doughty,WA (Wed),MIA,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Trevone Boykin,WA (Wed),SEA,QB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Taylor Heinicke,WA (Wed),MIN,QB,** BYE **,,,,,,,,,,,,,,,,
Stephen Morris,WA (Wed),IND,QB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Joe Callahan,WA (Wed),GNB,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Steven Jackson,WA (Wed),NWE,RB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Frank Gore,SCOT,IND,RB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Darren Sproles,WA (Wed),PHI,RB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
John Kuhn,WA (Wed),NOR,RB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Reggie Bush,WA (Wed),BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
DeAngelo Williams,GARI,PIT,RB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Fred Jackson,WA (Wed),SEA,RB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Adrian Peterson,WA (Wed),MIN,RB,** BYE **,,,,,,,,,,,,,,,,
Marshawn Lynch,WA (Wed),SEA,RB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Ahmad Bradshaw,WA (Wed),IND,RB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Pierre Thomas,WA (Wed),WAS,RB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Darren McFadden,WA (Wed),DAL,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Jonathan Stewart,WA (Wed),CAR,RB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Chris Johnson,WA (Wed),ARI,RB,NYJ,Mon 8:30,--/--,,,,,,,,,,,,,,
Matt Forte,FUNK,NYJ,RB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Ray Rice,WA (Wed),FA,RB,** BYE **,,,,,,,,,,,,,,,,
Jamaal Charles,SCOT,KAN,RB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Jerome Felton,WA (Wed),BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Tim Hightower,WA (Wed),NOR,RB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Justin Forsett,WA (Wed),BAL,RB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Tolbert,WA (Wed),CAR,RB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Marcel Reece,WA (Wed),OAK,RB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Danny Woodhead,LOS,SDG,RB,Den,Thu 8:25,--/--,,,,,,,,,,,,,,
Donald Brown,WA (Wed),NWE,RB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Arian Foster,NOG,MIA,RB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Rashad Jennings,BKN,NYG,RB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Jorvorskie Lane,WA (Wed),TAM,RB,** BYE **,,,,,,,,,,,,,,,,
LeSean McCoy,SLIV,BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Knowshon Moreno,WA (Wed),FA,RB,** BYE **,,,,,,,,,,,,,,,,
Cedric Peerman,WA (Wed),CIN,RB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Marcus Thigpen,WA (Wed),BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Darrel Young,WA (Wed),CHI,RB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Antone Smith,WA (Wed),NYJ,RB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
C.J. Spiller,WA (Wed),SEA,RB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Mathews,SCOT,PHI,RB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Dexter McCluster,WA (Wed),SDG,RB,Den,Thu 8:25,--/--,,,,,,,,,,,,,,
Ben Tate,WA (Wed),PIT,RB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Toby Gerhart,WA (Wed),JAC,RB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Boobie Dixon,WA (Wed),BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
LeGarrette Blount,WA (Wed),NWE,RB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
James Starks,WA (Wed),GNB,RB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Joique Bell,WA (Wed),CHI,RB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Chris Ivory,GARI,JAC,RB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
James Develin,WA (Wed),NWE,RB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Tyler Clutts,WA (Wed),DAL,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Mark Ingram,BKN,NOR,RB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
DeMarco Murray,SLIV,TEN,RB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Shane Vereen,WA (Wed),NYG,RB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Stevan Ridley,WA (Wed),IND,RB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Ryan Williams,WA (Wed),DAL,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Daniel Thomas,WA (Wed),MIA,RB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Bilal Powell,WA (Wed),NYJ,RB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Anthony Sherman,WA (Wed),KAN,RB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Kendall Hunter,WA (Wed),NOR,RB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Taiwan Jones,WA (Wed),OAK,RB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Jordan Todman,WA (Wed),IND,RB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Roy Helu Jr.,WA (Wed),OAK,RB,KC,Sun 4:05,--/--,,,,,,,,,,,,,,
Jacquizz Rodgers,SCOT,TAM,RB,** BYE **,,,,,,,,,,,,,,,,
Dion Lewis,WA (Wed),NWE,RB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
DuJuan Harris,WA (Wed),SFO,RB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Patrick DiMarco,WA (Wed),ATL,RB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Matt Asiata,WA (Wed),MIN,RB,** BYE **,,,,,,,,,,,,,,,,
Shaun Draughn,WA (Wed),SFO,RB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Chase Reynolds,WA (Wed),LAR,RB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Will Johnson,WA (Wed),NYG,RB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Trent Richardson,WA (Wed),BAL,RB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Doug Martin,NOG,TAM,RB,** BYE **,,,,,,,,,,,,,,,,
Lamar Miller,FUNK,HOU,RB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
Isaiah Pead,WA (Wed),MIA,RB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Chris Polk,WA (Wed),HOU,RB,Ind,Sun 8:30,--/--,,,,,,,,,,,,,,
LaMike James,WA (Wed),MIA,RB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Bernard Pierce,WA (Wed),NYJ,RB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Robert Turbin,WA (Wed),IND,RB,@Hou,Sun 8:30,--/--,,,,,,,,,,,,,,
Ronnie Hillman,WA (Wed),MIN,RB,** BYE **,,,,,,,,,,,,,,,,
Cyrus Gray,WA (Wed),ATL,RB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Vick Ballard,WA (Wed),NOR,RB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Alfred Morris,SCOT,DAL,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Daniel Herron,WA (Wed),BUF,RB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Bryce Brown,WA (Wed),SEA,RB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
Daryl Richardson,WA (Wed),PIT,RB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Cory Harkey,WA (Wed),LAR,RB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Joe Banyard,WA (Wed),JAC,RB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
