Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Andrew Luck,LOS,IND,QB,@Ten,W 34-26,27/39,353.0,3.0,0.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7
Drew Brees,APE,NOR,QB,@KC,L 21-27,37/48,367.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6
Tyrod Taylor,BKN,BUF,QB,@Mia,L 25-28,14/28,221.0,1.0,0.0,7.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.3
Aaron Rodgers,NOG,GNB,QB,Chi,W 26-10,39/56,326.0,3.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.7
Kirk Cousins,LOS,WAS,QB,@Det,L 17-20,30/39,301.0,1.0,0.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.9
Jameis Winston,WA (Wed),TAM,QB,@SF,W 34-17,21/30,269.0,3.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5
Andy Dalton,GARI,CIN,QB,Cle,W 31-17,19/28,308.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2
Tom Brady,WA (Wed),NWE,QB,@Pit,W 27-16,19/26,222.0,2.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1
Matthew Stafford,APE,DET,QB,Wsh,W 20-17,18/29,266.0,1.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8
Alex Smith,WA (Wed),KAN,QB,NO,W 27-21,17/24,214.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1
Marcus Mariota,SCOT,TEN,QB,Ind,L 26-34,22/37,232.0,2.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.6
Kevin Hogan,WA (Wed),CLE,QB,@Cin,L 17-31,12/24,100.0,0.0,2.0,7.0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4
Ryan Tannehill,WA (Wed),MIA,QB,Buf,W 28-25,15/25,204.0,1.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.1
Philip Rivers,FUNK,SDG,QB,@Atl,W 33-30,27/44,371.0,1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.6
Carson Palmer,GARI,ARI,QB,Sea,T 6-6,29/49,342.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4
Colin Kaepernick,WA (Wed),SFO,QB,TB,L 17-34,16/34,143.0,1.0,1.0,9.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0
Matt Ryan,NOG,ATL,QB,SD,L 30-33,22/34,273.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6
Landry Jones,WA (Wed),PIT,QB,NE,L 16-27,29/47,281.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2
Blake Bortles,SLIV,JAC,QB,Oak,L 16-33,23/43,246.0,1.0,2.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1
Derek Carr,WA (Wed),OAK,QB,@Jax,W 33-16,23/37,200.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4
Ryan Fitzpatrick,WA (Wed),NYJ,QB,Bal,W 24-16,9/14,120.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7
Russell Wilson,FUNK,SEA,QB,@Ari,T 6-6,24/37,225.0,0.0,0.0,1.0,-2.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,8.7
