Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Blaine Gabbert,WA (Wed),SFO,QB,Ari,L 21-33,18/31,162.0,1.0,2.0,10.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4
Drew Stanton,WA (Wed),ARI,QB,@SF,W 33-21,11/28,124.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6
Tom Brady,FA,NWE,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,** BYE **,,,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,@SF,W 33-21,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,Cin,Sun 4:25,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,@GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,** BYE **,,,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,** BYE **,,,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,NYG,Sun 8:30,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,TB,Mon 8:30,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,@Ind,Sun 1:00,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,** BYE **,,,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Moore,FA,MIA,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,@Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,** BYE **,,,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,@GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,** BYE **,,,,,,,,,,,,,,,,
Chase Daniel,FA,PHI,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Freeman,FA,IND,QB,Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Brian Hoyer,FA,CHI,QB,@Ind,Sun 1:00,--/--,,,,,,,,,,,,,,
Mark Sanchez,FA,DAL,QB,Cin,Sun 4:25,--/--,,,,,,,,,,,,,,
Matthew Stafford,APE,DET,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,FA,MIN,QB,Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Jimmy Clausen,FA,BAL,QB,Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,FA,WAS,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Tim Tebow,FA,FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,FA,TAM,QB,@Car,Mon 8:30,--/--,,,,,,,,,,,,,,
