Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,WA (Wed),NWE,QB,** BYE **,,,,,,,,,,,,,,,,
Mike Vick,WA (Wed),PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,DAN,NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Josh McCown,WA (Wed),CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,WA (Wed),MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,** BYE **,,,,,,,,,,,,,,,,
Tony Romo,WA (Wed),DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,WA (Wed),NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Ten,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,WA (Wed),ATL,QB,@TB,Thu 8:25,--/--,,,,,,,,,,,,,,
Luke McCown,WA (Wed),NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Alex Smith,WA (Wed),KAN,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,Ind,Sun 4:25,--/--,,,,,,,,,,,,,,
Dan Orlovsky,WA (Wed),DET,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,WA (Wed),CAR,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Cassel,WA (Wed),TEN,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,WA (Wed),NYJ,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,WA (Wed),CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Kellen Clemens,WA (Wed),SDG,QB,Ten,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,WA (Wed),SEA,QB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,WA (Wed),CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,WA (Wed),PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,WA (Wed),ARI,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Moore,WA (Wed),MIA,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,@TB,Thu 8:25,--/--,,,,,,,,,,,,,,
Joe Flacco,WA (Wed),BAL,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,WA (Wed),JAC,QB,@KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,WA (Wed),NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,WA (Wed),NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Chase Daniel,WA (Wed),PHI,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Freeman,WA (Wed),IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Brian Hoyer,WA (Wed),CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Mark Sanchez,WA (Wed),DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Matthew Stafford,DAN,DET,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,WA (Wed),MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Jimmy Clausen,WA (Wed),BAL,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,WA (Wed),WAS,QB,** BYE **,,,,,,,,,,,,,,,,
Tim Tebow,WA (Wed),FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,WA (Wed),TAM,QB,Atl,Thu 8:25,--/--,,,,,,,,,,,,,,
Joe Webb,WA (Wed),CAR,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Thaddeus Lewis,WA (Wed),SFO,QB,NO,Sun 4:05,--/--,,,,,,,,,,,,,,
