Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Jacoby Brissett,WA (Wed),NWE,QB,Hou,W 27-0,11/19,103.0,0.0,0.0,8.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
Brock Osweiler,WA (Wed),HOU,QB,@NE,L 0-27,24/41,196.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
Tom Brady,WA (Wed),NWE,QB,Hou,W 27-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T.J. Yates,WA (Wed),HOU,QB,@NE,L 0-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Weeden,WA (Wed),HOU,QB,@NE,L 0-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Garoppolo,WA (Wed),NWE,QB,Hou,W 27-0,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Savage,WA (Wed),HOU,QB,@NE,L 0-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Vick,FA,PIT,QB,@Phi,Sun 4:25,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,Atl,Mon 8:30,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,@Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,@Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,Chi,Sun 8:30,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,@Ind,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Phi,Sun 4:25,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@NO,Mon 8:30,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,Atl,Mon 8:30,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,NYJ,Sun 4:25,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,@GB,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,Oak,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@KC,Sun 4:25,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,@Dal,Sun 8:30,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,@Ind,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,@Phi,Sun 4:25,--/--,,,,,,,,,,,,,,
