Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,WA (Wed),NWE,QB,Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,WA (Wed),PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,WA (Wed),CLE,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,WA (Wed),MIN,QB,GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Tony Romo,WA (Wed),DAL,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Jax,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,WA (Wed),ATL,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,WA (Wed),NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,WA (Wed),KAN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Min,Sun 8:30,--/--,,,,,,,,,,,,,,
Dan Orlovsky,WA (Wed),DET,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,WA (Wed),CAR,QB,SF,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,WA (Wed),TEN,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,WA (Wed),NYJ,QB,@Buf,Thu 8:25,--/--,,,,,,,,,,,,,,
Jay Cutler,WA (Wed),CHI,QB,Phi,Mon 8:30,--/--,,,,,,,,,,,,,,
Kellen Clemens,WA (Wed),SDG,QB,Jax,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,WA (Wed),SEA,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,WA (Wed),IND,QB,@Den,Sun 4:25,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,WA (Wed),PIT,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,WA (Wed),ARI,QB,TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Moore,WA (Wed),MIA,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Ryan,WA (Wed),ATL,QB,@Oak,Sun 4:25,--/--,,,,,,,,,,,,,,
Joe Flacco,WA (Wed),BAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,WA (Wed),JAC,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,WA (Wed),NYG,QB,NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,WA (Wed),NOR,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Chase Daniel,WA (Wed),PHI,QB,@Chi,Mon 8:30,--/--,,,,,,,,,,,,,,
Josh Freeman,WA (Wed),IND,QB,@Den,Sun 4:25,--/--,,,,,,,,,,,,,,
Brian Hoyer,WA (Wed),CHI,QB,Phi,Mon 8:30,--/--,,,,,,,,,,,,,,
Mark Sanchez,WA (Wed),DAL,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Matthew Stafford,APE,DET,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,WA (Wed),MIN,QB,GB,Sun 8:30,--/--,,,,,,,,,,,,,,
Jimmy Clausen,WA (Wed),BAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
