Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Andy Dalton,GARI,CIN,QB,Mia,W 22-7,22/31,296.0,1.0,0.0,6.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6
Ryan Tannehill,WA (Wed),MIA,QB,@Cin,L 7-22,15/25,189.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.4
Matt Moore,WA (Wed),MIA,QB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Dysert,WA (Wed),MIA,QB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ McCarron,WA (Wed),CIN,QB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Wenning,WA (Wed),CIN,QB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,WA (Wed),CIN,QB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Doughty,WA (Wed),MIA,QB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,FA,NWE,QB,Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,NYG,Mon 8:30,--/--,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,LA,Sun 4:25,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,@Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,NO,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Pit,Sun 8:30,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,** BYE **,,,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,@Atl,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,NO,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,@NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Drew Stanton,FA,ARI,QB,LA,Sun 4:25,--/--,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,Oak,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,Ind,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,@Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Chase Daniel,FA,PHI,QB,** BYE **,,,,,,,,,,,,,,,,
Josh Freeman,FA,IND,QB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Brian Hoyer,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Mark Sanchez,FA,DAL,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Matthew Stafford,APE,DET,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,FA,MIN,QB,NYG,Mon 8:30,--/--,,,,,,,,,,,,,,
Jimmy Clausen,FA,BAL,QB,Oak,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,FA,WAS,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Tim Tebow,FA,FA,QB,** BYE **,,,,,,,,,,,,,,,,
Dan LeFevour,FA,TAM,QB,Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Joe Webb,FA,CAR,QB,@Atl,Sun 1:00,--/--,,,,,,,,,,,,,,
Thaddeus Lewis,FA,SFO,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Christian Ponder,FA,SFO,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Blaine Gabbert,FA,SFO,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Cam Newton,BKN,CAR,QB,@Atl,Sun 1:00,--/--,,,,,,,,,,,,,,
Colin Kaepernick,FA,SFO,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Mallett,FA,BAL,QB,Oak,Sun 1:00,--/--,,,,,,,,,,,,,,
T.J. Yates,FA,HOU,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Tyrod Taylor,BKN,BUF,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Jerrod Johnson,FA,DAL,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Scott Tolzien,FA,IND,QB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Andrew Luck,LOS,IND,QB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Robert Griffin III,FA,CLE,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Nick Foles,FA,KAN,QB,@Pit,Sun 8:30,--/--,,,,,,,,,,,,,,
Brandon Weeden,FA,HOU,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Brock Osweiler,FA,HOU,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Kirk Cousins,SCOT,WAS,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Russell Wilson,FUNK,SEA,QB,@NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Kellen Moore,FA,DAL,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Lindley,FA,IND,QB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Case Keenum,FA,LAR,QB,@Ari,Sun 4:25,--/--,,,,,,,,,,,,,,
Austin Davis,FA,DEN,QB,@TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Simms,FA,ATL,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Tanney,FA,TEN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
EJ Manuel,FA,BUF,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Glennon,FA,TAM,QB,Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Geno Smith,FA,NYJ,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Nassib,FA,NYG,QB,@Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Sean Renfree,FA,ATL,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Landry Jones,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Matt Barkley,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Griffin,FA,TAM,QB,Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Tyler Bray,FA,KAN,QB,@Pit,Sun 8:30,--/--,,,,,,,,,,,,,,
Matt McGloin,FA,OAK,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Blake Bortles,SLIV,JAC,QB,Ind,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Teddy Bridgewater,FA,MIN,QB,NYG,Mon 8:30,--/--,,,,,,,,,,,,,,
Johnny Manziel,FA,CLE,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Carr,FA,OAK,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Jimmy Garoppolo,FA,NWE,QB,Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Tajh Boyd,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Logan Thomas,FA,NYG,QB,@Min,Mon 8:30,--/--,,,,,,,,,,,,,,
Zach Mettenberger,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
David Fales,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Tom Savage,FA,HOU,QB,Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Murray,FA,KAN,QB,@Pit,Sun 8:30,--/--,,,,,,,,,,,,,,
Matt Blanchard,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Dustin Vaughan,FA,PIT,QB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Connor Shaw,FA,CHI,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Jameis Winston,FA,TAM,QB,Den,Sun 4:05,--/--,,,,,,,,,,,,,,
Bryce Petty,FA,NYJ,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Trevor Siemian,FA,DEN,QB,@TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Dylan Thompson,FA,LAR,QB,@Ari,Sun 4:25,--/--,,,,,,,,,,,,,,
Sean Mannion,FA,LAR,QB,@Ari,Sun 4:25,--/--,,,,,,,,,,,,,,
Garrett Grayson,FA,NOR,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Marcus Mariota,FA,TEN,QB,@Hou,Sun 1:00,--/--,,,,,,,,,,,,,,
Brett Hundley,FA,GNB,QB,** BYE **,,,,,,,,,,,,,,,,
Jared Goff,FA,LAR,QB,@Ari,Sun 4:25,--/--,,,,,,,,,,,,,,
Carson Wentz,FA,PHI,QB,** BYE **,,,,,,,,,,,,,,,,
Paxton Lynch,FA,DEN,QB,@TB,Sun 4:05,--/--,,,,,,,,,,,,,,
Christian Hackenberg,FA,NYJ,QB,Sea,Sun 1:00,--/--,,,,,,,,,,,,,,
Jacoby Brissett,FA,NWE,QB,Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Cody Kessler,FA,CLE,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Connor Cook,FA,OAK,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Dak Prescott,FA,DAL,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Cardale Jones,FA,BUF,QB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
Kevin Hogan,FA,KAN,QB,@Pit,Sun 8:30,--/--,,,,,,,,,,,,,,
Nate Sudfeld,FA,WAS,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Jake Rudock,FA,DET,QB,@Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Brandon Allen,FA,JAC,QB,Ind,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Trevone Boykin,FA,SEA,QB,@NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Taylor Heinicke,FA,MIN,QB,NYG,Mon 8:30,--/--,,,,,,,,,,,,,,
Stephen Morris,FA,IND,QB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Joe Callahan,FA,GNB,QB,** BYE **,,,,,,,,,,,,,,,,
Jeremy Hill,BKN,CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,21.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.1
Jay Ajayi,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,6.0,33.0,0.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,4.6
Giovani Bernard,APE,CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,10.0,18.0,0.0,3.0,24.0,0.0,4.0,0.0,0.0,0.0,4.2
Damien Williams,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,1.5
Kenyan Drake,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Isaiah Pead,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,1.1
Arian Foster,NOG,MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedric Peerman,WA (Wed),CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Thomas,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMike James,WA (Wed),MIA,RB,@Cin,L 7-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rex Burkhead,WA (Wed),CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Hewitt,WA (Wed),CIN,RB,Mia,W 22-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Jackson,FA,NWE,RB,Buf,Sun 1:00,--/--,,,,,,,,,,,,,,
Frank Gore,SCOT,IND,RB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Darren Sproles,NOG,PHI,RB,** BYE **,,,,,,,,,,,,,,,,
John Kuhn,FA,NOR,RB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Reggie Bush,FA,BUF,RB,@NE,Sun 1:00,--/--,,,,,,,,,,,,,,
DeAngelo Williams,GARI,PIT,RB,KC,Sun 8:30,--/--,,,,,,,,,,,,,,
Fred Jackson,FA,SEA,RB,@NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Adrian Peterson,FA,MIN,RB,NYG,Mon 8:30,--/--,,,,,,,,,,,,,,
Marshawn Lynch,FA,SEA,RB,@NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Ahmad Bradshaw,FA,IND,RB,@Jax,Sun 9:30 AM,--/--,,,,,,,,,,,,,,
Pierre Thomas,FA,WAS,RB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
