Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Tom Brady,FA,NWE,QB,@SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,DAN,NOR,QB,@Car,Thu 8:25,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,Ari,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,WA (Thu),ARI,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,BLRT,NYG,QB,Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,** BYE **,,,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,** BYE **,,,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,@Car,Thu 8:25,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,TB,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Wsh,Sun 8:30,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,NO,Thu 8:25,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,@Ind,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,** BYE **,,,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,** BYE **,,,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,Phi,Sun 4:25,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,FA,ARI,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Moore,FA,MIA,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Ryan,NOG,ATL,QB,** BYE **,,,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,@Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,@Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,Chi,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,@Car,Thu 8:25,--/--,,,,,,,,,,,,,,
