Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Joe Flacco,WA (Wed),BAL,QB,Cle,W 28-7,30/41,296.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.1
Cody Kessler,WA (Wed),CLE,QB,@Bal,L 7-28,11/18,91.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9
Kevin Hogan,WA (Wed),CLE,QB,@Bal,L 7-28,0/0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Charlie Whitehurst,WA (Wed),CLE,QB,@Bal,L 7-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Clausen,WA (Wed),BAL,QB,Cle,W 28-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,WA (Wed),CLE,QB,@Bal,L 7-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Manziel,WA (Wed),CLE,QB,@Bal,L 7-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Callahan,WA (Wed),CLE,QB,@Bal,L 7-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Mallett,WA (Wed),BAL,QB,Cle,W 28-7,0/0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
Josh McCown,WA (Wed),CLE,QB,@Bal,L 7-28,6/13,59.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.8
Tom Brady,FA,NWE,QB,Sea,Sun 8:30,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Drew Brees,DAN,NOR,QB,Den,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,@Wsh,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,DAN,ARI,QB,SF,Sun 4:25,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@Pit,Sun 4:25,--/--,,,,,,,,,,,,,,
Eli Manning,BLRT,NYG,QB,Cin,Mon 8:30,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Mia,Sun 4:05,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,Den,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,** BYE **,,,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,GB,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,LA,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,@TB,Sun 1:00,--/--,,,,,,,,,,,,,,
