Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Trevor Siemian,WA (Wed),DEN,QB,@SD,L 13-21,30/50,230.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3
Philip Rivers,FUNK,SDG,QB,Den,W 21-13,18/29,178.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
Kellen Clemens,WA (Wed),SDG,QB,Den,W 21-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Davis,WA (Wed),DEN,QB,@SD,L 13-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paxton Lynch,WA (Wed),DEN,QB,@SD,L 13-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Brady,FA,NWE,QB,Cin,Sun 1:00,--/--,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,APE,NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,@Ten,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,** BYE **,,,,,,,,,,,,,,,,
Carson Palmer,GARI,ARI,QB,NYJ,Mon 8:30,--/--,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Eli Manning,SLIV,NYG,QB,Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Schaub,FA,ATL,QB,@Sea,Sun 4:25,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,Car,Sun 1:00,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,@Oak,Sun 4:05,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,Dal,Sun 4:25,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,LA,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,@NO,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@Ari,Mon 8:30,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,Atl,Sun 4:25,--/--,,,,,,,,,,,,,,
