Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Matt Ryan,NOG,ATL,QB,@TB,W 43-28,25/34,344.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.6
Jameis Winston,GARI,TAM,QB,Atl,L 28-43,23/37,261.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.8
Mike Glennon,WA (Wed),TAM,QB,Atl,L 28-43,10/11,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
Dan LeFevour,WA (Wed),TAM,QB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Simms,WA (Wed),ATL,QB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Renfree,WA (Wed),ATL,QB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,WA (Wed),TAM,QB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,WA (Wed),ATL,QB,@TB,W 43-28,0/0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
Tom Brady,FA,NWE,QB,** BYE **,,,,,,,,,,,,,,,,
Mike Vick,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Brees,DAN,NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Josh McCown,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Shaun Hill,FA,MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Carson Palmer,FA,ARI,QB,** BYE **,,,,,,,,,,,,,,,,
Tony Romo,FA,DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Eli Manning,FA,NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Philip Rivers,FUNK,SDG,QB,Ten,Sun 4:25,--/--,,,,,,,,,,,,,,
Ben Roethlisberger,LOS,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Luke McCown,FA,NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Alex Smith,FA,KAN,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Aaron Rodgers,NOG,GNB,QB,Ind,Sun 4:25,--/--,,,,,,,,,,,,,,
Dan Orlovsky,FA,DET,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Anderson,FA,CAR,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Matt Cassel,FA,TEN,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Ryan Fitzpatrick,FA,NYJ,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Jay Cutler,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Kellen Clemens,FA,SDG,QB,Ten,Sun 4:25,--/--,,,,,,,,,,,,,,
Tarvaris Jackson,FA,SEA,QB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Charlie Whitehurst,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Bruce Gradkowski,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Drew Stanton,FA,ARI,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Moore,FA,MIA,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Joe Flacco,FA,BAL,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Chad Henne,FA,JAC,QB,@KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Javon Johnson,FA,NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Flynn,FA,NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Chase Daniel,FA,PHI,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Josh Freeman,FA,IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Brian Hoyer,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Mark Sanchez,FA,DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Matthew Stafford,DAN,DET,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Sam Bradford,FA,MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Jimmy Clausen,FA,BAL,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
Colt McCoy,FA,WAS,QB,** BYE **,,,,,,,,,,,,,,,,
Tim Tebow,FA,FA,QB,** BYE **,,,,,,,,,,,,,,,,
Joe Webb,FA,CAR,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Thaddeus Lewis,FA,SFO,QB,NO,Sun 4:05,--/--,,,,,,,,,,,,,,
Christian Ponder,FA,SFO,QB,NO,Sun 4:05,--/--,,,,,,,,,,,,,,
Blaine Gabbert,FA,SFO,QB,NO,Sun 4:05,--/--,,,,,,,,,,,,,,
Cam Newton,BKN,CAR,QB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Colin Kaepernick,FA,SFO,QB,NO,Sun 4:05,--/--,,,,,,,,,,,,,,
Andy Dalton,GARI,CIN,QB,** BYE **,,,,,,,,,,,,,,,,
Ryan Mallett,FA,BAL,QB,Pit,Sun 1:00,--/--,,,,,,,,,,,,,,
T.J. Yates,FA,HOU,QB,** BYE **,,,,,,,,,,,,,,,,
Tyrod Taylor,BKN,BUF,QB,@Sea,Mon 8:30,--/--,,,,,,,,,,,,,,
Jerrod Johnson,FA,DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Scott Tolzien,FA,IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Andrew Luck,LOS,IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Robert Griffin III,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Tannehill,FA,MIA,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Nick Foles,FA,KAN,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Brandon Weeden,FA,HOU,QB,** BYE **,,,,,,,,,,,,,,,,
Brock Osweiler,FA,HOU,QB,** BYE **,,,,,,,,,,,,,,,,
Kirk Cousins,LOS,WAS,QB,** BYE **,,,,,,,,,,,,,,,,
Russell Wilson,FUNK,SEA,QB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Kellen Moore,FA,DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Lindley,FA,IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Case Keenum,FA,LAR,QB,Car,Sun 4:05,--/--,,,,,,,,,,,,,,
Austin Davis,FA,DEN,QB,@Oak,Sun 8:30,--/--,,,,,,,,,,,,,,
Alex Tanney,FA,TEN,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
EJ Manuel,FA,BUF,QB,@Sea,Mon 8:30,--/--,,,,,,,,,,,,,,
Geno Smith,FA,NYJ,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Ryan Nassib,FA,NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Landry Jones,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Zac Dysert,FA,ARI,QB,** BYE **,,,,,,,,,,,,,,,,
Matt Barkley,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Tyler Bray,FA,KAN,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt McGloin,FA,OAK,QB,Den,Sun 8:30,--/--,,,,,,,,,,,,,,
Blake Bortles,BLRT,JAC,QB,@KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Teddy Bridgewater,FA,MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Johnny Manziel,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Derek Carr,SCOT,OAK,QB,Den,Sun 8:30,--/--,,,,,,,,,,,,,,
Jimmy Garoppolo,FA,NWE,QB,** BYE **,,,,,,,,,,,,,,,,
AJ McCarron,FA,CIN,QB,** BYE **,,,,,,,,,,,,,,,,
Tajh Boyd,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Logan Thomas,FA,NYG,QB,Phi,Sun 1:00,--/--,,,,,,,,,,,,,,
Zach Mettenberger,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
David Fales,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Keith Wenning,FA,CIN,QB,** BYE **,,,,,,,,,,,,,,,,
Tom Savage,FA,HOU,QB,** BYE **,,,,,,,,,,,,,,,,
Aaron Murray,FA,KAN,QB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
Matt Blanchard,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Dustin Vaughan,FA,PIT,QB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Connor Shaw,FA,CHI,QB,** BYE **,,,,,,,,,,,,,,,,
Bryce Petty,FA,NYJ,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Trevor Siemian,FA,DEN,QB,@Oak,Sun 8:30,--/--,,,,,,,,,,,,,,
Dylan Thompson,FA,LAR,QB,Car,Sun 4:05,--/--,,,,,,,,,,,,,,
Sean Mannion,FA,LAR,QB,Car,Sun 4:05,--/--,,,,,,,,,,,,,,
Garrett Grayson,FA,NOR,QB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Marcus Mariota,FA,TEN,QB,@SD,Sun 4:25,--/--,,,,,,,,,,,,,,
Brett Hundley,FA,GNB,QB,Ind,Sun 4:25,--/--,,,,,,,,,,,,,,
Jared Goff,FA,LAR,QB,Car,Sun 4:05,--/--,,,,,,,,,,,,,,
Carson Wentz,FA,PHI,QB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
Paxton Lynch,FA,DEN,QB,@Oak,Sun 8:30,--/--,,,,,,,,,,,,,,
Christian Hackenberg,FA,NYJ,QB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Jacoby Brissett,FA,NWE,QB,** BYE **,,,,,,,,,,,,,,,,
Cody Kessler,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Connor Cook,FA,OAK,QB,Den,Sun 8:30,--/--,,,,,,,,,,,,,,
Dak Prescott,SCOT,DAL,QB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Cardale Jones,FA,BUF,QB,@Sea,Mon 8:30,--/--,,,,,,,,,,,,,,
Kevin Hogan,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Nate Sudfeld,FA,WAS,QB,** BYE **,,,,,,,,,,,,,,,,
Jake Rudock,FA,DET,QB,@Min,Sun 1:00,--/--,,,,,,,,,,,,,,
Brandon Allen,FA,JAC,QB,@KC,Sun 1:00,--/--,,,,,,,,,,,,,,
Jeff Driskel,FA,CIN,QB,** BYE **,,,,,,,,,,,,,,,,
Brandon Doughty,FA,MIA,QB,NYJ,Sun 1:00,--/--,,,,,,,,,,,,,,
Trevone Boykin,FA,SEA,QB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Taylor Heinicke,FA,MIN,QB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Stephen Morris,FA,IND,QB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Joe Callahan,FA,CLE,QB,Dal,Sun 1:00,--/--,,,,,,,,,,,,,,
Devonta Freeman,BLRT,ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,17.0,77.0,0.0,2.0,28.0,0.0,2.0,0.0,0.0,0.0,10.5
Patrick DiMarco,WA (Wed),ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.1
Peyton Barber,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,11.0,31.0,0.0,4.0,24.0,0.0,5.0,0.0,0.0,0.0,5.5
Antone Smith,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,5.0,25.0,0.0,3.0,27.0,0.0,4.0,0.0,1.0,0.0,3.2
Terron Ward,WA (Wed),ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Mike James,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,17.0,0.0,3.0,0.0,0.0,0.0,2.0
Stevan Ridley,WA (Wed),ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Jorvorskie Lane,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacquizz Rodgers,NOG,TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Martin,NOG,TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrus Gray,WA (Wed),ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Sims,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storm Johnson,WA (Wed),TAM,RB,Atl,L 28-43,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tevin Coleman,BLRT,ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wilds,WA (Wed),ATL,RB,@TB,W 43-28,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Jackson,FA,NWE,RB,** BYE **,,,,,,,,,,,,,,,,
Frank Gore,SCOT,IND,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Darren Sproles,LOS,PHI,RB,@NYG,Sun 1:00,--/--,,,,,,,,,,,,,,
John Kuhn,FA,NOR,RB,@SF,Sun 4:05,--/--,,,,,,,,,,,,,,
Reggie Bush,FA,BUF,RB,@Sea,Mon 8:30,--/--,,,,,,,,,,,,,,
DeAngelo Williams,GARI,PIT,RB,@Bal,Sun 1:00,--/--,,,,,,,,,,,,,,
Fred Jackson,FA,SEA,RB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Adrian Peterson,FA,MIN,RB,Det,Sun 1:00,--/--,,,,,,,,,,,,,,
Marshawn Lynch,FA,SEA,RB,Buf,Mon 8:30,--/--,,,,,,,,,,,,,,
Ahmad Bradshaw,FA,IND,RB,@GB,Sun 4:25,--/--,,,,,,,,,,,,,,
Pierre Thomas,FA,WAS,RB,** BYE **,,,,,,,,,,,,,,,,
Darren McFadden,FA,DAL,RB,@Cle,Sun 1:00,--/--,,,,,,,,,,,,,,
Jonathan Stewart,LOS,CAR,RB,@LA,Sun 4:05,--/--,,,,,,,,,,,,,,
Chris Johnson,FA,ARI,RB,** BYE **,,,,,,,,,,,,,,,,
Matt Forte,FUNK,NYJ,RB,@Mia,Sun 1:00,--/--,,,,,,,,,,,,,,
Ray Rice,FA,FA,RB,** BYE **,,,,,,,,,,,,,,,,
Jamaal Charles,FA,KAN,RB,Jax,Sun 1:00,--/--,,,,,,,,,,,,,,
