Player,OwnCode,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,FFPts
Marcus Mariota,WA (Wed),TEN,QB,GB,W 47-25,19/26,295.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6
Ben Roethlisberger,LOS,PIT,QB,Dal,L 30-35,37/46,408.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3
Aaron Rodgers,NOG,GNB,QB,@Ten,L 25-47,31/51,371.0,2.0,2.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5
Russell Wilson,FUNK,SEA,QB,@NE,W 31-24,25/37,348.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4
Colin Kaepernick,BLRT,SFO,QB,@Ari,L 20-23,17/30,210.0,1.0,0.0,10.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9
Cam Newton,BKN,CAR,QB,KC,L 17-20,23/38,261.0,1.0,1.0,12.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8
Joe Flacco,WA (Wed),BAL,QB,Cle,W 28-7,30/41,296.0,3.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.1
Drew Brees,DAN,NOR,QB,Den,L 23-25,21/29,303.0,3.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9
Ryan Tannehill,WA (Wed),MIA,QB,@SD,W 31-24,17/24,240.0,2.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2
Dak Prescott,SCOT,DAL,QB,@Pit,W 35-30,22/32,319.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.6
Jameis Winston,GARI,TAM,QB,Chi,W 36-10,23/33,312.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4
Kirk Cousins,LOS,WAS,QB,Min,W 26-20,22/33,262.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3
Sam Bradford,WA (Wed),MIN,QB,@Wsh,L 20-26,31/40,307.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2
Eli Manning,BLRT,NYG,QB,Cin,W 21-20,28/44,240.0,3.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Blake Bortles,WA (Wed),JAC,QB,Hou,L 21-24,32/49,265.0,2.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.7
Philip Rivers,FUNK,SDG,QB,Mia,L 24-31,23/44,326.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Trevor Siemian,WA (Wed),DEN,QB,@NO,W 25-23,25/40,258.0,2.0,2.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7
Carson Palmer,DAN,ARI,QB,SF,W 23-20,30/49,376.0,1.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.6
Brock Osweiler,WA (Wed),HOU,QB,@Jax,W 24-21,14/27,99.0,2.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1
Matt Ryan,NOG,ATL,QB,@Phi,L 15-24,18/33,267.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6
Andy Dalton,GARI,CIN,QB,@NYG,L 20-21,16/29,204.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5
Tom Brady,WA (Wed),NWE,QB,Sea,L 24-31,23/32,316.0,0.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3
Bryce Petty,WA (Wed),NYJ,QB,LA,L 6-9,19/32,163.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4
