Rk,Player,Team,Pos,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
48,Kellen Clemens,SDG,QB,1.8/3,20,0.1,0.1,0.1,0.5,0,0,0,0,0.3
49,Tarvaris Jackson,SEA,QB,0/0,0,0,0,0,0,0,0,0,0,0
50,Charlie Whitehurst,IND,QB,0/0,0,0,0,0,0,0,0,0,0,0
51,Bruce Gradkowski*,PIT,QB,0/0,0,0,0,0,0,0,0,0,0,0
52,Drew Stanton,ARI,QB,8.9/15.7,103.3,0.8,0.4,0.9,3.5,0,0,0,0,6.3
53,Matt Moore,MIA,QB,1.7/3,19.7,0.1,0.1,0.1,0.4,0,0,0,0,0.2
54,Chad Henne,JAC,QB,1.7/3,19,0.2,0.1,0.1,0.5,0,0,0,0,0.4
55,Josh Javon Johnson,NYG,QB,0/0,0,0,0,0,0,0,0,0,0,0
56,Matt Flynn,NOR,QB,0/0,0,0,0,0,0,0,0,0,0,0
57,Josh Freeman,IND,QB,0/0,0,0,0,0,0,0,0,0,0,0
58,Brian Hoyer,CHI,QB,20.6/35.8,267.2,1.4,1.1,0.6,2.3,0,0,0,0,13.1
59,Mark Sanchez,DAL,QB,0.6/1,6.6,0,0,0,0.2,0,0,0,0,0.1
60,Jimmy Clausen,BAL,QB,0/0,0,0,0,0,0,0,0,0,0,0
61,Colt McCoy,WAS,QB,1.7/2.9,19.4,0.1,0.1,0.1,0.4,0,0,0,0,0.3
62,Tim Tebow,FA,QB,0/0,0,0,0,0,0,0,0,0,0,0
63,Dan LeFevour,TAM,QB,0/0,0,0,0,0,0,0,0,0,0,0
64,Joe Webb,CAR,QB,0/0,0,0,0,0,0,0,0,0,0,0.3
65,Thaddeus Lewis*,SFO,QB,0/0,0,0,0,0,0,0,0,0,0,0
66,Christian Ponder,SFO,QB,0/0,0,0,0,0,0,0,0,0,0,0
67,Ryan Mallett,BAL,QB,1.8/3,19.7,0.1,0.1,0.1,0.5,0,0,0,0,0.3
68,T.J. Yates,HOU,QB,0/0,0,0,0,0,0,0,0,0,0,0
69,Jerrod Johnson,DAL,QB,0/0,0,0,0,0,0,0,0,0,0,0
70,Scott Tolzien,IND,QB,1.8/3.1,20.6,0.2,0.1,0.1,0.5,0,0,0,0,0.4
71,Nick Foles,KAN,QB,1.6/2.7,17.5,0.1,0.1,0.1,0.4,0,0,0,0,0.2
72,Brandon Weeden,HOU,QB,0/0,0,0,0,0,0,0,0,0,0,0
73,Kellen Moore*,DAL,QB,0/0,0,0,0,0,0,0,0,0,0,0
74,Ryan Lindley,IND,QB,0/0,0,0,0,0,0,0,0,0,0,0
75,Austin Davis,DEN,QB,0/0,0,0,0,0,0,0,0,0,0,0
76,Matt Simms,ATL,QB,0/0,0,0,0,0,0,0,0,0,0,0
77,Alex Tanney,TEN,QB,0/0,0,0,0,0,0,0,0,0,0,0
78,EJ Manuel,BUF,QB,8.2/14,94.5,0.6,0.4,1,3.8,0,0,0,0,4.8
79,Mike Glennon,TAM,QB,1.6/2.8,18.4,0.1,0.1,0.1,0.4,0,0,0,0,0.3
80,Geno Smith,NYJ,QB,21.9/37.7,250.8,1.7,1.3,6.4,25.5,0.2,0,0,0,16.6
81,Ryan Nassib,NYG,QB,1.7/2.9,19.3,0.1,0.1,0.1,0.5,0,0,0,0,0.4
82,Sean Renfree,ATL,QB,0/0,0,0,0,0,0,0,0,0,0,0
83,Landry Jones,PIT,QB,21.2/37.4,233.2,1.6,1.1,5.3,21.7,0.2,0,0,0,16.1
84,Zac Dysert,MIA,QB,0/0,0,0,0,0,0,0,0,0,0,0
85,Matt Barkley,ARI,QB,0/0,0,0,0,0,0,0,0,0,0,0
86,Ryan Griffin,TAM,QB,0/0,0,0,0,0,0,0,0,0,0,0
87,Tyler Bray,KAN,QB,0/0,0,0,0,0,0,0,0,0,0,0
88,Matt McGloin,OAK,QB,1.7/2.8,18.5,0.1,0.1,0.1,0.4,0,0,0,0,0.4
89,Teddy Bridgewater*,MIN,QB,0/0,0,0,0,0,0,0,0,0,0,0
90,Johnny Manziel,CLE,QB,0/0,0,0,0,0,0,0,0,0,0,0
91,AJ McCarron,CIN,QB,1.5/2.6,16.9,0.1,0.1,0.1,0.4,0,0,0,0,0.3
92,Tajh Boyd,PIT,QB,0/0,0,0,0,0,0,0,0,0,0,0
93,Logan Thomas,NYG,QB,0/0,0,0,0,0,0,0,0,0,0,0
94,Zach Mettenberger,SDG,QB,0/0,0,0,0,0,0,0,0,0,0,0
95,David Fales,CHI,QB,0/0,0,0,0,0,0,0,0,0,0,0
96,Keith Wenning,CIN,QB,0/0,0,0,0,0,0,0,0,0,0,0
97,Tom Savage,HOU,QB,9.3/16.6,107,0.7,0.6,0.4,1.5,0,0,0,0,5.3
98,Aaron Murray,KAN,QB,0/0,0,0,0,0,0,0,0,0,0,0
99,Matt Blanchard,CHI,QB,0/0,0,0,0,0,0,0,0,0,0,0
100,Dustin Vaughan,PIT,QB,0/0,0,0,0,0,0,0,0,0,0,0
101,Connor Shaw*,CHI,QB,0/0,0,0,0,0,0,0,0,0,0,0
102,Bryce Petty,NYJ,QB,0/0,0,0,0,0,0,0,0,0,0,0
103,Dylan Thompson,LAR,QB,0/0,0,0,0,0,0,0,0,0,0,0
104,Garrett Grayson,NOR,QB,0/0,0,0,0,0,0,0,0,0,0,0
105,Brett Hundley,GNB,QB,1.7/2.9,18.7,0.2,0.1,0.1,0.4,0,0,0,0,0.4
106,Christian Hackenberg,NYJ,QB,0/0,0,0,0,0,0,0,0,0,0,0
107,Jacoby Brissett,NWE,QB,0.4/0.7,4.5,0,0,0,0.1,0,0,0,0,0.1
108,Cody Kessler,CLE,QB,0.1/0.2,1.3,0,0,0,0,0,0,0,0,0
109,Connor Cook,OAK,QB,0/0,0,0,0,0,0,0,0,0,0,0
110,Cardale Jones,BUF,QB,0/0,0,0,0,0,0,0,0,0,0,0
111,Kevin Hogan,KAN,QB,0/0,0,0,0,0,0,0,0,0,0,0
112,Nate Sudfeld,WAS,QB,0/0,0,0,0,0,0,0,0,0,0,0
113,Jake Rudock,DET,QB,0/0,0,0,0,0,0,0,0,0,0,0
114,Brandon Allen,JAC,QB,0/0,0,0,0,0,0,0,0,0,0,0
115,Jeff Driskel,CIN,QB,0/0,0,0,0,0,0,0,0,0,0,0
116,Brandon Doughty,MIA,QB,0/0,0,0,0,0,0,0,0,0,0,0
117,Trevone Boykin,SEA,QB,1.5/2.6,16.6,0.1,0.1,0.1,0.4,0,0,0,0,0.4
118,Taylor Heinicke*,MIN,QB,0/0,0,0,0,0,0,0,0,0,0,0
119,Stephen Morris,IND,QB,0/0,0,0,0,0,0,0,0,0,0,0
1,Adrian Peterson,MIN,RB,0/0,0,0,0,308.1,1427,10.6,30.5,235,0.7,226.6
2,Todd Gurley,LAR,RB,0/0,0,0,0,297.8,1327.9,10.5,37.9,299.3,0.9,225.4
3,Ezekiel Elliott,DAL,RB,0/0,0,0,0,257.4,1126.8,8.5,41.6,351.7,1.5,203.9
4,David Johnson,ARI,RB,0/0,0,0,0,251.5,1044.7,8.2,58.3,531.1,2.6,217.5
5,Devonta Freeman,ATL,RB,0/0,0,0,0,232.6,928.1,6.7,69,547.2,2.3,197.6
6,Le'Veon Bell,PIT,RB,0/0,0,0,0,215.8,945.8,6.4,56.1,485.7,2.5,196.7
7,Lamar Miller,HOU,RB,0/0,0,0,0,281.8,1241,7.3,43.6,325.1,1.3,206.2
8,Doug Martin,TAM,RB,0/0,0,0,0,273,1215.8,6.6,32.3,251.6,1,187.9
9,Mark Ingram,NOR,RB,0/0,0,0,0,234.7,982.4,8.5,51.1,354.7,1.6,191.8
10,Eddie Lacy,GNB,RB,0/0,0,0,0,236.1,1011.5,6.4,29.1,232.4,1.3,165.8
