Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Russell Wilson,SEA,QB,Hou,W 41-38,26/41,452.0,4.0,1.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,35.1
Deshaun Watson,HOU,QB,@Sea,L 38-41,19/30,402.0,4.0,3.0,8.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,32.8
Andy Dalton,CIN,QB,Ind,W 24-23,17/29,243.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.7
Josh McCown,NYJ,QB,Atl,L 20-25,26/33,257.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.3
Matthew Stafford,DET,QB,Pit,L 15-20,27/45,423.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,18.0
Tom Brady,NWE,QB,LAC,W 21-13,32/47,333.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.5
Case Keenum,MIN,QB,@Cle,W 33-16,27/43,288.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.5
Carson Wentz,PHI,QB,SF,W 33-10,18/32,211.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,17.1
Tyrod Taylor,BUF,QB,Oak,W 34-14,20/27,165.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.7
Jacoby Brissett,IND,QB,@Cin,L 23-24,25/39,233.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.9
Matt Ryan,ATL,QB,@NYJ,W 25-20,18/29,254.0,2.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,15.9
DeShone Kizer,CLE,QB,Min,L 16-33,18/34,179.0,0.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.0
Ben Roethlisberger,PIT,QB,@Det,W 20-15,17/31,317.0,1.0,1.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.5
Alex Smith,KAN,QB,Den,W 29-19,14/31,202.0,1.0,0.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,13.4
Cam Newton,CAR,QB,@TB,W 17-3,18/32,154.0,1.0,1.0,11.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.6
Derek Carr,OAK,QB,@Buf,L 14-34,31/49,313.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12.5
Drew Brees,NOR,QB,Chi,W 20-12,23/28,299.0,0.0,0.0,4.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,11.8
C.J. Beathard,SFO,QB,@Phi,L 10-33,17/36,167.0,1.0,2.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,10.7
Kirk Cousins,WAS,QB,Dal,L 19-33,26/39,263.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,10.5
Philip Rivers,LAC,QB,@NE,L 13-21,17/30,212.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,10.5
Mitchell Trubisky,CHI,QB,@NO,L 12-20,14/32,164.0,0.0,1.0,3.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9.9
Joe Flacco,BAL,QB,Mia,W 40-0,10/15,101.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,8.9
Trevor Siemian,DEN,QB,@KC,L 19-29,19/36,198.0,1.0,3.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.9
Dak Prescott,DAL,QB,@Wsh,W 33-19,14/22,143.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,7.3
Ryan Mallett,BAL,QB,Mia,W 40-0,3/7,20.0,1.0,0.0,4.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,4.5
Jameis Winston,TAM,QB,Car,L 3-17,21/38,210.0,0.0,2.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,3.7
Matt Moore,MIA,QB,@Bal,L 0-40,25/44,176.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3.0
