Player,Team,Pos,Opp,WLScore,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,Tgt,2PC,FumL,MiscTD,DefTD,FumR,Sack,Sfty,Blk,PtsAlld,1_39,40_49,50plus,KTot,XP,FFPts
Tom Brady,NWE,QB,Hou,W 36-33,25/35,378.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,35.7
Russell Wilson,SEA,QB,@Ten,L 27-33,29/49,373.0,4.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,33.5
Case Keenum,MIN,QB,TB,W 34-17,25/33,369.0,3.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,28.6
Jacoby Brissett,IND,QB,Cle,W 31-28,17/24,259.0,1.0,0.0,5.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.8
Blake Bortles,JAC,QB,Bal,W 44-7,20/31,244.0,4.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,27.6
Kirk Cousins,WAS,QB,Oak,W 27-10,25/30,365.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.8
Brian Hoyer,SFO,QB,LAR,L 39-41,23/37,332.0,2.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,26.2
Aaron Rodgers,GNB,QB,Cin,W 27-24,28/42,313.0,3.0,1.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24.8
Jared Goff,LAR,QB,@SF,W 41-39,22/28,292.0,3.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,23.6
Dak Prescott,DAL,QB,@Ari,W 28-17,13/18,183.0,2.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.9
Eli Manning,NYG,QB,@Phi,L 24-27,35/47,366.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.6
DeShone Kizer,CLE,QB,@Ind,L 28-31,22/47,242.0,2.0,3.0,7.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,22.1
Carson Palmer,ARI,QB,Dal,L 17-28,29/48,325.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,21.7
Drew Brees,NOR,QB,@Car,W 34-13,22/29,220.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.8
Deshaun Watson,HOU,QB,@NE,L 33-36,22/33,301.0,2.0,2.0,8.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,20.1
Marcus Mariota,TEN,QB,Sea,W 33-27,20/32,225.0,2.0,0.0,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,19.7
Tyrod Taylor,BUF,QB,Den,W 26-16,20/26,213.0,2.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,17.8
Matthew Stafford,DET,QB,Atl,L 26-30,25/45,264.0,1.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.5
Andy Dalton,CIN,QB,@GB,L 24-27,21/27,212.0,2.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,16.3
Jameis Winston,TAM,QB,@Min,L 17-34,28/40,328.0,2.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.5
Alex Smith,KAN,QB,@LAC,W 24-10,16/21,155.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,15.1
Josh McCown,NYJ,QB,Mia,W 20-6,18/23,249.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,14.7
Matt Ryan,ATL,QB,@Det,W 30-26,24/35,294.0,2.0,3.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.7
Carson Wentz,PHI,QB,NYG,W 27-24,21/31,176.0,1.0,0.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,13.2
