Player,Pos,Team,Owner,Slot,Acq
Carlos Hyde,RB,SFO,Petr,FLEX,Draft
Cardinals,DST,ARI,Petr,D/ST,Draft
Roberto Aguayo,K,TAM,Petr,K,Draft
Jarvis Landry,WR,MIA,Petr,Bench,Draft
Jeremy Langford,RB,CHI,Petr,Bench,Draft
DeMarco Murray,RB,TEN,Petr,Bench,Draft
Michael Floyd,WR,ARI,Petr,Bench,Draft
Blake Bortles,QB,JAC,Petr,Bench,Draft
Bills,DST,BUF,Petr,Bench,Draft
Tevin Coleman,RB,ATL,Petr,Bench,Free Agency
