Slot,Player,Pos,Team,Acq,Owner
RB,Devonta Freeman,RB,ATL,Draft,PETR
RB,LeSean McCoy,RB,BUF,Draft,PETR
WR,Odell Beckham Jr.,WR,NYG,Draft,PETR
WR,Randall Cobb,WR,GNB,Draft,PETR
TE,Jordan Reed,TE,WAS,Draft,PETR
FLEX,Carlos Hyde,RB,SFO,Draft,PETR
D/ST,Cardinals,DST,ARI,Draft,PETR
K,Roberto Aguayo,K,TAM,Draft,PETR
Bench,Jarvis Landry,WR,MIA,Draft,PETR
Bench,Jeremy Langford,RB,CHI,Draft,PETR
Bench,DeMarco Murray,RB,TEN,Draft,PETR
Bench,Michael Floyd,WR,ARI,Draft,PETR
Bench,Blake Bortles,QB,JAC,Draft,PETR
Bench,Michael Crabtree,WR,OAK,Draft,PETR
Bench,Bills,DST,BUF,Draft,PETR
