Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Trevor Siemian,FA,,DEN,QB,SD,Sun 4:05,22.6/36.1,246.1,1.8,1.1,2.2,6.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.7
Matthew Stafford,DAN,,DET,QB,@Hou,Sun 1:00,23/34.5,249.3,1.6,1.0,2.4,8.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,15.5
Derek Carr,SCOT,,OAK,QB,@TB,Sun 1:00,23.1/35.2,274.5,1.6,1.2,2.0,4.7,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,15.4
Tyrod Taylor,BKN,,BUF,QB,NE,Sun 1:00,17.6/30.3,195.8,1.4,1.1,6.6,33.7,0.2,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.3
Brock Osweiler,FA,,HOU,QB,Det,Sun 1:00,20.8/32.8,253.7,1.6,1.1,2.4,6.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,14.9
Blake Bortles,SLIV,,JAC,QB,@Ten,L 22-36,22.2/37.2,270.1,1.4,1.4,3.0,15.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,14.8
Marcus Mariota,WA (Wed),,TEN,QB,Jax,W 36-22,17.6/29.6,183.9,1.9,1.2,4.4,23.8,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,14.7
Kirk Cousins,LOS,,WAS,QB,@Cin,Sun 9:30 AM,24.3/35.9,276.4,1.4,1.0,1.5,3.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,14.6
Carson Wentz,FA,,PHI,QB,@Dal,Sun 8:30,22.3/34.7,254.1,1.1,0.8,3.4,14.1,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,14.6
Josh McCown,FA,,CLE,QB,NYJ,Sun 1:00,20.9/32.8,262.7,1.2,1.2,2.7,9.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,13.4
Sam Bradford,FA,,MIN,QB,@Chi,Mon 8:30,21.4/32.8,235.4,1.3,0.8,2.0,4.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,13.2
Philip Rivers,FUNK,,SDG,QB,@Den,Sun 4:05,21.7/35.3,221.4,1.5,0.9,1.4,3.2,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,13.2
Jay Cutler,FA,,CHI,QB,Min,Mon 8:30,23.7/37.9,252.1,0.9,1.3,2.3,7.3,0.0,0.0,0.0,0.0,,,,,,,,,,1.3,,,11.4
Brett Hundley,FA,,GNB,QB,@Atl,Sun 4:25,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Glennon,FA,,TAM,QB,Oak,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Cassel,WA (Wed),,TEN,QB,Jax,W 36-22,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Schaub,FA,,ATL,QB,GB,Sun 4:25,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Paxton Lynch,FA,,DEN,QB,SD,Sun 4:05,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Scott Tolzien,FA,,IND,QB,KC,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevone Boykin,FA,,SEA,QB,@NO,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bryce Petty,FA,,NYJ,QB,@Cle,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tom Savage,FA,,HOU,QB,Det,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Drew Stanton,FA,,ARI,QB,@Car,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
EJ Manuel,FA,,BUF,QB,NE,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Henne,WA (Wed),,JAC,QB,@Ten,L 22-36,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chase Daniel,FA,,PHI,QB,@Dal,Sun 8:30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Anderson,FA,,CAR,QB,Ari,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mark Sanchez,FA,,DAL,QB,Phi,Sun 8:30,0.1/0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dan Orlovsky,FA,,DET,QB,@Hou,Sun 1:00,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kevin Hogan,FA,,CLE,QB,NYJ,Sun 1:00,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Garoppolo,FA,,NWE,QB,@Buf,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Clemens,FA,,SDG,QB,@Den,Sun 4:05,0.1/0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Luke McCown,FA,,NOR,QB,Sea,Sun 1:00,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
AJ McCarron,FA,,CIN,QB,Wsh,Sun 9:30 AM,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt McGloin,FA,,OAK,QB,@TB,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Shaun Hill,FA,,MIN,QB,@Chi,Mon 8:30,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nick Foles,FA,,KAN,QB,@Ind,Sun 1:00,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colt McCoy,FA,,WAS,QB,@Cin,Sun 9:30 AM,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Barkley,FA,,CHI,QB,Min,Mon 8:30,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Vick,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tony Romo,FA,,DAL,QB,Phi,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Eli Manning,FA,,NYG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ben Roethlisberger,LOS,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tarvaris Jackson,FA,,SEA,QB,@NO,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Charlie Whitehurst,FA,,CLE,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bruce Gradkowski,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Moore,FA,,MIA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Joe Flacco,FA,,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Josh Javon Johnson,FA,,NYG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Flynn,FA,,NOR,QB,Sea,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Freeman,FA,,IND,QB,KC,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brian Hoyer,FA,,CHI,QB,Min,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Clausen,FA,,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tim Tebow,FA,,FA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dan LeFevour,FA,,TAM,QB,Oak,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Webb,FA,,CAR,QB,Ari,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Thaddeus Lewis,FA,,SFO,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Christian Ponder,FA,,SFO,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Blaine Gabbert,FA,,SFO,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Colin Kaepernick,FA,,SFO,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ryan Mallett,FA,,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
T.J. Yates,FA,,HOU,QB,Det,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jerrod Johnson,FA,,DAL,QB,Phi,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Robert Griffin III,FA,,CLE,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Tannehill,FA,,MIA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Brandon Weeden,FA,,HOU,QB,Det,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Moore,FA,,DAL,QB,Phi,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Lindley,FA,,IND,QB,KC,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Case Keenum,FA,,LAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Austin Davis,FA,,DEN,QB,SD,Sun 4:05,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Simms,FA,,ATL,QB,GB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Alex Tanney,WA (Wed),,TEN,QB,Jax,W 36-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Geno Smith,FA,,NYJ,QB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Nassib,FA,,NYG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Sean Renfree,FA,,ATL,QB,GB,Sun 4:25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Landry Jones,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Zac Dysert,FA,,ARI,QB,@Car,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Griffin,FA,,TAM,QB,Oak,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tyler Bray,FA,,KAN,QB,@Ind,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Teddy Bridgewater,FA,,MIN,QB,@Chi,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Johnny Manziel,FA,,CLE,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tajh Boyd,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Logan Thomas,FA,,NYG,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Zach Mettenberger,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
David Fales,FA,,CHI,QB,Min,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Keith Wenning,FA,,CIN,QB,Wsh,Sun 9:30 AM,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Aaron Murray,FA,,KAN,QB,@Ind,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Blanchard,FA,,CHI,QB,Min,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dustin Vaughan,FA,,PIT,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Connor Shaw,FA,,CHI,QB,Min,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dylan Thompson,FA,,LAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Sean Mannion,FA,,LAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Garrett Grayson,FA,,NOR,QB,Sea,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jared Goff,FA,,LAR,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Christian Hackenberg,FA,,NYJ,QB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jacoby Brissett,FA,,NWE,QB,@Buf,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cody Kessler,FA,,CLE,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Cook,FA,,OAK,QB,@TB,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cardale Jones,FA,,BUF,QB,NE,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nate Sudfeld,FA,,WAS,QB,@Cin,Sun 9:30 AM,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jake Rudock,FA,,DET,QB,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Allen,WA (Wed),,JAC,QB,@Ten,L 22-36,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jeff Driskel,FA,,CIN,QB,Wsh,Sun 9:30 AM,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Doughty,FA,,MIA,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Taylor Heinicke,FA,,MIN,QB,@Chi,Mon 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Stephen Morris,FA,,IND,QB,KC,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Callahan,FA,,CLE,QB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
DeMarco Murray,SLIV,,TEN,RB,Jax,W 36-22,0/0,0.0,0.0,0.0,21.6,91.9,0.7,3.3,22.6,0.2,,,,,,,,,,0.0,,,16.6
Ezekiel Elliott,SCOT,,DAL,RB,Phi,Sun 8:30,0/0,0.0,0.0,0.0,21.0,105.0,0.6,2.5,20.4,0.1,,,,,,,,,,0.0,,,16.4
David Johnson,GARI,,ARI,RB,@Car,Sun 1:00,0/0,0.0,0.0,0.0,17.9,71.1,0.6,4.3,45.5,0.2,,,,,,,,,,0.0,,,16.2
Spencer Ware,GARI,,KAN,RB,@Ind,Sun 1:00,0/0,0.0,0.0,0.0,15.6,77.3,0.8,2.4,25.2,0.1,,,,,,,,,,0.0,,,15.2
Devonta Freeman,SLIV,,ATL,RB,GB,Sun 4:25,0/0,0.0,0.0,0.0,17.1,65.5,0.6,4.3,37.6,0.2,,,,,,,,,,0.0,,,15.0
Lamar Miller,FUNK,,HOU,RB,Det,Sun 1:00,0/0,0.0,0.0,0.0,21.1,98.4,0.4,2.4,19.2,0.1,,,,,,,,,,0.0,,,14.7
Christine Michael,DAN,,SEA,RB,@NO,Sun 1:00,0/0,0.0,0.0,0.0,19.0,87.0,0.6,2.1,18.3,0.1,,,,,,,,,,0.0,,,14.5
Matt Forte,FUNK,,NYJ,RB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,18.6,77.8,0.6,2.7,25.2,0.1,,,,,,,,,,0.0,,,14.0
Devontae Booker,SCOT,,DEN,RB,SD,Sun 4:05,0/0,0.0,0.0,0.0,15.9,66.0,0.5,3.5,28.6,0.1,,,,,,,,,,0.0,,,13.2
Frank Gore,SCOT,,IND,RB,KC,Sun 1:00,0/0,0.0,0.0,0.0,16.3,71.8,0.5,2.2,16.8,0.1,,,,,,,,,,0.0,,,12.0
Melvin Gordon,BKN,,SDG,RB,@Den,Sun 4:05,0/0,0.0,0.0,0.0,21.1,72.3,0.5,2.3,13.7,0.1,,,,,,,,,,0.0,,,11.6
Jacquizz Rodgers,NOG,,TAM,RB,Oak,Sun 1:00,0/0,0.0,0.0,0.0,14.9,67.6,0.3,2.7,21.7,0.1,,,,,,,,,,0.0,,,11.4
Isaiah Crowell,NOG,,CLE,RB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,14.4,53.0,0.5,1.7,15.2,0.0,,,,,,,,,,0.0,,,10.4
Latavius Murray,GARI,,OAK,RB,@TB,Sun 1:00,0/0,0.0,0.0,0.0,13.5,49.3,0.5,2.4,18.8,0.1,,,,,,,,,,0.0,,,10.2
Theo Riddick,NOG,,DET,RB,@Hou,Sun 1:00,0/0,0.0,0.0,0.0,10.8,42.6,0.2,4.4,34.5,0.2,,,,,,,,,,0.0,,,10.2
Mark Ingram,BKN,,NOR,RB,Sea,Sun 1:00,0/0,0.0,0.0,0.0,14.0,50.5,0.4,3.1,20.1,0.1,,,,,,,,,,0.0,,,9.9
Ty Montgomery,DAN,,GNB,RB,@Atl,Sun 4:25,0/0,0.0,0.0,0.0,5.4,22.7,0.1,5.2,40.9,0.5,,,,,,,,,,0.0,,,9.6
Jeremy Hill,BKN,,CIN,RB,Wsh,Sun 9:30 AM,0/0,0.0,0.0,0.0,13.4,65.6,0.4,0.8,5.8,0.0,,,,,,,,,,0.0,,,9.6
LeGarrette Blount,FA,,NWE,RB,@Buf,Sun 1:00,0/0,0.0,0.0,0.0,15.7,63.6,0.5,0.5,4.2,0.0,,,,,,,,,,0.0,,,9.6
Giovani Bernard,DAN,,CIN,RB,Wsh,Sun 9:30 AM,0/0,0.0,0.0,0.0,8.3,39.8,0.2,4.0,34.9,0.1,,,,,,,,,,0.0,,,9.2
Mike Gillislee,SLIV,,BUF,RB,NE,Sun 1:00,0/0,0.0,0.0,0.0,13.9,57.6,0.4,1.6,10.9,0.1,,,,,,,,,,0.0,,,9.2
Jonathan Stewart,LOS,,CAR,RB,Ari,Sun 1:00,0/0,0.0,0.0,0.0,15.2,64.7,0.3,1.0,6.4,0.0,,,,,,,,,,0.0,,,9.1
Jerick McKinnon,GARI,,MIN,RB,@Chi,Mon 8:30,0/0,0.0,0.0,0.0,13.4,56.3,0.2,2.1,15.6,0.1,,,,,,,,,,0.0,,,8.8
James White,FA,,NWE,RB,@Buf,Sun 1:00,0/0,0.0,0.0,0.0,6.3,24.1,0.2,4.5,42.1,0.2,,,,,,,,,,0.0,,,8.7
Ryan Mathews,SCOT,,PHI,RB,@Dal,Sun 8:30,0/0,0.0,0.0,0.0,11.2,51.7,0.3,1.2,9.3,0.0,,,,,,,,,,0.0,,,7.6
Bilal Powell,FA,,NYJ,RB,@Cle,Sun 1:00,0/0,0.0,0.0,0.0,6.6,28.6,0.2,3.5,31.6,0.1,,,,,,,,,,0.0,,,7.6
Duke Johnson Jr.,FA,,CLE,RB,NYJ,Sun 1:00,0/0,0.0,0.0,0.0,5.8,20.3,0.2,3.7,35.0,0.1,,,,,,,,,,0.0,,,7.3
Matt Asiata,NOG,,MIN,RB,@Chi,Mon 8:30,0/0,0.0,0.0,0.0,9.5,34.8,0.3,2.1,15.2,0.1,,,,,,,,,,0.0,,,7.2
Matt Jones,FUNK,,WAS,RB,@Cin,Sun 9:30 AM,0/0,0.0,0.0,0.0,10.9,44.7,0.3,0.6,5.6,0.0,,,,,,,,,,0.0,,,6.6
Chris Thompson,LOS,,WAS,RB,@Cin,Sun 9:30 AM,0/0,0.0,0.0,0.0,5.0,22.8,0.1,3.5,29.4,0.1,,,,,,,,,,0.0,,,6.5
T.J. Yeldon,WA (Wed),,JAC,RB,@Ten,L 22-36,0/0,0.0,0.0,0.0,8.5,33.1,0.1,2.5,18.9,0.1,,,,,,,,,,0.0,,,6.4
