Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Aaron Rodgers,NOG,,GNB,QB,@Atl,Sun 4:25,25.4/39.1,279.6,2.6,1.0,3.8,16.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,21.4
Russell Wilson,FUNK,,SEA,QB,@NO,Sun 1:00,21.4/31.4,282.7,1.7,0.8,5.4,29.2,0.2,0.0,0.0,0.0,,,,,,,,,,0.8,,,19.9
Jameis Winston,FA,,TAM,QB,Oak,Sun 1:00,22.3/36.3,297.4,2.0,1.5,4.2,18.5,0.2,0.0,0.0,0.0,,,,,,,,,,1.5,,,19.5
Matt Ryan,NOG,,ATL,QB,GB,Sun 4:25,24.6/35,302.8,2.0,1.0,2.4,6.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,18.7
Cam Newton,BKN,,CAR,QB,Ari,Sun 1:00,19.3/33.7,226.7,1.5,1.3,7.4,38.9,0.3,0.0,0.0,0.0,,,,,,,,,,1.3,,,17.9
Andrew Luck,LOS,,IND,QB,KC,Sun 1:00,24.8/40,271.8,1.9,1.5,3.9,17.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.5,,,17.7
Ryan Fitzpatrick,FA,,NYJ,QB,@Cle,Sun 1:00,22.1/34.6,281.5,1.5,1.1,3.4,15.8,0.2,0.0,0.0,0.0,,,,,,,,,,1.1,,,17.5
Tom Brady,FA,,NWE,QB,@Buf,Sun 1:00,24.6/37,285.9,1.8,1.0,2.4,1.8,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,17.2
Alex Smith,FA,,KAN,QB,@Ind,Sun 1:00,21.9/31.4,258.2,1.2,0.7,4.5,26.3,0.2,0.0,0.0,0.0,,,,,,,,,,0.7,,,17.2
Carson Palmer,GARI,,ARI,QB,@Car,Sun 1:00,23.4/36.9,310.0,1.8,1.6,1.5,2.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.6,,,16.7
Andy Dalton,GARI,,CIN,QB,Wsh,Sun 9:30 AM,22.4/34.7,267.9,1.3,0.9,3.8,16.8,0.2,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.2
Drew Brees,DAN,,NOR,QB,Sea,Sun 1:00,28.4/42.6,293.6,1.7,1.1,1.5,1.3,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,16.1
Dak Prescott,FA,,DAL,QB,Phi,Sun 8:30,20.2/30,232.6,1.5,0.9,4.0,18.1,0.2,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.0
