Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,@Atl,Sun 1:00,19/31.4,232.2,1.8,1.1,8.0,45.2,0.4,0.0,0.0,0.0,,,,,,20.9
Philip Rivers,FUNK,,SDG,QB,NO,Sun 4:25,25.4/36.9,313.4,2.2,0.8,1.4,4.7,0.1,0.0,0.0,0.0,,,,,,20.0
Drew Brees,APE,,NOR,QB,@SD,Sun 4:25,28.1/41.5,328.9,2.0,1.0,1.3,2.8,0.1,0.0,0.0,0.0,,,,,,19.6
Matthew Stafford,APE,,DET,QB,@Chi,Sun 1:00,26/38.6,312.4,1.8,0.9,2.5,8.3,0.1,0.0,0.0,0.0,,,,,,19.0
Kirk Cousins,SCOT,,WAS,QB,Cle,Sun 1:00,25.1/37.5,301.1,1.8,0.8,2.1,6.4,0.1,0.0,0.0,0.0,,,,,,18.6
Blake Bortles,SLIV,,JAC,QB,Ind,Sun 9:30 AM,23.2/38.2,296.8,2.0,1.3,3.1,16.6,0.1,0.0,0.0,0.0,,,,,,18.6
Andrew Luck,LOS,,IND,QB,@Jax,Sun 9:30 AM,22.3/37.4,253.9,2.1,1.3,4.0,16.3,0.1,0.0,0.0,0.0,,,,,,18.1
Russell Wilson,FUNK,,SEA,QB,@NYJ,Sun 1:00,19.5/30.2,248.3,1.6,0.8,5.6,26.6,0.1,0.0,0.0,0.0,,,,,,17.7
Andy Dalton,GARI,,CIN,QB,Mia,Thu 8:25,20.7/31.9,261.7,1.6,0.9,3.9,15.1,0.2,0.0,0.0,0.0,,,,,,17.5
Alex Smith,FA,,KAN,QB,@Pit,Sun 8:30,23.1/34.7,260.5,1.3,0.7,4.4,23.7,0.1,0.0,0.0,0.0,,,,,,17.2
Ben Roethlisberger,LOS,,PIT,QB,KC,Sun 8:30,24.7/38.3,271.9,1.9,1.2,1.7,4.2,0.0,0.0,0.0,0.0,,,,,,17.0
Carson Palmer,GARI,,ARI,QB,LA,Sun 4:25,21.4/34.2,254.1,2.0,0.9,1.6,2.7,0.1,0.0,0.0,0.0,,,,,,16.6
Dak Prescott,FA,,DAL,QB,@SF,Sun 4:25,21.5/32.8,249.9,1.5,0.6,2.7,13.1,0.1,0.0,0.0,0.0,,,,,,16.5
