Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,TB,Mon 8:30,17.9/29.6,233.1,2.0,1.3,8.3,40.7,0.5,0.0,0.0,0.0,,,,,,21.5
Andrew Luck,LOS,,IND,QB,Chi,Sun 1:00,22.6/36,270.9,2.2,1.1,4.0,16.9,0.1,0.0,0.0,0.0,,,,,,19.9
Tom Brady,WA (Wed),,NWE,QB,@Cle,Sun 1:00,23.6/35.9,285.1,2.0,0.5,2.6,2.6,0.2,0.0,0.0,0.0,,,,,,19.6
Aaron Rodgers,NOG,,GNB,QB,NYG,Sun 8:30,21.3/34,243.2,2.0,0.6,3.4,14.3,0.1,0.0,0.0,0.0,,,,,,18.2
Ben Roethlisberger,LOS,,PIT,QB,NYJ,Sun 1:00,24.8/37,303.6,2.0,1.2,1.7,3.0,0.0,0.0,0.0,0.0,,,,,,18.1
Carson Palmer,GARI,,ARI,QB,@SF,Thu 8:25,22.9/36.3,293.6,2.0,1.0,1.6,3.2,0.1,0.0,0.0,0.0,,,,,,17.8
Andy Dalton,GARI,,CIN,QB,@Dal,Sun 4:25,23.8/35.7,288.9,1.4,0.8,3.8,14.6,0.1,0.0,0.0,0.0,,,,,,17.4
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,@Pit,Sun 1:00,23.4/37.7,277.7,1.7,1.5,3.9,17.0,0.1,0.0,0.0,0.0,,,,,,17.3
Carson Wentz,WA (Wed),,PHI,QB,@Det,Sun 1:00,22.9/34.1,273.7,1.5,0.9,3.3,14.3,0.2,0.0,0.0,0.0,,,,,,17.2
Philip Rivers,FUNK,,SDG,QB,@Oak,Sun 4:25,25.2/37.9,286.4,1.8,1.1,1.4,4.2,0.0,0.0,0.0,0.0,,,,,,17.1
Jay Cutler,WA (Wed),,CHI,QB,@Ind,Sun 1:00,24.2/35.5,300.4,1.5,1.2,2.4,8.8,0.1,0.0,0.0,0.0,,,,,,16.3
