Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Russell Wilson,FUNK,,SEA,QB,SF,Sun 4:05,19/29.5,246.8,1.8,0.5,6.2,32.0,0.2,0.0,0.0,0.0,,,,,,20.1
Andrew Luck,LOS,,IND,QB,SD,Sun 4:25,23.2/38.9,289.0,2.2,1.3,4.0,17.6,0.1,0.0,0.0,0.0,,,,,,19.8
Cam Newton,BKN,,CAR,QB,Min,Sun 1:00,18.3/31.6,224.3,1.6,0.8,7.9,43.9,0.3,0.0,0.0,0.0,,,,,,19.6
Aaron Rodgers,NOG,,GNB,QB,Det,Sun 1:00,21.1/33.2,254.7,2.1,0.5,3.2,14.7,0.1,0.0,0.0,0.0,,,,,,19.3
Philip Rivers,FUNK,,SDG,QB,@Ind,Sun 4:25,25.7/38.2,311.1,1.9,0.8,1.4,4.2,0.0,0.0,0.0,0.0,,,,,,18.8
Drew Brees,APE,,NOR,QB,Atl,Mon 8:30,27/39.7,302.6,2.0,1.1,1.4,2.6,0.1,0.0,0.0,0.0,,,,,,18.3
Ben Roethlisberger,LOS,,PIT,QB,@Phi,Sun 4:25,25.4/37.9,303.1,1.7,0.8,1.9,4.6,0.0,0.0,0.0,0.0,,,,,,18.1
Matt Ryan,WA (Wed),,ATL,QB,@NO,Mon 8:30,27/39,319.8,1.6,1.0,1.9,7.1,0.1,0.0,0.0,0.0,,,,,,17.8
Ryan Tannehill,WA (Wed),,MIA,QB,Cle,Sun 1:00,22.3/34.9,274.6,1.6,0.5,2.6,11.3,0.1,0.0,0.0,0.0,,,,,,17.7
Derek Carr,WA (Wed),,OAK,QB,@Ten,Sun 1:00,21.9/35.6,264.6,1.9,0.7,1.9,5.4,0.0,0.0,0.0,0.0,,,,,,17.1
Blake Bortles,SLIV,,JAC,QB,Bal,Sun 1:00,20.2/35,242.1,1.9,0.8,3.2,15.4,0.1,0.0,0.0,0.0,,,,,,16.9
Tyrod Taylor,BKN,,BUF,QB,Ari,Sun 1:00,19.5/31.8,221.3,1.3,1.0,7.0,35.6,0.3,0.0,0.0,0.0,,,,,,16.4
Eli Manning,SLIV,,NYG,QB,Wsh,Sun 1:00,23.2/37.3,272.7,1.9,1.0,1.3,2.5,0.0,0.0,0.0,0.0,,,,,,16.3
Kirk Cousins,SCOT,,WAS,QB,@NYG,Sun 1:00,25.4/38.7,288.2,1.6,1.0,2.3,7.3,0.1,0.0,0.0,0.0,,,,,,16.2
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,@KC,Sun 4:25,23.2/38.5,257.4,1.5,1.3,3.9,17.6,0.1,0.0,0.0,0.0,,,,,,16.1
Marcus Mariota,WA (Wed),,TEN,QB,Oak,Sun 1:00,20.3/31,239.9,1.3,0.9,5.2,25.6,0.2,0.0,0.0,0.0,,,,,,16.0
Dak Prescott,WA (Wed),,DAL,QB,Chi,Sun 8:30,18.6/30.7,215.1,1.6,0.9,3.7,18.5,0.1,0.0,0.0,0.0,,,,,,15.8
Carson Palmer,GARI,,ARI,QB,@Buf,Sun 1:00,21.8/36.1,268.1,1.8,1.2,1.5,3.5,0.1,0.0,0.0,0.0,,,,,,15.8
Jameis Winston,WA (Wed),,TAM,QB,LA,Sun 4:05,18.4/32,216.5,1.5,0.8,4.0,16.3,0.2,0.0,0.0,0.0,,,,,,15.6
Jay Cutler,WA (Wed),,CHI,QB,@Dal,Sun 8:30,22.5/34.1,269.2,1.4,0.7,2.5,8.9,0.1,0.0,0.0,0.0,,,,,,15.6
Matthew Stafford,APE,,DET,QB,@GB,Sun 1:00,26.4/41.6,289.7,1.3,1.2,2.4,8.2,0.1,0.0,0.0,0.0,,,,,,15.4
Joe Flacco,WA (Wed),,BAL,QB,@Jax,Sun 1:00,23.7/38.3,275.6,1.5,1.1,1.7,2.5,0.1,0.0,0.0,0.0,,,,,,15.2
Brock Osweiler,WA (Wed),,HOU,QB,@NE,Thu 8:25,23.8/39.3,277.0,1.4,1.1,2.7,6.0,0.1,0.0,0.0,0.0,,,,,,15.0
Alex Smith,WA (Wed),,KAN,QB,NYJ,Sun 4:25,19.9/30.7,214.0,1.2,0.6,4.3,23.3,0.1,0.0,0.0,0.0,,,,,,15.0
Carson Wentz,WA (Wed),,PHI,QB,Pit,Sun 4:25,21.4/36.2,244.2,1.3,1.3,3.6,18.6,0.2,0.0,0.0,0.0,,,,,,14.9
Andy Dalton,GARI,,CIN,QB,Den,Sun 1:00,18.9/31.3,201.2,1.3,0.8,3.9,12.6,0.1,0.0,0.0,0.0,,,,,,13.4
Cody Kessler,WA (Wed),,CLE,QB,@Mia,Sun 1:00,19.5/32.8,232.6,1.2,1.1,2.6,10.5,0.1,0.0,0.0,0.0,,,,,,13.0
Jacoby Brissett,WA (Wed),,NWE,QB,Hou,Thu 8:25,19.9/35,204.2,1.6,1.6,2.7,10.6,0.1,0.0,0.0,0.0,,,,,,12.4
Blaine Gabbert,WA (Wed),,SFO,QB,@Sea,Sun 4:05,22.2/38.3,225.6,0.9,1.3,4.3,13.5,0.1,0.0,0.0,0.0,,,,,,11.0
Sam Bradford,WA (Wed),,MIN,QB,@Car,Sun 1:00,20.7/34.5,210.3,1.0,1.0,2.0,4.8,0.1,0.0,0.0,0.0,,,,,,10.7
Trevor Siemian,WA (Wed),,DEN,QB,@Cin,Sun 1:00,19.2/35,191.8,1.0,1.5,3.2,13.3,0.1,0.0,0.0,0.0,,,,,,10.1
Case Keenum,WA (Wed),,LAR,QB,@TB,Sun 4:05,17.9/30.3,204.3,0.8,1.1,2.5,8.0,0.1,0.0,0.0,0.0,,,,,,10.1
