Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,@Atl,Sun 1:00,18.9/31.4,237.8,1.8,1.0,8.3,45.3,0.4,0.0,0.0,0.0,,,,,,21.3
Drew Brees,APE,,NOR,QB,@SD,Sun 4:25,27.3/40.8,311.7,2.0,1.0,1.4,2.3,0.1,0.0,0.0,0.0,,,,,,19.0
Philip Rivers,FUNK,,SDG,QB,NO,Sun 4:25,25.3/38.6,277.0,2.2,0.9,1.4,3.9,0.0,0.0,0.0,0.0,,,,,,18.6
Andrew Luck,LOS,,IND,QB,@Jax,Sun 9:30 AM,23/38.6,268.7,2.1,1.3,4.0,16.7,0.1,0.0,0.0,0.0,,,,,,18.4
Ben Roethlisberger,LOS,,PIT,QB,KC,Sun 8:30,24.9/37.7,292.1,1.9,1.1,2.0,4.7,0.0,0.0,0.0,0.0,,,,,,18.0
Russell Wilson,FUNK,,SEA,QB,@NYJ,Sun 1:00,19.6/30.8,240.5,1.6,0.8,5.6,29.9,0.1,0.0,0.0,0.0,,,,,,17.9
Kirk Cousins,WA (Wed),,WAS,QB,Cle,Sun 1:00,24.2/36.9,276.1,1.9,0.8,2.2,6.3,0.1,0.0,0.0,0.0,,,,,,17.9
Matthew Stafford,APE,,DET,QB,@Chi,Sun 1:00,25.6/38.6,296.7,1.6,0.9,2.5,8.3,0.1,0.0,0.0,0.0,,,,,,17.8
Carson Palmer,GARI,,ARI,QB,LA,Sun 4:25,21.5/33.6,267.6,2.0,0.9,1.6,3.3,0.1,0.0,0.0,0.0,,,,,,17.4
Tyrod Taylor,BKN,,BUF,QB,@NE,Sun 1:00,19.9/32.9,235.1,1.4,1.0,6.8,35.5,0.2,0.0,0.0,0.0,,,,,,17.3
