Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,@Atl,L 33-48,18.9/31.3,231.2,1.8,1.0,8.0,45.2,0.4,0.0,0.0,0.0,,,,,,21.1
Philip Rivers,FUNK,,SDG,QB,NO,L 34-35,25.4/36.9,313.3,2.2,0.8,1.4,4.7,0.1,0.0,0.0,0.0,,,,,,20.1
Drew Brees,APE,,NOR,QB,@SD,W 35-34,28.1/41.5,329.2,2.0,1.0,1.3,2.8,0.1,0.0,0.0,0.0,,,,,,19.5
Matthew Stafford,APE,,DET,QB,@Chi,L 14-17,26/38.6,312.6,1.8,0.8,2.5,8.3,0.1,0.0,0.0,0.0,,,,,,19.1
Blake Bortles,SLIV,,JAC,QB,Ind,W 30-27,23/38.2,296.4,2.0,1.4,3.1,16.6,0.1,0.0,0.0,0.0,,,,,,18.5
Kirk Cousins,SCOT,,WAS,QB,Cle,W 31-20,25/37.4,300.3,1.8,0.9,2.1,6.4,0.1,0.0,0.0,0.0,,,,,,18.5
Andrew Luck,LOS,,IND,QB,@Jax,L 27-30,22.3/37.4,254.0,2.1,1.3,4.0,16.3,0.1,0.0,0.0,0.0,,,,,,18.1
Russell Wilson,FUNK,,SEA,QB,@NYJ,W 27-17,19.5/30.2,247.5,1.6,0.8,5.6,26.6,0.1,0.0,0.0,0.0,,,,,,17.7
Andy Dalton,GARI,,CIN,QB,Mia,W 22-7,20.7/31.8,261.3,1.6,0.9,3.9,15.1,0.2,0.0,0.0,0.0,,,,,,17.4
Alex Smith,WA (Wed),,KAN,QB,@Pit,L 14-43,23.1/34.8,261.7,1.3,0.6,4.4,23.7,0.1,0.0,0.0,0.0,,,,,,17.3
Ben Roethlisberger,LOS,,PIT,QB,KC,W 43-14,24.4/38.3,275.4,1.9,1.2,1.7,4.2,0.0,0.0,0.0,0.0,,,,,,17.2
Carson Palmer,GARI,,ARI,QB,LA,L 13-17,21.5/34.3,254.9,2.0,0.9,1.6,2.7,0.1,0.0,0.0,0.0,,,,,,16.5
Dak Prescott,WA (Wed),,DAL,QB,@SF,W 24-17,21.7/32.9,248.3,1.5,0.6,2.7,13.1,0.1,0.0,0.0,0.0,,,,,,16.4
Jacoby Brissett,WA (Wed),,NWE,QB,Buf,L 0-16,17.9/29.5,201.8,1.7,1.2,5.8,27.1,0.2,0.0,0.0,0.0,,,,,,16.3
Joe Flacco,WA (Wed),,BAL,QB,Oak,L 27-28,23.7/38.1,278.3,1.8,1.3,2.0,4.0,0.1,0.0,0.0,0.0,,,,,,16.2
Tyrod Taylor,BKN,,BUF,QB,@NE,W 16-0,19.4/32.7,212.8,1.3,1.0,6.8,34.8,0.2,0.0,0.0,0.0,,,,,,16.1
Blaine Gabbert,WA (Wed),,SFO,QB,Dal,L 17-24,21.3/34.6,250.7,1.3,0.8,4.5,18.5,0.1,0.0,0.0,0.0,,,,,,15.6
Eli Manning,SLIV,,NYG,QB,@Min,Mon 8:30,24.8/38.2,286.2,1.6,1.1,1.3,1.7,0.0,0.0,0.0,0.0,,,,,,15.5
Derek Carr,WA (Wed),,OAK,QB,@Bal,W 28-27,21.8/36,235.9,1.6,0.6,1.7,4.6,0.1,0.0,0.0,0.0,,,,,,15.0
Brian Hoyer,WA (Wed),,CHI,QB,Det,W 17-14,21.3/35.2,267.8,1.5,1.0,2.0,4.1,0.1,0.0,0.0,0.0,,,,,,14.9
Matt Ryan,NOG,,ATL,QB,Car,W 48-33,25.9/39,272.4,1.5,1.3,1.9,5.4,0.0,0.0,0.0,0.0,,,,,,14.8
Jameis Winston,WA (Wed),,TAM,QB,Den,L 7-27,21.2/38,216.2,1.5,1.1,4.1,16.3,0.1,0.0,0.0,0.0,,,,,,14.5
Brock Osweiler,WA (Wed),,HOU,QB,Ten,W 27-20,20/32.3,244.1,1.5,1.0,3.3,6.5,0.1,0.0,0.0,0.0,,,,,,14.4
Trevor Siemian,WA (Wed),,DEN,QB,@TB,W 27-7,19.6/30.7,234.2,1.4,1.3,3.0,10.6,0.1,0.0,0.0,0.0,,,,,,13.8
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,Sea,L 17-27,21.1/35.6,220.2,1.4,1.4,3.9,15.3,0.1,0.0,0.0,0.0,,,,,,13.8
Marcus Mariota,WA (Wed),,TEN,QB,@Hou,L 20-27,21.6/33.8,227.3,1.2,1.1,4.1,22.7,0.1,0.0,0.0,0.0,,,,,,13.8
Ryan Tannehill,WA (Wed),,MIA,QB,@Cin,L 7-22,23.4/38.4,247.8,1.3,1.1,2.6,10.2,0.1,0.0,0.0,0.0,,,,,,13.7
Cody Kessler,WA (Wed),,CLE,QB,@Wsh,L 20-31,19.5/33.5,235.0,1.2,1.1,2.7,11.7,0.1,0.0,0.0,0.0,,,,,,13.4
Sam Bradford,FA,,MIN,QB,NYG,Mon 8:30,20.8/32.4,223.6,1.2,0.7,2.0,4.2,0.1,0.0,0.0,0.0,,,,,,12.8
Case Keenum,WA (Wed),,LAR,QB,@Ari,W 17-13,19.5/33,208.1,0.7,1.1,2.5,7.4,0.1,0.0,0.0,0.0,,,,,,9.5
Scott Tolzien,WA (Wed),,IND,QB,@Jax,L 27-30,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chad Henne,WA (Wed),,JAC,QB,Ind,W 30-27,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Drew Stanton,WA (Wed),,ARI,QB,LA,L 13-17,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
