Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Matt Ryan,NOG,,ATL,QB,SD,Sun 4:05,25.4/37.1,296.4,2.5,1.0,2.5,7.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,20.5
Aaron Rodgers,NOG,,GNB,QB,Chi,W 26-10,22.7/36.2,267.4,2.3,0.7,3.6,16.0,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,20.3
Tom Brady,FA,,NWE,QB,@Pit,Sun 4:25,27.5/41.7,316.1,2.2,0.9,2.2,2.6,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,20.3
Blake Bortles,SLIV,,JAC,QB,Oak,Sun 1:00,22.6/36.4,303.0,2.1,1.4,3.1,18.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,19.5
Alex Smith,FA,,KAN,QB,NO,Sun 1:00,22.4/32.7,271.5,1.3,0.5,4.6,27.6,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,18.9
Andy Dalton,GARI,,CIN,QB,Cle,Sun 1:00,21.3/31.9,276.5,1.6,0.6,4.1,15.9,0.2,0.0,0.0,0.0,,,,,,,,,,0.6,,,18.8
Matthew Stafford,APE,,DET,QB,Wsh,Sun 1:00,24.6/36,280.6,1.9,0.8,2.4,9.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,18.5
Kirk Cousins,LOS,,WAS,QB,@Det,Sun 1:00,25.5/36.5,314.5,1.8,0.9,1.5,3.8,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,18.3
Philip Rivers,FUNK,,SDG,QB,@Atl,Sun 4:05,25.9/39.5,290.5,2.1,1.2,1.4,3.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,18.3
Drew Brees,APE,,NOR,QB,@KC,Sun 1:00,27.8/42.7,293.6,1.9,1.1,1.5,2.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,17.7
Andrew Luck,LOS,,IND,QB,@Ten,Sun 1:00,24.3/39.6,290.7,1.7,1.3,3.8,16.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,17.7
Jameis Winston,FA,,TAM,QB,@SF,Sun 4:05,21.1/36.3,243.6,1.8,1.1,4.4,19.2,0.2,0.0,0.0,0.0,,,,,,,,,,1.1,,,17.3
