Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Cam Newton,BKN,,CAR,QB,Min,Sun 1:00,18.1/31.2,221.7,1.8,0.9,8.3,45.7,0.4,0.0,0.0,0.0,,,,,,21.0
Aaron Rodgers,NOG,,GNB,QB,Det,Sun 1:00,21.6/33.5,265.7,2.2,0.5,3.2,15.4,0.1,0.0,0.0,0.0,,,,,,20.3
Russell Wilson,FUNK,,SEA,QB,SF,Sun 4:05,18.9/29.5,238.8,1.8,0.4,6.2,32.5,0.2,0.0,0.0,0.0,,,,,,20.0
Andrew Luck,LOS,,IND,QB,SD,Sun 4:25,23.2/38.2,275.8,2.2,1.2,4.0,18.4,0.1,0.0,0.0,0.0,,,,,,19.9
Philip Rivers,FUNK,,SDG,QB,@Ind,Sun 4:25,26.5/38.7,316.2,2.0,0.8,1.4,6.2,0.0,0.0,0.0,0.0,,,,,,19.9
Drew Brees,APE,,NOR,QB,Atl,Mon 8:30,27.5/40.3,314.8,2.1,1.0,1.4,2.7,0.1,0.0,0.0,0.0,,,,,,19.2
Matt Ryan,NOG,,ATL,QB,@NO,Mon 8:30,27.3/38.4,332.4,1.8,0.9,1.9,6.8,0.1,0.0,0.0,0.0,,,,,,19.1
Ryan Tannehill,FA,,MIA,QB,Cle,Sun 1:00,22.1/34.4,270.2,1.7,0.5,3.1,13.1,0.1,0.0,0.0,0.0,,,,,,18.3
Ben Roethlisberger,LOS,,PIT,QB,@Phi,Sun 4:25,24.8/37.3,290.8,1.9,0.9,2.0,5.0,0.0,0.0,0.0,0.0,,,,,,18.2
Blake Bortles,SLIV,,JAC,QB,Bal,Sun 1:00,21.1/36.4,250.5,2.0,0.9,3.1,15.8,0.1,0.0,0.0,0.0,,,,,,17.7
Eli Manning,SLIV,,NYG,QB,Wsh,Sun 1:00,23.4/36,282.3,2.0,1.0,1.3,2.3,0.0,0.0,0.0,0.0,,,,,,17.5
Carson Palmer,GARI,,ARI,QB,@Buf,Sun 1:00,22.7/36.1,285.4,1.9,1.2,1.5,3.2,0.1,0.0,0.0,0.0,,,,,,17.3
Matthew Stafford,APE,,DET,QB,@GB,Sun 1:00,27.7/42.2,316.8,1.4,1.2,2.4,7.5,0.1,0.0,0.0,0.0,,,,,,17.2
Ryan Fitzpatrick,FA,,NYJ,QB,@KC,Sun 4:25,22.6/36.7,257.2,1.7,1.2,3.9,17.8,0.1,0.0,0.0,0.0,,,,,,17.0
Marcus Mariota,FA,,TEN,QB,Oak,Sun 1:00,21.2/32,247.8,1.5,1.0,4.6,26.3,0.2,0.0,0.0,0.0,,,,,,16.8
Kirk Cousins,SCOT,,WAS,QB,@NYG,Sun 1:00,26.7/41.1,295.4,1.7,1.1,1.9,5.7,0.1,0.0,0.0,0.0,,,,,,16.7
Derek Carr,FA,,OAK,QB,@Ten,Sun 1:00,22.1/35.5,257.0,1.8,0.7,2.0,5.8,0.0,0.0,0.0,0.0,,,,,,16.6
Alex Smith,FA,,KAN,QB,NYJ,Sun 4:25,21.3/32.2,235.3,1.3,0.6,4.4,23.5,0.2,0.0,0.0,0.0,,,,,,16.5
Tyrod Taylor,BKN,,BUF,QB,Ari,Sun 1:00,18.9/31.4,213.5,1.4,1.0,6.8,35.0,0.2,0.0,0.0,0.0,,,,,,16.5
Dak Prescott,FA,,DAL,QB,Chi,Sun 8:30,20.1/31.6,234.5,1.8,0.8,2.0,10.2,0.1,0.0,0.0,0.0,,,,,,16.1
Jameis Winston,FA,,TAM,QB,LA,Sun 4:05,18.6/32.6,213.2,1.6,0.7,4.0,16.0,0.2,0.0,0.0,0.0,,,,,,15.9
Brian Hoyer,FA,,CHI,QB,@Dal,Sun 8:30,22.1/35.6,272.1,1.5,0.8,1.9,3.0,0.1,0.0,0.0,0.0,,,,,,15.6
Joe Flacco,FA,,BAL,QB,@Jax,Sun 1:00,23.3/37.8,270.4,1.6,1.1,1.7,2.4,0.1,0.0,0.0,0.0,,,,,,15.5
Brock Osweiler,WA (Wed),,HOU,QB,@NE,L 0-27,23/37.7,275.4,1.5,1.1,3.0,5.8,0.1,0.0,0.0,0.0,,,,,,15.3
Carson Wentz,FA,,PHI,QB,Pit,Sun 4:25,22.8/37.3,262.6,1.4,1.2,2.8,10.7,0.1,0.0,0.0,0.0,,,,,,14.9
Andy Dalton,GARI,,CIN,QB,Den,Sun 1:00,19.9/33,205.7,1.4,0.9,3.9,12.9,0.1,0.0,0.0,0.0,,,,,,14.0
Jacoby Brissett,WA (Wed),,NWE,QB,Hou,W 27-0,20.1/35.5,202.8,1.7,1.5,2.8,11.0,0.1,0.0,0.0,0.0,,,,,,13.1
Cody Kessler,FA,,CLE,QB,@Mia,Sun 1:00,18.6/32.8,227.0,1.2,1.0,2.4,9.9,0.1,0.0,0.0,0.0,,,,,,13.0
