Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Aaron Rodgers,NOG,,GNB,QB,Ind,Sun 4:25,23.2/35.5,281.6,2.8,0.7,3.7,18.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,23.0
Drew Brees,DAN,,NOR,QB,@SF,Sun 4:05,26.9/40.4,296.2,2.3,0.9,1.7,3.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,20.0
Andrew Luck,LOS,,IND,QB,@GB,Sun 4:25,25/40.4,314.3,1.9,1.3,4.1,16.2,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,19.3
Matt Ryan,NOG,,ATL,QB,@TB,Thu 8:25,24.1/34.7,304.0,2.0,1.1,2.7,7.0,0.1,0.0,0.0,0.0,,,,,,,,,,1.1,,,18.8
Jameis Winston,WA (Wed),,TAM,QB,Atl,Thu 8:25,23/40.2,270.7,2.2,1.6,3.9,15.2,0.1,0.0,0.0,0.0,,,,,,,,,,1.6,,,18.4
Dak Prescott,WA (Wed),,DAL,QB,@Cle,Sun 1:00,19.1/28.3,246.2,1.7,1.0,4.3,17.7,0.3,0.0,0.0,0.0,,,,,,,,,,1.0,,,17.7
Cam Newton,BKN,,CAR,QB,@LA,Sun 4:05,20.2/35.3,238.3,1.4,1.2,6.5,35.3,0.2,0.0,0.0,0.0,,,,,,,,,,1.2,,,17.2
Colin Kaepernick,WA (Wed),,SFO,QB,NO,Sun 4:05,16.5/27.2,214.8,1.2,0.7,6.8,41.0,0.3,0.0,0.0,0.0,,,,,,,,,,0.7,,,16.7
Trevor Siemian,WA (Wed),,DEN,QB,@Oak,Sun 8:30,22.8/35.1,280.6,1.5,1.0,2.4,8.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,16.4
Russell Wilson,FUNK,,SEA,QB,Buf,Mon 8:30,21/32.6,257.0,1.4,0.8,4.0,19.7,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,16.2
Philip Rivers,FUNK,,SDG,QB,Ten,Sun 4:25,22.8/35.7,267.0,1.8,0.9,1.3,3.3,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.0
Ryan Tannehill,WA (Wed),,MIA,QB,NYJ,Sun 1:00,23/34.8,288.3,1.4,1.0,2.5,8.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,15.8
Marcus Mariota,WA (Wed),,TEN,QB,@SD,Sun 4:25,20.5/33.2,229.3,1.8,1.2,3.8,20.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,15.7
Ben Roethlisberger,LOS,,PIT,QB,@Bal,Sun 1:00,24.3/37.1,269.8,1.8,1.1,1.5,3.2,0.0,0.0,0.0,0.0,,,,,,,,,,1.1,,,15.6
