Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Matt Ryan,NOG,,ATL,QB,SD,L 30-33,25.5/37.1,296.7,2.5,1.0,2.5,7.4,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,20.5
Tom Brady,WA (Wed),,NWE,QB,@Pit,W 27-16,27.5/41.7,316.2,2.2,0.9,2.2,2.6,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,20.3
Aaron Rodgers,NOG,,GNB,QB,Chi,W 26-10,22.7/36.2,264.6,2.3,0.7,3.6,16.0,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,20.1
Blake Bortles,SLIV,,JAC,QB,Oak,L 16-33,22.6/36.4,303.1,2.1,1.4,3.1,18.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,19.5
Alex Smith,WA (Wed),,KAN,QB,NO,W 27-21,22.4/32.7,271.2,1.3,0.6,4.6,27.6,0.2,0.0,0.0,0.0,,,,,,,,,,0.6,,,18.8
Andy Dalton,GARI,,CIN,QB,Cle,W 31-17,21.3/31.8,275.5,1.6,0.6,4.1,15.9,0.2,0.0,0.0,0.0,,,,,,,,,,0.6,,,18.7
Matthew Stafford,APE,,DET,QB,Wsh,W 20-17,24.6/36,280.9,1.9,0.8,2.4,9.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,18.6
Kirk Cousins,LOS,,WAS,QB,@Det,L 17-20,25.5/36.5,314.5,1.8,0.9,1.5,3.8,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,18.3
Philip Rivers,FUNK,,SDG,QB,@Atl,W 33-30,25.9/39.5,290.5,2.1,1.2,1.4,3.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,18.3
Drew Brees,APE,,NOR,QB,@KC,L 21-27,27.8/42.8,294.1,1.9,1.2,1.5,2.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,17.5
Andrew Luck,LOS,,IND,QB,@Ten,W 34-26,24.3/39.6,287.9,1.7,1.3,3.8,16.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,17.5
Jameis Winston,WA (Wed),,TAM,QB,@SF,W 34-17,21.1/36.3,243.6,1.8,1.1,4.4,19.2,0.2,0.0,0.0,0.0,,,,,,,,,,1.1,,,17.3
Tyrod Taylor,BKN,,BUF,QB,@Mia,L 25-28,17/28.1,204.8,1.5,0.8,6.8,37.4,0.3,0.0,0.0,0.0,,,,,,,,,,0.8,,,17.3
Marcus Mariota,SCOT,,TEN,QB,Ind,L 26-34,18.4/28.7,223.8,1.8,0.9,4.3,26.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.9
Colin Kaepernick,WA (Wed),,SFO,QB,TB,L 17-34,15.8/26.2,204.1,1.2,0.9,7.1,37.3,0.3,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.2
Russell Wilson,FUNK,,SEA,QB,@Ari,T 6-6,20.8/32.4,237.0,1.3,0.9,5.8,29.4,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,16.2
