Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,FFPts
Andrew Luck,LOS,,IND,QB,Chi,W 29-23,23.2/36.7,271.8,2.2,1.2,3.8,16.1,0.1,0.0,0.0,0.0,,,,,,19.3
Ben Roethlisberger,LOS,,PIT,QB,NYJ,W 31-13,24.9/36.9,320.6,2.0,1.1,1.7,3.0,0.0,0.0,0.0,0.0,,,,,,19.2
Tom Brady,WA (Wed),,NWE,QB,@Cle,W 33-13,23.1/35.2,269.1,2.0,0.6,2.6,3.2,0.2,0.0,0.0,0.0,,,,,,18.8
Aaron Rodgers,NOG,,GNB,QB,NYG,W 23-16,20.9/33.5,235.4,2.0,0.7,3.4,14.0,0.1,0.0,0.0,0.0,,,,,,17.8
Carson Wentz,APE,,PHI,QB,@Det,L 23-24,23.1/34.1,276.3,1.5,0.9,3.3,14.3,0.2,0.0,0.0,0.0,,,,,,17.5
Philip Rivers,FUNK,,SDG,QB,@Oak,L 31-34,25.3/37.9,288.7,1.8,1.0,1.4,4.3,0.1,0.0,0.0,0.0,,,,,,17.3
Andy Dalton,GARI,,CIN,QB,@Dal,L 14-28,24/36.3,292.9,1.3,0.8,3.8,14.6,0.1,0.0,0.0,0.0,,,,,,17.1
Joe Flacco,WA (Wed),,BAL,QB,Wsh,L 10-16,24.6/38.8,293.5,1.6,1.1,2.0,4.3,0.1,0.0,0.0,0.0,,,,,,16.4
Ryan Fitzpatrick,WA (Wed),,NYJ,QB,@Pit,L 13-31,23.3/37.7,272.7,1.6,1.5,3.7,16.7,0.1,0.0,0.0,0.0,,,,,,16.3
Matthew Stafford,APE,,DET,QB,Phi,W 24-23,25.4/38,278.7,1.5,1.0,2.1,7.5,0.1,0.0,0.0,0.0,,,,,,16.3
Derek Carr,SCOT,,OAK,QB,SD,W 34-31,22/34.8,241.2,1.9,0.8,1.7,4.5,0.1,0.0,0.0,0.0,,,,,,15.9
Jameis Winston,BKN,,TAM,QB,@Car,Mon 8:30,23/39.5,272.3,1.5,1.5,4.1,15.5,0.1,0.0,0.0,0.0,,,,,,15.9
Kirk Cousins,WA (Wed),,WAS,QB,@Bal,W 16-10,25.1/37.7,276.9,1.5,0.9,1.7,4.1,0.1,0.0,0.0,0.0,,,,,,15.7
Brian Hoyer,WA (Wed),,CHI,QB,@Ind,L 23-29,23.5/35.8,295.2,1.4,1.2,1.8,2.9,0.1,0.0,0.0,0.0,,,,,,15.3
Ryan Tannehill,WA (Wed),,MIA,QB,Ten,L 17-30,21.3/33.5,245.8,1.4,0.8,2.9,11.9,0.1,0.0,0.0,0.0,,,,,,15.3
Eli Manning,SLIV,,NYG,QB,@GB,L 16-23,25/39,297.7,1.6,1.4,1.2,1.2,0.0,0.0,0.0,0.0,,,,,,15.2
Derek Anderson,FA,,CAR,QB,TB,Mon 8:30,20.3/34.3,264.4,1.7,1.5,2.7,5.9,0.2,0.0,0.0,0.0,,,,,,15.0
Drew Stanton,WA (Wed),,ARI,QB,@SF,W 33-21,20.5/35,253.0,1.4,1.1,3.1,8.3,0.1,0.0,0.0,0.0,,,,,,14.8
Matt Ryan,NOG,,ATL,QB,@Den,W 23-16,26/40.7,268.5,1.4,1.1,2.0,5.9,0.0,0.0,0.0,0.0,,,,,,14.6
Dak Prescott,WA (Wed),,DAL,QB,Cin,W 28-14,20.7/30.9,222.4,1.4,0.9,2.7,13.2,0.1,0.0,0.0,0.0,,,,,,14.4
Tyrod Taylor,WA (Wed),,BUF,QB,@LA,W 30-19,17/28.7,181.5,1.1,0.7,6.5,32.7,0.2,0.0,0.0,0.0,,,,,,14.3
Marcus Mariota,WA (Wed),,TEN,QB,@Mia,W 30-17,19.2/30.2,233.8,1.2,0.9,3.6,19.4,0.1,0.0,0.0,0.0,,,,,,14.0
Brock Osweiler,WA (Wed),,HOU,QB,@Min,L 13-31,22.9/37.2,258.6,1.3,1.2,2.8,5.0,0.0,0.0,0.0,0.0,,,,,,13.3
Paxton Lynch,WA (Wed),,DEN,QB,Atl,L 16-23,17.7/30.6,193.8,1.6,1.1,2.5,11.8,0.1,0.0,0.0,0.0,,,,,,13.2
Blaine Gabbert,WA (Wed),,SFO,QB,Ari,L 21-33,19.7/33.3,210.4,1.0,1.3,5.3,21.7,0.2,0.0,0.0,0.0,,,,,,12.6
Sam Bradford,WA (Wed),,MIN,QB,Hou,W 31-13,20.7/32.5,209.9,1.2,0.8,2.0,5.2,0.0,0.0,0.0,0.0,,,,,,11.7
Cody Kessler,WA (Wed),,CLE,QB,NE,L 13-33,19.8/35.4,212.3,1.0,1.2,2.6,10.3,0.1,0.0,0.0,0.0,,,,,,11.0
Case Keenum,WA (Wed),,LAR,QB,Buf,L 19-30,18.4/30.8,210.1,0.8,1.0,2.8,7.9,0.1,0.0,0.0,0.0,,,,,,10.6
Scott Tolzien,WA (Wed),,IND,QB,Chi,W 29-23,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Jimmy Garoppolo,WA (Wed),,NWE,QB,@Cle,W 33-13,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Matt McGloin,WA (Wed),,OAK,QB,SD,W 34-31,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Brett Hundley,WA (Wed),,GNB,QB,NYG,W 23-16,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Landry Jones,WA (Wed),,PIT,QB,NYJ,W 31-13,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Austin Davis,WA (Wed),,DEN,QB,Atl,L 16-23,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Chase Daniel,WA (Wed),,PHI,QB,@Det,L 23-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
Joe Webb,FA,,CAR,QB,TB,Mon 8:30,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
