Player,OwnCode,Action,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Cam Newton,BKN,,CAR,QB,NO,W 23-20,20.2/34.1,277.6,1.8,1.3,7.4,39.4,0.4,0.0,0.0,0.0,,,,,,,,,,1.3,,,21.9
Andrew Luck,LOS,,IND,QB,Ten,W 24-17,24.7/38.9,309.7,2.2,1.4,4.4,18.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,20.3
Marcus Mariota,GARI,,TEN,QB,@Ind,L 17-24,20/31,241.0,2.3,1.0,4.2,23.9,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,19.6
Tom Brady,WA (Wed),,NWE,QB,@SF,W 30-17,23.1/35,256.2,2.2,0.7,2.3,4.1,0.2,0.0,0.0,0.0,,,,,,,,,,0.7,,,19.2
Drew Brees,DAN,,NOR,QB,@Car,L 20-23,28.4/42.2,312.3,2.2,1.4,1.6,1.9,0.1,0.0,0.0,0.0,,,,,,,,,,1.4,,,19.2
Ben Roethlisberger,LOS,,PIT,QB,@Cle,W 24-9,23.6/34.9,303.8,2.3,1.3,1.8,4.1,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,19.1
Matthew Stafford,DAN,,DET,QB,Jax,W 26-19,22.7/33.8,248.2,2.4,0.7,2.2,7.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,19.0
Aaron Rodgers,NOG,,GNB,QB,@Wsh,L 24-42,23.4/38.2,263.9,2.1,0.8,3.8,18.3,0.0,0.0,0.0,0.0,,,,,,,,,,0.8,,,18.6
Blake Bortles,GARI,,JAC,QB,@Det,L 19-26,24.9/37.7,304.5,1.6,1.3,4.0,21.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.3,,,18.2
Derek Carr,SCOT,,OAK,QB,Hou,W 27-20,23/35.3,252.7,1.9,0.7,2.3,6.4,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,16.9
