Player,OwnCode,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,FFPts
Robert Turbin,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,4.3,17.7,0.1,1.1,9.0,0.1,3.5
Fitzgerald Toussaint,FA,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,4.3,17.9,0.1,1.2,8.9,0.0,3.5
Reggie Bush,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,4.3,17.9,0.1,1.0,7.5,0.0,3.5
Chris Johnson,FA,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,5.8,24.0,0.1,0.1,1.0,0.0,3.3
Fozzy Whittaker,WA (Wed),CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,5.2,18.7,0.1,0.9,5.9,0.0,3.3
Travaris Cadet,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,2.0,7.6,0.1,2.2,15.6,0.1,3.2
Benjamin Cunningham,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,2.6,10.9,0.1,1.5,13.6,0.0,3.2
Tyler Ervin,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,3.7,15.0,0.1,0.8,5.9,0.0,3.0
Denard Robinson,WA (Wed),JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,4.8,19.1,0.1,0.7,5.5,0.0,2.9
Mike Gillislee,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,4.0,16.7,0.1,0.4,3.0,0.0,2.9
Lance Dunbar,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,1.9,8.5,0.0,1.4,12.6,0.1,2.7
Andre Ellington,FA,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,2.4,9.8,0.1,1.1,9.6,0.0,2.6
Brandon Bolden,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,3.5,13.8,0.1,0.8,6.0,0.0,2.5
Mike Tolbert,WA (Wed),CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,2.9,9.7,0.1,0.9,6.7,0.0,2.4
Zach Zenner,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,3.3,14.6,0.1,0.3,2.4,0.0,2.4
Kyle Juszczyk,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.1,0.5,0.0,1.8,14.8,0.1,2.3
Kenjon Barner,WA (Wed),PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,2.5,11.5,0.1,0.5,3.8,0.0,2.2
Jamize Olawale,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,1.1,5.3,0.0,1.1,8.8,0.1,2.1
Alfred Blue,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,2.9,11.0,0.1,0.3,2.0,0.0,1.8
Jordan Howard,WA (Wed),CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,2.5,9.7,0.1,0.5,3.3,0.0,1.8
Damien Williams,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,2.8,9.4,0.1,0.6,3.6,0.0,1.6
Kenyan Drake,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,2.3,7.7,0.0,0.8,5.4,0.0,1.6
Mike Davis,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,2.2,8.2,0.1,0.5,3.6,0.0,1.6
Josh Ferguson,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,1.7,6.7,0.0,0.5,4.1,0.0,1.4
Knile Davis,WA (Wed),KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,1.5,6.3,0.1,0.2,1.8,0.0,1.4
Matt Asiata,WA (Wed),MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,0.9,3.3,0.0,0.7,5.5,0.0,1.2
Jordan Todman,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,1.4,6.1,0.0,0.3,2.0,0.0,1.1
Jalen Richard,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,1.1,5.1,0.0,0.3,2.3,0.0,1.0
Antonio Andrews,WA (Wed),TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,1.3,5.2,0.0,0.2,1.6,0.0,0.9
Jonathan Grimes,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.7,2.8,0.0,0.5,3.9,0.0,0.9
Alex Collins,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,1.5,6.1,0.0,0.0,0.0,0.0,0.9
Paul Perkins,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,1.3,5.3,0.0,0.1,1.1,0.0,0.9
Kapri Bibbs,WA (Wed),DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,1.3,4.8,0.0,0.2,1.5,0.0,0.9
Kenneth Farrow,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,1.1,4.5,0.0,0.3,2.1,0.0,0.8
Zach Line,WA (Wed),MIN,RB,@Ten,W 25-16,0/0,0.0,0.0,0.0,0.4,1.4,0.0,0.4,3.6,0.0,0.8
Malcolm Brown,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.9,3.6,0.0,0.2,1.8,0.0,0.7
Ryan Hewitt,WA (Wed),CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,4.9,0.0,0.7
Joe Banyard,WA (Wed),JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,1.1,4.4,0.0,0.4,2.7,0.0,0.7
Patrick DiMarco,WA (Wed),ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.6,4.2,0.0,0.7
Rex Burkhead,WA (Wed),CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.5,1.9,0.0,0.5,3.4,0.0,0.7
George Atkinson III,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,1.0,3.8,0.0,0.1,0.9,0.0,0.7
Isaiah Pead,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.9,3.4,0.0,0.3,1.8,0.0,0.7
Dwayne Washington,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.5,2.3,0.0,0.3,2.4,0.0,0.6
Wendell Smallwood,WA (Wed),PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,0.5,2.2,0.0,0.2,1.9,0.0,0.6
James Develin,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.5,1.5,0.0,0.3,1.9,0.0,0.5
John Kuhn,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.5,1.6,0.0,0.2,1.1,0.0,0.5
Anthony Sherman,WA (Wed),KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.6,0.0,0.5
Aaron Ripkowski,WA (Wed),GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.3,0.8,0.0,0.3,2.0,0.0,0.5
Taiwan Jones,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.2,1.0,0.0,0.3,2.3,0.0,0.5
Cory Harkey,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.5,0.0,0.4
Michael Burton,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.3,2.3,0.0,0.4
Jhurell Pressley,WA (Wed),GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.8,2.9,0.0,0.0,0.0,0.0,0.4
Daryl Richardson,FA,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.7,2.9,0.0,0.0,0.0,0.0,0.4
D.J. Foster,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.2,0.9,0.0,0.3,2.0,0.0,0.4
Malcolm Johnson,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.2,1.8,0.0,0.3
Jalston Fowler,WA (Wed),TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,0.1,0.5,0.0,0.2,1.6,0.0,0.3
Andy Janovich,WA (Wed),DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.2,1.5,0.0,0.3
Daniel Lasco,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.3,1.0,0.0,0.2,1.1,0.0,0.3
Marcus Murphy,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
DuJuan Harris,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.2
Stepfan Taylor,FA,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,0.1,0.4,0.0,0.1,1.0,0.0,0.2
Jay Prosch,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,0.2
Corey Grant,WA (Wed),JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.2
Chase Reynolds,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.3,1.1,0.0,0.0,0.0,0.0,0.2
Roosevelt Nix,FA,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,0.0,0.2
Darius Jackson,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.3,1.1,0.0,0.0,0.0,0.0,0.2
Derek Watt,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.1
Julian Howsare,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.0,0.1
Bobby Rainey,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.1
Glenn Gronkowski,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.1
Steven Jackson,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fred Jackson,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marshawn Lynch,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmad Bradshaw,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierre Thomas,FA,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darren McFadden,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ray Rice,FA,FA,RB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Jamaal Charles,LOS,KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerome Felton,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcel Reece,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Brown,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jorvorskie Lane,WA (Wed),TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knowshon Moreno,FA,FA,RB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cedric Peerman,WA (Wed),CIN,RB,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Thigpen,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Young,WA (Wed),CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antone Smith,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Spiller,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dexter McCluster,WA (Wed),TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tate,FA,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toby Gerhart,WA (Wed),JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boobie Dixon,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joique Bell,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Ivory,GARI,JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Clutts,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stevan Ridley,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Williams,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Thomas,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Hunter,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roy Helu Jr.,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacquizz Rodgers,WA (Wed),CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dion Lewis,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Johnson,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Richardson,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Polk,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMike James,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bernard Pierce,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Hillman,WA (Wed),DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyrus Gray,WA (Wed),ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vick Ballard,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Herron,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Brown,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Coleman,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Gray,WA (Wed),JAC,RB,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montee Ball,FA,FA,RB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Le'Veon Bell,SCOT,PIT,RB,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike James,WA (Wed),TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tommy Bohanon,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Stacy,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joseph Randle,FA,FA,RB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kerwynn Williams,FA,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Gaskins,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Miller,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Winn,WA (Wed),DET,RB,@Ind,W 39-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khiry Robinson,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dri Archer,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tre Mason,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bishop Sankey,WA (Wed),TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Gaffney,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Storm Johnson,WA (Wed),TAM,RB,@Atl,W 31-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lache Seastrunk,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Williams,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Taliaferro,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marion Grice,FA,ARI,RB,NE,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juwan Thompson,WA (Wed),DEN,RB,Car,W 21-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Branden Oliver,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrin Reaves,WA (Wed),KAN,RB,SD,W 33-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silas Redd,FA,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Watts,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Johnson,WA (Wed),NOR,RB,Oak,L 34-35,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senorise Perry,WA (Wed),CHI,RB,@Hou,L 14-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Winston,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey Iosefa,FA,NWE,RB,@Ari,Sun 8:30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Ajayi,WA (Wed),MIA,RB,@Sea,L 10-12,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Cobb,WA (Wed),TEN,RB,Min,L 16-25,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karlos Williams,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javorius Allen,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Hilliard,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Robinson,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Varga,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Artis-Payne,WA (Wed),CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Dyer,WA (Wed),OAK,RB,@NO,W 35-34,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Crockett,WA (Wed),GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrence Magee,FA,LAR,RB,@SF,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gus Johnson,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terron Ward,WA (Wed),ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarryd Hayne,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wegher,WA (Wed),CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alonzo Harris,WA (Wed),GNB,RB,@Jax,W 27-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikita Whitlock,WA (Wed),NYG,RB,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raheem Mostert,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rod Smith,WA (Wed),DAL,RB,NYG,L 19-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Williams,WA (Wed),IND,RB,Det,L 35-39,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akeem Hunt,WA (Wed),HOU,RB,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Dixon,WA (Wed),BAL,RB,Buf,W 13-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Williams,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelvin Taylor,FA,SFO,RB,LA,Mon 10:20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Marshall,FA,WAS,RB,Pit,Mon 7:10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zac Brooks,WA (Wed),SEA,RB,Mia,W 12-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrell Watson,WA (Wed),CLE,RB,@Phi,L 10-29,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Wilds,WA (Wed),ATL,RB,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Byron Marshall,WA (Wed),PHI,RB,Cle,W 29-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Wilder Jr.,WA (Wed),BUF,RB,@Bal,L 7-13,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dreamius Smith,WA (Wed),SDG,RB,@KC,L 27-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon Johnson,WA (Wed),CAR,RB,@Den,L 20-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troymaine Pope,WA (Wed),NYJ,RB,Cin,L 22-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Brown,NOG,PIT,WR,@Wsh,Mon 7:10,0/0,0.0,0.0,0.0,0.2,1.5,0.0,8.8,118.6,0.6,16.1
Julio Jones,SCOT,ATL,WR,TB,L 24-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,109.5,0.5,14.0
Odell Beckham Jr.,SLIV,NYG,WR,@Dal,W 20-19,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,100.8,0.6,13.7
DeAndre Hopkins,FUNK,HOU,WR,Chi,W 23-14,0/0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,87.3,0.5,11.9
Allen Robinson,GARI,JAC,WR,GB,L 23-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,82.6,0.5,11.2
Amari Cooper,GARI,OAK,WR,@NO,W 35-34,0/0,0.0,0.0,0.0,0.2,1.5,0.0,5.6,79.2,0.5,11.1
A.J. Green,LOS,CIN,WR,@NYJ,W 23-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,78.5,0.5,10.9
